@relation 'spambase-weka.filters.unsupervised.attribute.RandomProjection-M-N10-R35-DSparse1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {0,1}
@attribute cluster {cluster1,cluster2}

@data
2.130422,8.883689,-10.790677,579.978945,-520.01015,-2.648306,569.446344,-20.800198,575.716368,-4.295486,1,cluster1
0.798475,2.284575,-5.783318,136.106285,-127.406193,3.919631,129.974825,-7.172422,132.229955,-5.923614,1,cluster1
0.69282,4.156922,-8.313844,20.091789,-15.068842,-0.902398,14.549227,-10.182727,19.882211,-4.156922,1,cluster1
0.795011,1.957217,-5.042,31.939017,-29.886537,0.890274,28.836914,-4.787388,29.744509,-3.879794,1,cluster2
-0.595825,1.42721,-2.812851,41.544971,-35.323444,-0.542132,40.14201,-1.70607,38.515614,-2.476833,1,cluster2
-0.372391,0.746514,6.192082,49.119229,-38.555451,1.063479,45.128584,-4.756212,38.1744,0,1,cluster2
-0.897202,1.645448,-0.239023,53.728216,-49.952345,-0.225167,53.783642,-2.71932,52.190155,-2.701999,1,cluster2
-0.897202,1.645448,-0.239023,53.728216,-49.952345,-0.225167,53.783642,-2.71932,52.190155,-2.701999,1,cluster2
2.182384,5.561615,-0.121244,36.596502,-25.724419,-0.573309,35.680247,-6.496923,32.04294,-2.286307,1,cluster2
-2.580756,5.161511,-5.161511,0.883346,6.183421,2.580756,3.464102,-5.161511,3.464102,-7.742267,1,cluster1
-3.576685,2.857884,-5.014287,19.052559,-9.571313,0,14.055592,-2.857884,18.333758,-1.420282,1,cluster2
2.182384,5.561615,-0.121244,36.596502,-25.724419,-0.573309,35.680247,-6.496923,32.04294,-2.286307,1,cluster2
2.73664,3.219882,-2.73664,36.617286,-30.466774,-1.449727,37.100528,0.483242,38.870684,-5.473281,1,cluster2
-0.609682,2.582488,-4.300682,1027.771236,-1018.307311,0.171473,1026.58305,-9.521083,1027.535677,-0.727461,1,cluster1
2.73664,3.219882,-2.73664,36.617286,-30.466774,-1.449727,37.100528,0.483242,38.870684,-5.473281,1,cluster2
-4.815101,16.818213,-7.205331,5.871652,-0.180133,-1.238416,-3.74123,-10.747375,-0.164545,-7.188011,1,cluster1
-0.372391,0.746514,6.192082,52.58333,-41.539775,1.063479,48.592685,-4.756212,41.638501,0,1,cluster2
2.182384,5.561615,-0.121244,36.596502,-25.724419,-0.573309,35.680247,-6.496923,32.04294,-2.286307,1,cluster2
-0.682428,0.542132,-1.42721,229.515785,-219.471622,-1.115441,228.467894,-0.533472,225.885406,-1.957217,1,cluster2
2.916774,-4.181171,1.560578,56.021451,-56.934242,-1.574434,57.909387,-1.465315,57.159409,-3.775871,1,cluster2
0.415692,-0.725729,-2.407551,34.258233,-24.193286,0.232095,31.575286,-7.666057,29.193716,-13.128945,1,cluster1
4.728499,1.36832,-2.04382,32.233466,-29.926374,-1.127565,25.461147,-4.969254,29.079401,-0.6755,1,cluster2
3.469298,5.45596,-6.282148,244.860023,-226.867479,2.026499,236.187644,0.727461,238.803041,-6.80696,1,cluster2
-3.516063,6.997485,-10.530869,7.517101,0.509223,0.814064,-1.818653,-3.169653,3.689268,-2.338269,1,cluster2
-0.181865,1.073872,-4.477351,25.56507,-22.546105,-0.753442,26.457076,-1.394301,24.629762,-3.221615,1,cluster2
2.234346,2.338269,-4.174242,32.337389,-31.973658,0.304841,29.3063,-3.820904,29.056884,-2.303628,1,cluster2
-8.244562,12.366843,-16.489124,10.807997,-23.1835,8.244562,10.807997,-12.366843,19.052559,-4.122281,1,cluster1
0,-4.352644,-4.537973,326.496773,-231.147376,1.863687,319.892464,-6.82428,321.9588,-13.63124,1,cluster1
-1.03057,3.135012,-4.945005,79.674337,-66.89007,0.545596,77.084921,-1.325019,79.206683,-3.897114,1,cluster2
3.671948,-0.727461,-0.727461,186.819,-167.659054,0.332554,185.329436,-2.532258,182.717504,-1.472243,1,cluster2
0.093531,-16.137517,-1.971074,169.313163,-173.199885,15.576333,187.70581,-2.225685,171.313681,-1.905256,1,cluster2
-0.301377,-11.963275,-2.281111,169.396301,-170.643378,12.358183,184.243441,-2.217025,171.093711,-2.615397,1,cluster2
3.949076,3.803584,-2.459512,23.354973,-18.80834,-4.757944,18.325098,-14.055592,16.608635,-4.797781,1,cluster1
-0.786351,6.079498,-4.891311,66.320225,-60.739558,1.550185,60.181837,-7.404517,64.815073,-4.018358,1,cluster1
-0.180133,2.961807,-2.535722,23.122878,-19.023114,0,21.74763,-4.156922,21.176053,-4.139601,1,cluster2
3.949076,3.803584,-2.459512,23.354973,-18.80834,-4.757944,18.325098,-14.055592,16.608635,-4.797781,1,cluster1
2.684679,9.682164,-9.145228,41.326732,-26.552339,0.178401,26.812147,-15.229923,34.524969,-3.221615,1,cluster1
-1.818653,1.818653,-5.45596,58.889727,-43.820885,-1.818653,58.889727,3.637307,58.889727,-1.818653,1,cluster2
-2.559971,3.06573,-2.542651,107.508394,-98.016755,-1.212436,103.718666,-4.312807,103.735987,-2.442192,1,cluster2
-0.694552,-0.737854,-0.95436,229.041203,-219.308809,-0.848705,229.495,-0.89547,226.592083,-2.875204,1,cluster2
0.987269,5.022947,-8.989344,55.183139,-35.758189,-0.897202,49.155602,-11.088589,55.273205,-3.966396,1,cluster1
2.085389,2.286307,-3.872866,122.05762,-115.384029,-1.437602,118.202075,-1.766692,115.829166,-1.835974,1,cluster2
-0.4053,-3.436389,-2.201437,83.704819,-74.453936,0.401836,82.23604,-7.877367,81.920807,-6.218062,1,cluster1
0.247683,1.732051,-5.814495,32.04294,-30.250267,0.187061,27.960496,-5.383214,29.013583,-4.330127,1,cluster1
-0.166277,1.905256,-3.942148,26.777505,-22.90464,-0.628734,24.705973,-1.276521,24.111879,-2.805922,1,cluster2
1.351,2.701999,-4.052999,28.682761,-16.698702,1.162206,28.682761,-10.619204,23.089969,-5.403999,1,cluster1
-1.766692,5.300075,-5.300075,34.710298,-23.959459,-1.676625,29.410223,-8.923526,27.733598,-3.533384,1,cluster1
-31.488684,0,0,34.952785,-1.558846,-31.488684,-28.024582,-31.488684,3.464102,-31.488684,1,cluster1
-0.654715,4.130941,-8.396982,46.597363,-39.516739,-1.248809,40.879863,-10.238152,46.100264,-3.862473,1,cluster1
-1.806529,4.001037,-3.521259,211.864455,-202.833542,-0.438209,205.485312,-6.420712,207.33341,-2.857884,1,cluster2
-1.766692,5.300075,-5.300075,34.710298,-23.957727,-1.678357,29.410223,-8.921794,27.731865,-3.533384,1,cluster1
1.584826,-0.280592,-4.823761,515.699075,-509.938274,1.144886,518.51539,-9.387715,517.474427,-4.884383,1,cluster1
1.517277,-0.019053,-4.925952,103.519481,-100.829606,0.949164,105.925299,-9.456997,105.227283,-4.953665,1,cluster1
3.75855,-0.744782,-0.744782,186.853641,-168.997929,0.822724,185.329436,-3.07439,183.138392,-1.506884,1,cluster2
-0.654715,4.891311,-9.141764,46.599095,-39.333142,-1.487832,40.135081,-10.705806,45.859509,-3.845153,1,cluster1
-0.102191,3.75855,-4.48428,12.124356,-10.381913,1.042695,7.640076,-4.801245,11.817783,-0.623538,1,cluster2
0,0,0,1.732051,3.038017,-3.038017,1.732051,3.038017,-1.305966,0,1,cluster2
-0.4053,1.177795,-0.976877,25.547749,-22.894248,-1.302502,22.163322,-4.084176,22.350384,-1.195115,1,cluster2
-10.825318,21.633315,-32.458632,98.51905,-71.363957,5.403999,93.097731,-5.403999,103.923048,-5.403999,1,cluster1
0.109119,13.208619,-14.613313,143.230209,-138.986685,1.946825,138.118928,-20.067541,144.094503,-7.343895,1,cluster1
0.545596,2.424871,-5.914954,78.877594,-68.710456,0.562917,76.998319,-2.208365,79.206683,-5.629165,1,cluster2
-0,4.849742,-3.897114,8.642934,-1.340607,0,10.58283,-13.64856,6.720357,-11.691343,1,cluster1
0,-2.166796,-9.162549,77.788134,-68.615193,-7.272881,58.456715,-20.436467,68.467968,-11.448856,1,cluster1
-2.771281,-1.385641,-2.771281,19.381649,-14.800374,-0.678964,22.17025,-4.880919,18.720005,-6.962844,1,cluster2
-0.162813,0.062354,-1.409889,228.973653,-220.429446,-0.912791,228.970189,-1.058283,226.110573,-2.476833,1,cluster2
-0.4053,-3.436389,-2.201437,83.704819,-74.453936,0.401836,82.23604,-7.877367,81.920807,-6.218062,1,cluster1
0,0.271932,-4.480815,17.394986,-13.0995,0.639127,17.632277,-7.032126,18.543336,-2.805922,1,cluster1
3.74123,9.789551,-5.611845,121.084208,-105.580621,-0.609682,112.16761,-9.616346,111.059098,-4.676537,1,cluster1
-0.4053,-3.436389,-2.201437,83.704819,-74.431419,0.379319,82.23604,-7.85485,81.89829,-6.218062,1,cluster1
3.706589,9.722001,-5.594524,121.047835,-105.365847,-0.651251,112.202251,-9.56092,111.088543,-4.624576,1,cluster1
-2.05248,7.17069,-2.901185,28.561518,-25.811021,-0.116047,29.193716,-4.335323,29.094989,-7.136049,1,cluster2
4.311074,5.319128,-5.180564,245.758957,-227.607065,3.332466,236.353921,1.254005,239.324388,-6.599114,1,cluster2
-0.105655,2.327876,-4.124013,136.773124,-126.704713,2.634449,130.317771,-4.605523,131.971879,-3.983717,1,cluster2
-0.107387,2.348661,-4.160386,136.804301,-126.773995,2.901185,130.264077,-4.896508,132.136424,-4.052999,1,cluster2
4.468691,-5.265434,-3.221615,81.406388,-70.847806,-2.329608,76.937697,-7.647004,76.842434,-7.49978,1,cluster1
-1.657573,2.982591,2.326144,56.513354,-46.98361,0.659911,53.438964,-2.624057,48.802264,-4.728499,1,cluster2
0.793279,1.957217,-5.043732,31.939017,-29.798202,0.874686,28.835182,-4.7718,29.727188,-3.879794,1,cluster2
-0.171473,1.939897,-4.016626,26.760185,-23.614781,0.358535,24.648815,-2.298431,25.041991,-2.857884,1,cluster2
0,-1.008054,-10.23642,75.503559,-68.712188,-7.21226,59.686471,-19.194587,68.526858,-9.110587,1,cluster1
0.73439,6.391267,-3.491814,27.851377,-18.312973,1.519009,17.950975,-3.649431,20.543855,-3.186973,1,cluster2
0.381051,-3.585345,-12.678612,1792.620624,-1644.525084,1.068675,1798.232469,-14.647954,1794.988338,-12.28024,1,cluster1
1.482635,-0.947432,-4.891311,103.296046,-101.12059,1.214168,106.496876,-9.83112,105.170125,-5.473281,1,cluster1
1.801333,5.403999,-5.403999,15.449893,-10.648648,0,15.449893,-7.205331,19.052559,-9.006664,1,cluster1
2.303628,-2.17026,-4.607255,383.793014,-333.147848,-2.80419,383.943703,-13.6399,385.897456,-11.535458,1,cluster1
3.74123,9.791283,-5.611845,121.082476,-105.350258,-0.614878,112.16761,-9.614614,111.055634,-4.676537,1,cluster1
-2.165064,4.330127,-7.569062,33.341978,-21.977993,2.026499,25.772916,-0.917987,31.03835,-1.073872,1,cluster2
-3.135012,4.996967,-3.169653,73.863307,-62.992956,0.987269,64.726739,-10.998523,70.728295,-6.270024,1,cluster1
-0.090067,-0.204382,1.085996,34.845398,-31.521593,0.862561,35.763385,-0.091799,33.632963,-0.173205,1,cluster2
