@relation breastcancerdiagnostic-weka.filters.unsupervised.attribute.RandomProjection-N5-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute class {M,B}

@data
536.140512,127.711743,539.242478,-405.397092,-39.201071,B
1011.197921,169.058939,949.152515,-843.323483,-34.361709,B
2171.300978,318.846572,3218.083145,-1921.390548,-45.942377,M
524.460395,122.565804,480.37454,-398.558435,-27.297207,B
1807.541463,290.748111,2882.605896,-1567.979922,-58.533652,M
1168.223404,213.947171,1395.067939,-984.954092,-36.1436,M
952.683533,175.000012,1039.76354,-788.595389,-40.263,B
1596.56581,249.279957,2102.971203,-1383.774656,-42.554445,M
1120.777515,180.011019,1050.440491,-951.343022,-21.779552,B
1950.705993,290.486415,2786.309379,-1714.670215,-32.658753,M
2405.636585,326.981453,2790.697374,-2117.590612,-54.808115,M
1020.918781,179.592214,1056.980333,-847.476612,-43.084648,B
823.124272,162.569059,873.681397,-662.764981,-55.884273,B
1050.444135,188.908449,1048.334854,-874.318584,-40.148235,B
3550.017079,408.016431,4422.062336,-3211.309233,-58.021565,M
2184.405572,272.935501,2224.262512,-1919.857995,-56.608002,M
900.972454,170.726791,961.64507,-742.695471,-43.244717,B
2071.717023,293.125387,2760.1348,-1832.163517,-47.912112,M
1285.971582,209.150174,1375.461037,-1089.222061,-50.692743,M
2075.028775,296.727656,2791.37826,-1821.784792,-52.555916,M
945.42395,177.32229,964.17402,-771.849281,-52.857015,B
1295.032007,213.729506,1385.506239,-1103.670222,-31.581362,B
1311.552169,201.685639,1366.867069,-1108.008525,-50.501246,B
1434.881174,211.497835,1421.106984,-1223.10292,-44.735377,M
1102.267835,202.03583,1422.725569,-931.870095,-38.719963,B
1111.34848,190.017256,1189.882895,-932.028248,-45.034488,B
1395.870052,238.487236,1759.41896,-1188.910487,-41.885925,M
2418.709769,302.994846,3010.972979,-2151.559125,-54.659567,M
915.985289,160.799324,842.442077,-753.046362,-36.339488,B
617.512114,132.649229,605.360024,-479.057321,-45.741591,B
843.283565,162.911993,878.254895,-693.122618,-29.834165,B
1276.436791,211.551239,1403.089378,-1081.410633,-53.441744,M
1161.713119,209.521375,1532.446293,-968.028439,-61.113632,M
324.185144,96.82862,299.209906,-227.908874,-34.136279,B
928.129194,164.910061,913.305143,-761.601585,-56.955148,B
627.313864,140.184066,596.574382,-484.9572,-46.587781,B
698.819463,144.16653,675.435209,-551.347522,-40.542919,B
1069.36327,205.554961,1416.816469,-892.437724,-38.788866,M
844.530116,165.504539,873.283649,-685.314879,-50.776005,B
945.073513,168.097604,916.66662,-777.573847,-47.678919,B
2878.588482,394.426412,4076.591864,-2581.337031,-48.316622,M
812.121061,163.493494,866.760815,-651.369247,-50.655961,B
610.798988,138.743141,615.269324,-475.578872,-37.372824,B
974.394401,173.086158,891.173257,-799.020325,-44.169218,B
1260.747568,207.834419,1211.535245,-1059.082991,-41.00507,B
697.707027,140.928764,627.227143,-546.998151,-39.543621,B
496.483307,125.889923,474.160219,-373.279725,-34.113886,B
892.073738,170.777651,985.190725,-723.713632,-45.44093,B
526.508804,123.823758,453.399581,-399.018537,-29.735485,B
1352.895437,244.364353,1875.107621,-1154.294586,-47.392521,M
1538.567636,251.348214,2177.545014,-1316.973769,-52.811613,M
1898.718841,252.829805,2167.06214,-1668.256103,-48.190372,M
825.401971,164.069846,876.75849,-680.287654,-27.784277,B
2075.686781,281.530192,2671.620163,-1838.219529,-43.11248,M
3338.40357,350.357834,3589.10845,-3020.161716,-41.496698,M
1272.984975,201.763824,1288.864732,-1092.212983,-27.70072,B
1107.807692,180.667083,1078.782904,-931.928378,-39.43644,B
1172.705621,196.270446,1240.592615,-991.234577,-40.961718,B
1143.636824,217.959174,1432.266293,-950.378322,-61.761967,M
2184.842314,287.39943,2651.703553,-1940.35879,-44.539215,M
1340.765489,207.871898,1315.155514,-1141.50081,-31.757682,B
2290.560572,289.90265,2728.229212,-2022.636157,-58.091829,M
926.317561,178.046532,934.997988,-767.601409,-30.964917,B
1473.23844,241.834667,1983.875701,-1264.485268,-45.049672,M
1586.487607,250.526578,2008.33328,-1367.16266,-54.894193,M
1495.930223,223.835779,1592.336765,-1296.381988,-33.32486,B
2070.09766,282.145484,2731.238806,-1825.800205,-54.394365,M
1018.363479,179.220214,1096.634753,-840.243169,-57.895684,M
863.021487,165.253232,922.73557,-709.128292,-44.243502,B
818.920954,156.578922,782.186264,-667.398823,-38.207955,B
1342.378503,233.841703,1669.870876,-1146.456156,-37.090829,M
792.863924,149.883224,743.873612,-645.536722,-27.421586,B
605.603615,131.261212,586.607469,-479.827853,-24.646113,B
1590.168515,249.129216,2119.183562,-1378.967141,-43.797624,M
816.797704,159.725558,844.778492,-662.589299,-46.495075,B
1032.096417,189.373522,1100.052038,-860.633945,-37.854532,B
733.529946,151.286908,746.955233,-591.525081,-36.026686,B
884.847531,169.033731,874.570823,-725.200216,-28.755767,B
885.136587,177.348574,1000.303405,-721.563758,-45.617762,M
1363.7619,208.276667,1384.095795,-1164.788129,-44.152469,B
1271.403419,211.934457,1319.23723,-1083.345974,-34.342075,B
1165.791624,190.887861,1242.288396,-983.351165,-38.970724,B
1044.188942,177.597435,1048.892799,-865.955429,-41.887496,B
445.382541,111.684576,395.784435,-320.097469,-51.643935,B
631.11047,136.15622,641.413176,-497.695949,-33.728347,B
784.097009,150.079542,754.800878,-640.163831,-28.384951,B
1081.083369,190.675453,1160.747809,-907.962597,-35.609517,B
932.735441,169.582978,955.060367,-767.697209,-43.760451,B
1872.5937,258.578968,2241.448578,-1635.269351,-43.490647,M
1712.286675,234.070408,1767.76954,-1494.246207,-48.630484,B
909.951338,165.298544,912.104641,-756.0867,-31.99579,B
754.141564,152.806218,801.493801,-614.122381,-31.668318,B
858.900878,171.546041,916.845645,-695.008804,-45.511615,B
2222.859752,286.203722,2590.698558,-1977.256929,-30.751014,M
2329.168407,335.167622,3853.770057,-2072.551264,-45.575725,M
942.745555,169.94595,929.555659,-768.692202,-49.804428,B
3183.729199,357.967219,4153.303927,-2882.976676,-48.693335,M
1360.778844,201.307406,1336.104513,-1163.040559,-44.809183,B
738.329471,145.634668,715.12427,-603.173825,-21.001772,B
1724.433686,253.132441,2165.543201,-1504.706045,-45.510541,M
1906.521609,296.958299,2848.144597,-1664.546466,-55.948141,M
1354.571233,205.03854,1360.921146,-1160.63358,-39.90962,B
940.317592,170.885995,945.573059,-783.469177,-27.180441,B
1127.871637,223.29797,1692.376608,-947.124994,-51.788498,M
1453.923186,242.267719,1906.033077,-1256.426919,-29.472218,M
767.081205,140.877565,676.875133,-623.196193,-29.295041,B
722.306345,141.948289,692.349673,-582.677549,-33.456836,B
487.641726,114.767209,434.561051,-369.878584,-29.731296,B
635.798474,140.181177,650.59651,-496.090234,-42.320687,B
1631.980389,240.369295,1678.983577,-1409.359662,-49.180937,M
1053.696131,173.300803,1026.87053,-875.249298,-50.394727,B
1021.931565,170.678327,982.595991,-860.352487,-28.119557,B
4212.680241,427.123887,5559.8003,-3861.183841,-56.695273,M
2517.988699,341.071397,3596.726166,-2224.943589,-57.751862,M
1502.987307,249.236562,2168.521532,-1294.095751,-56.831923,M
823.641542,155.06321,798.171395,-672.2486,-30.755153,B
1402.017671,222.775301,1663.772447,-1192.400656,-48.568073,M
660.17406,145.890617,737.522833,-525.922897,-36.955157,B
2008.421019,272.036709,2428.583764,-1771.3769,-45.603453,M
857.236536,165.237455,886.717176,-699.482241,-37.099325,B
873.134972,154.994588,822.783941,-716.103277,-46.038553,B
939.610467,170.024665,934.402734,-776.93647,-34.047695,B
1219.984847,205.715622,1281.394917,-1018.699534,-64.370057,M
1020.896417,173.389078,984.325357,-844.78717,-40.791045,B
604.136781,116.209263,506.680339,-475.972845,-36.204855,B
967.320287,194.537327,1285.09598,-782.834588,-68.211102,M
1336.87687,229.69178,1337.008123,-1123.822911,-48.059181,M
1037.309827,178.151433,1024.853631,-867.56059,-38.161666,B
1176.943939,213.65181,1362.261719,-984.713839,-58.942035,M
1977.062541,252.870048,2114.894727,-1737.813115,-42.785015,M
2209.200068,319.695987,2901.421735,-1950.471334,-55.47226,M
1276.753304,228.178839,1781.854474,-1078.719061,-52.126838,M
934.397631,178.562858,1077.831073,-766.658948,-49.194424,B
1847.554244,270.668809,2131.720648,-1615.722932,-44.670093,M
3193.952017,344.470467,3423.465988,-2874.455973,-56.412249,M
1193.883715,243.26831,1948.567603,-996.947348,-72.538503,M
975.036166,186.245818,1153.085996,-804.024497,-42.760962,B
1412.163162,229.501845,1705.314369,-1212.454064,-35.107582,M
620.486095,131.01957,551.525871,-484.034242,-40.383352,B
1756.282611,253.215657,2081.566346,-1532.539183,-43.399197,M
1067.621865,193.519648,1080.034796,-878.941515,-50.554321,B
1426.537154,222.814932,1614.560761,-1234.573858,-27.61407,B
2467.778505,307.437501,2854.952943,-2198.234361,-48.105847,M
871.980293,166.68917,923.64145,-709.82423,-43.395471,B
4655.181808,372.804988,4340.503302,-4298.869183,-31.935813,M
1840.543612,236.275078,1749.486618,-1600.467774,-48.697526,M
1218.621533,220.714992,1369.765673,-1019.194294,-60.343923,M
1160.187317,202.901837,1277.005588,-974.865346,-46.620849,M
882.492326,167.38063,893.991564,-719.199959,-47.000189,B
669.010617,145.096702,674.464897,-529.277851,-42.49455,B
2355.089997,327.335006,3463.486408,-2094.70144,-49.536833,M
2339.950531,343.756,4244.874266,-2063.755459,-78.624435,M
1137.453168,195.659393,1218.698228,-963.03873,-28.413727,B
1125.567365,197.828488,1183.28179,-948.721719,-29.761051,B
654.960036,140.180818,628.859878,-513.991914,-39.720686,B
1496.242042,243.840617,1859.589936,-1284.475889,-52.484718,M
1092.73423,192.706175,1209.885692,-918.312588,-40.940229,B
1270.770481,214.727308,1507.804701,-1088.560695,-29.32031,B
686.10414,143.802983,668.889408,-545.648122,-34.460836,B
1354.340183,223.046625,1392.704538,-1159.105201,-33.410947,B
1000.59993,177.158087,1048.694722,-819.61053,-54.247604,B
1019.175974,202.915629,1193.175074,-834.012411,-52.198786,M
1746.576742,259.681462,2046.194854,-1517.777174,-42.974834,M
809.571716,156.376047,744.892967,-639.850459,-58.586364,B
792.45349,152.467921,762.882308,-614.222189,-72.493738,B
2517.386321,315.373907,3212.88197,-2238.066316,-64.693864,M
588.418536,129.056491,565.417005,-458.085592,-33.341666,B
1200.497545,191.955433,1211.234769,-1010.789084,-52.544288,B
3158.468949,395.473147,5078.580641,-2846.884652,-59.591603,M
2491.557441,313.883735,3020.631587,-2226.376116,-45.30397,M
1240.915048,198.266569,1277.547945,-1036.125506,-70.273141,B
1790.931442,273.426096,2391.088605,-1527.443143,-77.604121,M
1147.714127,185.547415,1174.350089,-970.484002,-33.068401,B
961.364994,165.601703,927.817979,-800.394916,-35.396961,B
802.527127,167.961475,790.578119,-645.115019,-48.462025,B
1175.255018,191.838017,1200.840109,-982.472271,-45.686254,B
2224.151002,281.597305,2434.826855,-1962.622381,-52.880395,M
700.387047,141.32937,664.788224,-555.02302,-51.199734,B
1083.722749,173.086853,1017.663248,-910.494388,-48.301114,B
1034.318633,203.676706,1098.971013,-862.600377,-30.613653,B
718.655297,150.974813,747.084938,-559.843976,-61.116675,B
831.566031,158.312894,835.27563,-679.550337,-36.787862,B
2603.3319,321.397171,3469.938315,-2322.713769,-46.619677,M
832.46543,162.477763,862.388374,-675.116547,-39.004468,B
2315.262715,309.824142,3337.387082,-2054.979851,-44.199827,M
1803.383496,255.280572,2103.33554,-1579.267437,-43.389011,M
2243.840643,315.174252,3406.568118,-1991.942676,-42.477592,M
1201.678527,210.122931,1416.653085,-1014.911954,-38.261264,M
2322.075034,341.289589,3306.189123,-2042.086967,-62.718176,M
1414.265418,232.383818,1595.708687,-1206.851676,-39.185484,M
1530.79577,272.036991,2094.385548,-1303.269281,-54.657565,M
1469.714171,243.546773,1734.227147,-1233.458084,-85.792365,M
2461.036634,314.573323,3161.318436,-2185.374923,-67.805533,M
1808.32455,249.86954,2085.063599,-1578.380679,-54.589697,M
1839.857524,266.164087,2225.053055,-1605.803616,-47.124455,M
1487.045528,226.095402,1684.695984,-1281.866606,-54.898296,M
1801.065901,271.912462,2466.329308,-1570.570464,-50.735047,M
2692.795161,403.83416,5897.290383,-2406.315012,-81.646712,M
719.946265,152.004467,714.277505,-569.047678,-39.818999,B
1122.607333,189.476808,1117.204017,-937.028731,-52.107096,B
1029.752509,174.892424,1016.599699,-861.043679,-41.072672,B
717.770068,148.71586,685.784057,-564.462714,-43.762692,B
1252.002981,187.099987,1175.011507,-1067.789214,-35.863553,B
797.01697,154.258544,784.25267,-650.250273,-28.11945,B
2837.739765,374.844507,4116.727396,-2547.849284,-48.720488,M
608.482434,132.42536,596.072243,-477.361378,-36.353859,B
1929.594309,262.631477,2257.15459,-1689.993999,-60.125276,M
886.449349,154.323545,805.334292,-728.39029,-32.996642,B
811.120997,151.448636,780.153195,-664.649239,-33.105061,B
2118.102816,254.658132,2131.372766,-1875.436157,-42.093115,M
1140.512521,192.870205,1258.558779,-962.341649,-45.305064,B
1171.459911,192.837383,1147.062858,-992.54858,-37.694284,B
2189.624097,308.358325,2956.749397,-1926.18722,-62.177839,M
868.65191,164.907854,912.79159,-717.968367,-31.677016,B
2203.506921,295.943629,2803.867126,-1952.942399,-49.505916,M
1582.940603,246.472203,1770.609965,-1362.917109,-43.401492,M
1040.476016,179.693859,1019.823254,-869.740462,-34.11097,B
985.126547,167.673345,958.88035,-817.47312,-40.151382,B
898.701614,178.145148,919.404231,-729.915395,-47.272549,B
1035.32123,172.955148,995.03442,-871.527211,-26.997876,B
810.433484,152.081595,738.536124,-651.19431,-38.720689,B
810.832545,153.667977,770.171945,-656.562645,-45.373336,B
1294.091926,198.412936,1314.588163,-1096.27511,-38.339797,B
1358.417661,213.308711,1383.407357,-1158.595563,-45.341162,B
1033.659733,175.021145,1002.262112,-863.104196,-34.608843,B
880.168525,164.542601,873.123816,-721.169474,-44.692272,B
993.843493,174.229291,951.027633,-829.603458,-30.401707,B
1161.673192,185.783533,1139.819179,-987.452592,-29.433307,B
749.638826,142.598718,672.680244,-610.346334,-25.780984,B
876.513865,164.169606,938.071893,-718.897266,-40.59528,M
1254.462529,206.839306,1400.891457,-1065.940076,-43.790261,B
694.583326,137.715723,604.441287,-540.892534,-42.111732,B
2332.272189,328.333554,3543.112715,-2076.628373,-45.375498,M
955.636586,172.576935,936.453326,-783.473922,-40.019519,B
2393.356664,307.055844,2920.26366,-2121.139342,-50.888283,M
694.693302,138.084836,626.155558,-549.482501,-42.651569,B
825.561964,161.334266,830.70745,-668.421114,-37.543867,B
851.132715,158.048687,790.861639,-683.195109,-54.859976,B
1076.086207,181.240274,1090.798329,-904.100815,-35.578804,B
524.12367,118.837657,475.563367,-403.913188,-34.921797,B
1128.992904,187.585803,1204.295604,-959.861683,-29.464727,B
1062.160114,183.932,1156.867965,-896.493028,-30.259669,B
853.830301,157.990043,811.485531,-694.542674,-46.108845,B
1312.068265,203.368533,1443.941459,-1126.008274,-37.755245,B
1015.590163,180.490336,1065.514477,-850.861853,-28.478005,B
836.17209,160.106194,808.419148,-690.499952,-22.406111,B
476.725351,108.261455,391.908036,-355.842044,-39.136467,B
971.17388,166.736668,930.197708,-806.243301,-34.290255,B
932.867486,161.431881,881.375391,-775.837672,-28.677432,B
1984.372074,274.72957,2560.379892,-1746.71163,-43.250384,M
527.65964,131.513657,489.595113,-393.718375,-40.560205,B
962.820277,159.380035,879.818746,-801.109889,-35.114086,B
676.707349,139.260661,658.221223,-535.831949,-35.789799,B
2433.747503,293.960971,2864.703748,-2173.591747,-39.832728,M
1017.642636,181.28179,1024.381855,-852.849918,-36.589764,B
2424.795379,329.918777,3337.027976,-2153.187149,-55.003326,M
928.085759,177.592007,994.184485,-767.945394,-37.161917,B
989.128038,173.982967,980.525584,-820.194231,-36.700752,B
1223.617337,193.041789,1292.162834,-1047.288418,-31.308363,B
904.156268,162.592979,888.892108,-742.980944,-38.67335,B
1594.492055,250.97071,1917.190325,-1375.290915,-52.632516,M
1618.335402,222.758206,1673.211431,-1396.537116,-43.748936,M
1557.086949,241.894473,1843.209741,-1347.665138,-37.98602,M
1036.628714,193.480133,1083.433582,-857.375092,-38.080777,B
795.295031,149.287584,730.283468,-639.909855,-44.886218,B
798.977599,159.950761,834.836502,-651.572709,-38.391854,B
939.119004,165.101364,914.984201,-774.028244,-49.450485,B
1784.747076,274.011209,2330.45834,-1558.125471,-57.363193,M
1036.354468,172.838251,991.082174,-867.06893,-29.394515,B
2104.232964,309.042305,3216.937844,-1856.257453,-59.448397,M
649.749854,138.65793,636.220592,-511.379982,-46.632026,B
3294.614212,389.793396,5019.743117,-2985.048076,-53.1374,M
1273.619458,216.719232,1481.074498,-1082.867374,-37.243556,B
592.557711,138.571069,589.454371,-457.841165,-40.041644,B
771.351656,155.973368,747.273091,-622.906161,-34.540065,B
2293.190697,303.243794,2641.304597,-2034.013341,-59.861505,M
857.819079,164.834973,883.307772,-702.476125,-31.58723,B
671.627971,136.366404,602.467096,-535.822579,-33.935413,B
903.909547,168.826408,948.662972,-740.432844,-47.016779,B
1322.469622,222.742153,1520.251391,-1133.156534,-31.058498,B
823.808849,156.58716,808.285238,-670.954602,-36.177018,B
872.710299,162.860903,849.503683,-714.941158,-30.843391,B
856.753272,163.881664,925.588899,-700.773623,-34.300743,B
1499.667594,232.095586,1570.834411,-1282.386741,-41.778501,M
3783.337076,440.409527,5604.331309,-3451.790718,-40.64044,M
1410.894588,233.580821,1786.778122,-1198.911332,-57.580158,M
789.551344,155.945647,777.157029,-643.098531,-27.496239,B
983.377498,173.580785,930.901792,-810.789957,-38.896324,B
1034.20625,183.351862,1003.747103,-856.987909,-43.069707,B
1181.52177,189.253971,1182.53202,-1002.54215,-44.419098,B
515.689982,126.474454,507.358956,-392.61324,-30.769554,B
586.04025,145.523961,734.079973,-452.942648,-43.491131,B
989.450521,170.465962,999.680163,-822.377829,-36.481083,B
1093.42978,181.423485,1048.518365,-911.022906,-50.685623,B
1001.81472,172.048691,981.420414,-829.593932,-45.106566,B
1636.194036,229.158336,1732.110234,-1422.302169,-44.166996,B
1104.711088,184.60025,1135.174321,-928.298675,-37.682193,B
2471.272006,313.106666,3072.463069,-2203.121948,-45.609069,M
2369.104774,309.036349,2869.78051,-2093.738748,-58.423873,M
929.485464,182.421519,1061.64369,-763.886489,-41.732626,B
2921.774871,381.391782,5434.23086,-2649.484692,-45.725913,M
2821.98815,374.777773,3849.680547,-2529.64711,-44.496694,M
1644.486208,250.685819,1992.799816,-1416.403115,-53.611017,M
1401.92359,206.655956,1418.04697,-1210.530327,-27.307222,B
2645.468319,298.305128,2657.954888,-2376.341128,-37.701595,M
2545.731888,323.606796,3365.871246,-2282.941449,-40.047112,M
1155.07898,194.639539,1150.631991,-975.830272,-35.082447,B
1549.793735,223.128224,1487.44195,-1338.498328,-33.156493,B
707.669678,149.107801,588.709382,-552.597976,-39.484348,B
1122.225579,189.5634,1140.719447,-926.559488,-61.813311,B
1158.421616,192.496285,1128.124355,-979.884448,-34.064784,B
753.123291,176.516372,843.153378,-594.109899,-56.799844,M
795.709727,164.994493,808.952528,-648.118049,-35.621071,B
767.857208,155.504485,757.824554,-621.249645,-36.160468,B
912.036609,169.861689,817.392673,-738.322476,-49.699175,B
941.367475,185.049424,1021.71713,-772.573261,-40.151319,B
1086.9471,189.473335,1073.509641,-915.257995,-30.136196,B
1314.022271,199.588756,1283.515207,-1113.584672,-54.929587,M
936.64076,171.658714,905.700972,-776.933456,-33.438289,B
1186.340046,195.645458,1280.440181,-1006.319446,-34.663876,B
806.121838,156.066074,766.071315,-653.609239,-32.853297,B
2256.845938,275.120509,2254.92137,-1997.86338,-52.643675,M
670.769477,143.708477,674.277247,-536.694233,-27.233073,B
501.356777,122.456823,524.282288,-380.213177,-39.771039,B
1467.217709,270.797949,2329.471903,-1257.065994,-50.875994,M
2687.240186,333.902598,3591.866759,-2399.164292,-49.628824,M
907.952787,171.162795,945.511796,-744.905273,-44.840519,B
1210.374063,188.489426,1166.347962,-1028.031997,-43.947084,B
1119.186526,189.773969,1146.097327,-935.97961,-47.116878,B
1024.274314,177.25919,1009.162031,-852.169898,-36.507822,B
776.722276,157.963465,844.456321,-630.307793,-35.352368,B
878.310845,167.49952,951.436224,-719.975017,-42.550085,B
1937.155447,288.977589,2241.585428,-1685.839536,-48.11301,M
898.503877,170.705688,1006.958758,-749.525969,-35.013087,B
1055.459816,187.141645,1057.238218,-879.993909,-42.679185,B
1023.164704,176.248064,989.175377,-852.589557,-39.934522,B
948.048769,165.53463,915.377819,-788.208362,-29.296898,B
762.679525,159.362113,792.741122,-611.548602,-44.421819,B
1566.227637,227.656477,1636.10025,-1360.845577,-33.933747,B
1034.275262,178.028082,1093.688258,-857.052653,-46.858939,B
1921.68699,268.947205,2323.692291,-1682.885974,-43.938719,M
943.040676,172.405874,1028.320245,-779.187131,-50.081501,B
817.86769,164.37503,860.034465,-664.552336,-63.018436,B
769.101223,155.205735,790.156226,-619.568621,-45.912766,B
568.994111,129.721261,489.406478,-429.853168,-48.633345,B
1370.429237,214.635128,1473.378996,-1165.093317,-54.613898,B
1413.67531,214.166335,1575.376108,-1197.349507,-64.026784,M
883.550233,165.988881,879.376865,-716.584943,-47.250112,B
572.821799,130.42715,584.542067,-437.09951,-54.33381,B
1569.249148,297.010372,3005.025446,-1356.078817,-47.798537,M
997.323439,173.555191,974.825076,-837.202797,-29.402066,B
781.455217,153.746048,762.663124,-624.5147,-50.250341,B
838.069771,167.371911,875.001324,-678.947531,-46.844246,B
1306.557087,220.65322,1394.930223,-1114.445917,-31.818425,B
837.644269,160.83537,810.226053,-680.387212,-34.133324,B
1151.380601,197.858676,1207.4669,-964.462822,-44.129156,B
608.919714,138.257389,635.937228,-471.661458,-40.316912,B
641.559945,136.178156,619.168692,-497.685801,-50.285824,B
694.658174,157.377019,743.715476,-553.476541,-37.44168,B
742.40657,160.954169,811.184951,-587.935328,-55.602283,B
782.048775,146.417952,713.74968,-632.961201,-35.261858,B
1008.440978,174.470967,1002.030173,-839.148357,-36.438914,B
1363.394922,241.748315,1420.705114,-1147.934426,-47.5818,M
951.300275,174.316295,875.463331,-781.941941,-39.8221,B
2396.895837,286.257244,2553.258132,-2132.582118,-43.350265,M
2136.889199,281.096542,2754.818911,-1887.430747,-53.531237,M
1331.137937,201.833657,1336.888352,-1138.566629,-35.659195,B
1196.089724,219.921564,1476.98161,-1005.521139,-53.319303,M
1025.035819,185.792407,1065.948459,-849.325438,-42.337332,B
1214.05338,197.853906,1285.898751,-1032.653195,-37.469362,B
1179.912705,195.88559,1272.910951,-995.309383,-48.616477,B
1205.574704,190.384233,1184.183807,-1024.415838,-33.491068,B
767.670994,172.950894,797.849667,-615.487649,-46.526635,B
1803.389181,257.195011,2192.249398,-1567.021266,-61.380086,M
1167.747234,192.642905,1217.220309,-988.266246,-30.45034,B
706.124188,134.098768,612.596839,-563.126645,-40.523823,B
1918.216923,261.173979,2231.086221,-1686.24643,-38.099778,M
898.716546,165.095463,858.4729,-723.170478,-52.618353,B
1903.345235,280.82577,2453.05572,-1652.966857,-66.662849,M
1334.761508,208.040062,1423.387247,-1139.138258,-39.463593,B
