@relation 'chess_king_rook_king_pawn-weka.filters.unsupervised.instance.Randomize-S250-weka.filters.unsupervised.instance.RemovePercentage-P34.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Remove-V-R6,4,10,18,23,32'

@attribute '0.346bxqsq=t-0.326rkxwp=t+0.29 wknck=t+0.284katri=n+0.269rxmsq=t...' numeric
@attribute '-0.326katri=b-0.307 hdchk=t-0.295bkon8=t-0.291bkblk=t+0.288rkxwp=t...' numeric
@attribute '0.395 skrxp=t-0.368bkxbq=t+0.335wknck=t+0.301bxqsq=t+0.296thrsk=t...' numeric
@attribute '0.602 hdchk=t-0.359bkxbq=t-0.301wknck=t-0.253katri=b+0.22 skach=t...' numeric
@attribute '-0.309bkblk=t-0.301skewr=f+0.28 wknck=t-0.27rimmx=t-0.264reskr=t...' numeric
@attribute outcome {won,nowin}

@data
1.498688,-2.021972,0.130695,-0.355688,0.885225,nowin
-0.22103,-0.169597,-0.040291,0.065661,-0.413273,nowin
-1.295015,0.707074,-0.48631,0.298397,0.125028,won
1.036442,0.549329,3.273035,-0.103453,-0.827994,won
-1.164235,-0.179926,1.732446,0.324419,-0.919349,won
0.422679,-0.51354,-1.569349,-0.758484,-0.12533,won
0.186009,-0.194388,-0.161643,0.18554,-0.469168,nowin
1.044898,-0.208631,0.412293,-0.701797,1.417295,nowin
-0.90241,0.458266,-0.853423,0.17316,-0.583962,won
0.40159,-0.616785,-0.831517,-0.038313,0.289537,nowin
-1.069593,1.234663,-0.116335,0.423664,-0.451482,won
0.717619,-0.693296,-0.184609,-1.700183,0.312036,won
-0.939697,-0.332345,-0.316683,0.540048,0.865088,won
1.882101,0.855206,0.259336,-0.365561,0.930476,nowin
-0.805361,0.4413,0.235806,1.063084,-0.04405,won
-1.408819,-1.367669,1.574313,0.130245,-1.390853,won
-0.885947,-0.766525,0.004689,0.781329,-0.785542,won
-0.082366,0.51233,0.86092,1.569413,-0.190569,won
0.24738,-0.073551,-0.088475,-0.709546,0.598439,nowin
-0.031687,3.11919,0.581731,-0.189307,0.123552,won
-0.840551,-0.413868,-0.691202,-0.064238,-1.647674,won
-0.544959,1.326336,-0.056308,1.475001,0.013395,won
-1.753822,0.794859,0.358273,-0.36517,0.020848,nowin
-2.477596,-4.427253,-1.091263,0.993166,0.252107,nowin
0.072694,-1.024888,2.176073,-0.36833,1.420897,nowin
1.226828,1.542197,0.114524,-0.273196,0.298656,nowin
0.095785,1.442993,-0.908432,-0.214243,-0.453819,won
0.530629,-0.441466,-0.696127,-0.46987,-0.267376,nowin
0.374405,0.313843,-0.305356,0.620913,0.181837,nowin
-0.66462,-0.882564,1.731009,0.652466,-1.089976,won
0.621502,0.915575,1.548852,0.115982,-1.314441,won
-0.415624,-0.134645,-1.456437,0.145611,0.249056,won
1.065811,0.514417,1.015957,0.216051,0.984352,nowin
0.446729,0.151933,0.287495,0.958843,0.85727,nowin
0.562174,1.425261,0.847008,-0.534833,-0.812194,won
-0.43993,-0.384056,-1.498378,0.271008,0.696321,won
-2.078163,1.879401,0.365634,0.89307,1.282943,won
-0.226726,-0.276505,-0.678293,-0.793214,-0.982893,nowin
-0.712106,0.082495,-0.417228,0.884449,0.316556,won
-0.42634,-0.467322,-1.045095,-0.018596,0.735576,won
1.014708,-1.068733,1.072961,-0.540503,1.440245,nowin
0.045283,2.747956,-1.399404,-0.629387,-0.960049,won
-2.317896,0.633009,0.736381,-0.689319,-0.199122,nowin
-0.933642,-0.520968,0.031436,0.569517,-0.009525,won
0.337183,1.501866,1.284926,-0.231654,1.193908,nowin
-1.230847,1.481131,-1.249517,-0.133764,1.121165,won
0.151666,0.199961,0.548419,0.363915,0.088876,nowin
-0.533945,1.803065,-0.575778,-0.103352,-0.43707,won
0.206475,-0.540439,-1.432918,0.143658,-0.189884,won
-0.067824,-0.508784,-1.012653,0.475538,0.190801,won
-1.508291,-1.238421,0.056337,-1.071631,0.03242,won
-0.44311,0.086889,-0.138102,0.98131,-0.485472,won
-1.200298,1.178186,0.341199,1.21055,0.446887,won
-0.569899,-1.944189,-0.537405,-0.111176,1.019833,nowin
-0.041276,-0.882116,-2.231285,-0.315773,0.140337,won
-0.588562,-0.42333,0.5441,-0.270425,-0.164654,nowin
-2.291532,-1.573304,0.598837,-0.420409,-0.422451,nowin
-0.061287,-0.174332,-1.487715,0.053389,-0.115061,won
0.042434,-0.738017,-0.329564,-0.241232,0.213834,nowin
0.608259,-0.112714,-0.535316,0.043207,0.178811,nowin
-0.290489,1.46856,-0.603934,0.346705,1.275143,won
0.037072,-7.685226,-2.140674,9.554107,2.639663,nowin
2.131316,0.912665,-0.045576,-0.836637,0.408,nowin
-0.833467,-1.907709,1.101515,-0.723317,-0.994487,nowin
-1.519349,-0.821206,1.091263,1.480011,-0.565602,won
0.781327,-1.43599,-1.944868,-0.659182,0.634052,nowin
0.078188,0.331678,1.403768,1.210611,-0.557368,won
-0.467416,-0.162523,-0.180043,1.106707,-0.038206,won
-0.700688,-0.229896,-1.01471,-0.396091,0.793838,won
-1.025701,1.670703,1.291109,0.22078,0.695741,won
-1.336721,1.348551,-1.242286,-0.450758,-0.241532,won
0.612135,0.872011,0.417628,1.558947,-0.636833,won
0.848399,-0.348842,-1.01432,-0.920616,0.336587,nowin
1.25703,0.240073,-1.189886,-1.204649,0.159135,nowin
-0.957919,-0.350687,-1.293732,-0.299564,-0.849507,won
-0.141637,-0.053844,0.227352,0.392451,1.338168,nowin
0.826644,1.159559,-0.54076,-0.692495,0.184365,nowin
-1.259224,0.447976,-0.038278,0.273145,-1.415118,won
1.953683,-0.516018,-1.117537,-0.5982,0.058255,nowin
-0.722099,-0.082116,0.386134,0.083124,-2.007734,won
1.294726,-1.373269,-0.459723,-0.907731,0.810615,nowin
2.106543,2.382528,0.428406,-0.574167,-0.750211,nowin
-1.83083,-2.687553,0.245125,-1.081607,-1.394252,won
0.772613,0.715821,0.013177,0.895677,0.565544,nowin
2.70371,-2.482199,0.924617,-0.613027,0.666016,nowin
-0.757502,0.300324,-0.304646,0.781139,-1.157296,won
1.473073,-0.539928,0.742687,1.396466,-0.564048,nowin
-0.551845,1.634481,-1.18921,-0.409972,0.296089,won
0.969181,0.426915,0.381165,0.003518,0.756184,nowin
0.194375,0.050245,1.261707,-0.225309,-1.927192,won
3.632275,1.149334,1.504074,0.324237,0.149088,won
0.121679,0.298017,-0.428734,-0.669084,0.819653,nowin
-0.013202,-0.454136,-0.675298,0.201097,-1.203035,won
1.661933,0.228913,0.90833,0.49265,1.108217,nowin
1.587399,1.643636,-0.566861,-0.936068,-0.914821,nowin
-1.346592,-1.832072,1.249859,-0.449258,0.218788,nowin
-1.554642,1.349347,-1.282091,-0.23479,-0.585149,won
-0.082021,-0.456304,-0.615848,0.710535,-0.157488,nowin
2.951932,-0.464416,0.251374,0.070738,0.57197,nowin
0.052809,-0.009331,0.689213,0.656568,0.206168,nowin
-0.464037,-2.350256,0.108874,0.382332,0.479107,nowin
-1.147393,-0.471038,-0.967979,-0.522721,-0.719376,won
-1.026578,-2.325995,0.134937,-1.69523,-1.852327,won
1.391695,1.078305,0.74164,0.152885,0.692626,nowin
0.587843,-1.428985,0.12093,-0.200804,0.135121,nowin
-1.108086,-1.061129,1.520546,-0.322912,0.214496,nowin
-0.089579,0.999616,-0.539092,0.703659,0.038579,won
-1.199015,-2.751771,0.483225,-1.03473,0.046531,won
0.541085,1.322015,1.58484,0.185337,-0.397327,won
-1.22763,1.627297,-0.469744,0.46101,1.088767,won
-0.001945,0.161167,-0.291357,1.036404,-0.650599,won
-0.166702,-0.510259,-1.859122,0.561412,0.550634,won
1.435903,-0.243271,0.969393,0.838682,0.453593,nowin
0.822155,0.215491,-0.481615,0.14645,0.078286,nowin
-0.947232,-0.437702,-0.421847,0.859121,-0.04878,won
-0.69353,-0.477714,-0.693895,0.267218,0.651692,won
2.760257,0.168632,-0.99433,-0.791897,-0.254738,nowin
-0.565144,1.397928,-0.276691,0.507218,0.773352,won
-0.941353,-0.535854,-1.135938,0.635708,-0.305669,won
-1.316105,0.603828,0.251522,1.018567,0.539895,won
0.193819,-1.518685,-0.642352,1.693399,0.314848,won
-1.383698,0.800775,-0.730592,0.492044,0.735748,nowin
-1.188502,1.130538,-0.224032,-0.800424,0.132102,nowin
-0.081396,-0.062322,0.668399,0.78418,-1.153405,nowin
-0.497403,-0.064467,-1.157196,0.073708,0.692571,won
0.555254,-0.16274,0.450061,-1.115801,-0.310628,won
-0.934253,-0.807437,-1.058811,0.269014,-0.774654,won
-0.355699,-1.422657,-0.308659,0.140566,1.462806,nowin
-1.046758,-0.470713,-0.727209,-0.023041,-1.783965,won
0.99382,-4.216633,0.208892,-1.323435,-1.746122,nowin
-1.120589,1.251898,-0.566428,-0.850534,1.144198,nowin
1.496765,0.357973,1.276023,0.144097,0.791082,nowin
0.790707,-2.326327,-1.316448,-1.738484,1.926386,nowin
2.04558,0.832845,-0.412548,-1.052534,-0.795953,nowin
0.073393,-0.19571,-0.425172,-0.783296,-0.062422,nowin
-0.933193,0.050494,-0.739233,-0.270978,-0.276402,won
0.439341,-1.405316,0.64859,-0.750316,1.298586,nowin
-1.025832,-0.472048,-0.951336,-0.249454,-1.861602,won
-1.933448,0.680506,1.124186,-0.651379,-0.492304,won
0.474818,0.352434,0.673135,0.086242,0.288887,nowin
-3.084188,-5.09279,1.081109,-2.395354,-1.389683,nowin
1.436214,-0.617389,-3.867898,0.071812,-0.30787,nowin
0.257744,0.829695,0.018176,0.851496,0.95205,nowin
-1.205871,0.504964,0.324859,-0.547965,0.447612,nowin
1.34268,0.526221,0.621484,-0.162345,0.006616,nowin
-1.629453,-0.124264,-1.457256,1.758843,-0.597086,won
-0.35744,1.292489,0.028563,-0.602759,0.609444,nowin
-0.013482,0.059039,0.326004,0.734071,-0.141309,nowin
-1.800647,0.391892,-0.361663,0.06943,-0.126735,won
-0.197349,-0.314168,-1.282597,-0.133381,0.135379,won
-1.468274,-3.254495,1.353434,0.967448,-0.824305,nowin
-0.191458,0.233583,0.088378,0.657645,-1.520868,won
-0.43523,-0.691129,-0.269037,-0.186081,-0.856246,nowin
0.417891,-2.577438,-0.226306,-1.696106,1.139559,nowin
1.214476,-1.952806,-0.272318,-0.062217,0.194131,nowin
-2.520325,2.809424,0.574441,0.910645,0.551456,won
0.332348,-2.47829,-2.074052,-0.997344,0.644305,won
0.502535,-0.002504,-0.886749,0.141854,0.149772,nowin
-1.413741,0.778108,-1.745708,0.394763,1.17965,won
-0.656026,1.020886,-0.531389,-1.309978,0.810313,nowin
-2.458537,-1.968456,0.198292,-1.630851,1.757902,nowin
0.155274,-0.381473,-0.739306,-0.159843,-0.809567,nowin
0.205658,0.813947,0.324405,-0.46574,-0.90784,nowin
0.086806,0.32425,1.069438,0.880047,0.483757,won
0.521142,0.422127,0.573455,1.13258,-0.465337,nowin
1.381437,0.50011,0.609274,-0.699819,1.083949,nowin
-0.389118,0.700874,-0.362116,0.151655,-1.482188,won
0.875844,-0.951292,-0.386152,-0.889711,-0.703619,nowin
0.049592,-0.155497,-0.09056,0.061794,0.238566,nowin
1.920478,-1.041374,-1.71108,-1.12656,-0.543277,nowin
0.81607,0.685638,0.565126,1.003316,-0.260763,nowin
0.09267,-0.539617,1.316708,-0.326518,0.30786,nowin
-0.117237,1.050457,2.325156,0.675163,0.954416,won
-0.778592,0.197078,0.433186,1.501309,-0.742429,won
-1.496653,0.044943,-0.452545,-0.079576,1.201043,nowin
0.177574,0.417885,-1.082993,0.116711,-0.576647,won
0.569365,0.754415,0.942817,-0.531833,0.879655,nowin
-0.210585,0.554373,0.922327,0.445689,0.530297,won
-1.240055,-0.27597,-0.366326,0.598636,0.878782,won
1.15197,-0.06349,0.836855,-0.09428,0.527685,nowin
-3.075774,-1.41753,0.738564,-1.235934,1.005533,nowin
-0.711943,0.187075,-0.930933,0.390693,-0.020674,won
1.127663,-0.312902,0.794914,0.031117,0.97495,nowin
0.419387,-1.893015,0.04612,-1.835556,-1.561902,won
-0.665896,0.581824,-1.173613,-1.488085,0.671702,nowin
-0.347114,2.162381,0.55359,-0.756371,-0.90646,won
0.026912,-0.760467,-1.861258,0.470841,1.341516,won
-0.652697,-0.220703,-0.440178,0.921491,-0.252135,won
2.812776,0.13584,-0.213474,-0.013675,0.329796,nowin
0.582306,-0.350507,1.917313,-0.434565,1.106677,won
-0.072575,-0.157937,-0.233618,0.115463,0.550889,won
-0.249607,3.119986,0.541926,0.026661,-0.220065,won
0.44665,-0.957396,-1.449267,-0.673214,1.460117,nowin
-3.071158,-1.589298,0.878051,-0.422548,-0.443461,won
-0.340252,2.382506,-1.06904,0.073406,0.614489,won
1.062599,0.17269,-0.785574,-0.668873,0.77956,nowin
1.372335,-1.212196,-0.593212,0.161236,-0.396321,nowin
3.748407,0.989631,-0.522845,-0.39076,-0.947285,nowin
-1.119636,-2.624203,0.437217,-1.321967,0.059222,nowin
0.851915,0.186211,0.962256,0.112808,1.084877,nowin
-1.359936,-2.326896,0.9359,0.725682,0.159395,nowin
0.827305,-0.256527,0.74527,0.089705,0.988644,nowin
0.096117,-0.526269,-0.891927,0.293204,0.884841,nowin
2.072812,1.444918,0.043965,-0.433626,0.409407,nowin
0.903301,0.575235,-0.350645,-0.62674,0.087505,nowin
0.695797,-0.570527,-1.063821,-0.121317,0.049758,nowin
0.890417,1.108913,1.199921,-0.180899,1.118387,nowin
-0.840998,-1.166241,-1.711845,0.09038,-0.414048,won
-0.254446,-0.96541,-0.857226,-0.113031,1.482862,won
0.77812,-0.147127,3.910527,0.652566,-0.135639,won
1.096493,-0.117913,0.100656,0.279018,-0.068971,nowin
-0.779517,-0.70736,-1.043547,-0.127925,-0.762498,won
-0.343197,-0.172036,-0.183349,0.11933,-0.10095,won
0.824125,1.177284,0.836712,-0.103396,0.770909,nowin
0.086421,-4.794127,2.038802,-2.86149,0.768983,nowin
-1.596317,0.474362,-0.775141,0.143066,0.177627,won
0.802043,-0.907453,0.349676,0.050938,0.578094,nowin
0.089552,1.301866,-0.258326,0.356407,0.39554,won
1.19853,-0.729001,-1.376602,-0.889829,-0.364683,nowin
-0.034585,-0.111875,-1.506179,0.592751,0.893624,won
1.36377,0.629466,-0.116348,-0.882515,-0.408251,nowin
2.176868,0.624392,-0.331122,-0.72755,-1.0432,nowin
-0.45771,-0.209143,0.985971,0.649907,-0.506536,won
1.273931,0.341085,-0.654268,-0.805598,1.279018,won
-0.688666,1.079862,-0.311059,-0.908793,0.680625,nowin
-0.806502,1.025569,-0.285046,-0.167053,0.305429,nowin
1.414942,-0.234938,0.774789,1.113689,-0.654002,nowin
0.569778,0.831413,1.306352,0.062131,0.477181,won
0.66366,0.173927,0.539054,1.137917,-0.145868,nowin
-0.458241,0.147064,-1.202981,-0.20121,0.679798,won
-0.316069,1.589296,-0.97793,-0.024454,0.582551,won
-1.002443,0.074322,-0.38569,0.966885,0.542389,won
-0.68366,-0.038652,-0.051671,0.445325,0.790303,won
-0.564413,-2.531207,2.26407,-1.696862,1.244735,nowin
-2.144268,0.764256,-0.741727,0.32586,-0.249138,won
-0.07883,0.980907,-0.337764,0.15454,0.73876,won
0.352509,0.536912,0.152648,0.218315,-0.109721,won
0.330828,-0.626311,2.107927,-0.406305,1.546626,nowin
-0.355541,-0.698838,1.807801,-0.140371,0.234085,nowin
-0.449092,-0.216571,0.65164,0.319343,0.534589,won
-0.46322,-2.032665,-0.293301,-0.062872,-0.932201,nowin
-0.455039,0.669192,-0.20781,0.332802,-0.038854,won
1.037426,-0.157291,-0.000136,-0.211718,0.877399,nowin
-2.938513,-0.412287,0.502458,-0.789711,0.092973,nowin
0.429923,0.886753,1.147722,0.085263,0.418665,won
0.583609,-0.242057,0.213679,1.024364,-0.287747,nowin
-0.31512,-0.844496,-1.078059,-0.743783,0.610349,won
-0.375312,1.198047,0.701445,0.893378,0.806259,won
-1.075983,0.427201,0.286076,1.066951,-0.695889,won
0.07083,0.224052,-1.134772,0.084728,0.227929,won
-0.447671,-0.906891,2.963871,0.732887,0.176898,won
4.221369,-2.439436,0.187249,-1.245238,-0.961689,nowin
-0.222421,0.415634,0.476885,0.181479,-0.478429,won
0.376083,0.439177,-1.214966,0.053235,0.255873,won
-1.075386,1.080282,0.534613,-0.207867,1.906542,nowin
1.017587,0.478826,2.733025,-0.531229,-0.206919,nowin
0.040438,0.444787,-0.129972,1.066991,0.336145,won
-0.044499,-0.830397,-1.128328,-0.74765,1.262188,won
-0.544343,2.162866,-0.85904,-0.068736,-0.624038,nowin
1.129141,-11.691016,-3.392082,6.267786,1.690569,nowin
-0.086841,-0.570982,0.277732,0.237569,0.093168,nowin
-0.672441,-0.374468,-1.431726,-0.452952,0.236825,won
-0.094013,-0.442833,1.787768,-1.385713,0.757683,nowin
1.277611,1.207373,0.062755,-0.572185,0.048417,nowin
-0.609412,2.844018,-1.417769,-0.478576,-0.582238,won
0.27986,0.157646,0.751438,-1.097133,-0.657995,won
-0.993444,-0.264282,0.044383,0.724109,0.151237,won
0.20609,-9.364159,-2.282386,7.962177,2.650186,nowin
1.170331,-1.901347,0.112498,-1.945482,-0.338208,nowin
0.964026,-0.102091,0.849232,0.361951,0.824408,nowin
0.288644,-0.970173,-1.135469,0.299488,0.401532,nowin
1.808148,0.28262,1.946948,0.630416,-2.571889,won
-0.588399,-0.31875,0.030395,-0.764181,-0.501884,won
-1.714857,0.713029,0.06281,1.017396,0.017608,won
-1.783278,1.017465,-0.910554,-0.183029,-0.442245,won
-1.090406,1.113239,-1.334496,-0.329229,0.857572,won
-0.227683,-0.462493,0.097258,0.482328,-0.584283,nowin
-0.687196,2.283596,-1.717598,-0.606572,-1.732945,won
1.849904,2.2946,-0.137692,0.088894,-1.067342,nowin
1.211287,0.381755,1.414018,0.297485,-0.295249,nowin
-3.108063,-3.224928,0.538249,-1.414099,0.360721,nowin
-0.763559,0.66051,0.081441,-0.077012,1.274125,nowin
-1.619086,0.9724,0.087413,0.722357,0.18655,won
-1.393667,1.158115,-1.063897,0.075823,0.076045,won
-0.428003,-0.113325,-0.086192,-0.400827,0.119722,won
1.362952,0.311876,0.285828,-0.437311,1.003056,nowin
-1.071228,-0.824705,-0.255445,0.596113,-0.99947,won
-0.170032,0.180672,0.359367,0.054953,0.582681,nowin
0.356654,-2.228878,-2.032111,-1.12274,0.197039,won
-0.797826,0.546657,0.34097,0.744011,0.869818,won
-1.658943,0.631394,-1.531964,-0.488749,0.778716,won
2.731461,-8.547377,-4.665049,8.612982,0.697513,nowin
-0.917047,-0.286443,-1.093997,0.510311,-0.752934,won
-0.85746,0.530031,-0.495289,-0.596415,1.244083,nowin
-0.523254,2.266111,-1.596872,-0.788907,-1.038905,won
0.277723,-0.11324,-0.83865,-0.70966,0.24194,nowin
0.537658,-2.180564,-1.069248,-0.913086,-0.504545,nowin
0.756659,0.030718,-0.75719,-0.815902,0.387247,nowin
1.194702,0.308746,0.413475,-0.2984,0.176205,nowin
0.47946,0.23409,0.061096,-0.008347,-1.065313,won
-0.666749,1.119742,-0.710659,-0.664481,0.723014,nowin
2.257892,1.032601,-1.032366,-0.522095,-1.836831,won
-0.406507,-0.994123,3.491158,0.642654,0.994411,nowin
-1.469857,1.378682,-0.55149,0.802375,1.192415,won
-0.784623,0.712528,1.177678,1.194207,0.108542,nowin
1.440142,-1.552535,0.31857,-0.55113,-0.224636,nowin
2.176295,1.057586,1.498429,0.595724,1.017821,won
-2.971783,-1.219953,0.101239,-1.301749,-1.656016,won
-0.5955,-0.047168,-0.046732,-0.397488,-0.0329,nowin
1.666759,1.034989,-0.483804,0.373583,-0.843847,nowin
1.000341,0.352237,0.446729,0.431681,0.614105,won
0.553622,-0.144001,-0.763474,-0.008635,0.44303,nowin
-0.463807,2.598454,0.31318,-0.225081,-0.663038,won
