@relation vote_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A17-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Class {democrat,republican}

@data
-0.032862,0.038673,0.08691,0.013852,-0.076889,-0.033963,-0.025024,0.063265,0.126762,-0.05639,-0.013075,-0.000259,-0.01951,-0.014134,0.111078,0.03423,democrat
-0.045027,0.008098,-0.086775,0.038427,0.013542,-0.063154,0.029325,-0.049454,-0.001027,0.030511,0.066698,-0.00068,-0.025512,-0.009615,-0.064235,0.074669,republican
-0.050509,0.002899,-0.076142,0.042925,0.056769,-0.035383,0.026734,-0.034084,0.053401,0.069564,0.073007,0.006302,-0.048163,0.01171,-0.05182,-0.002101,republican
0.046208,-0.021077,0.202454,0.104655,-0.135019,-0.02116,-0.078629,-0.011321,0.111275,0.051805,-0.148804,-0.021478,-0.00285,0.03302,0.14255,0.03732,democrat
0.080944,0.009315,0.109209,-0.012781,-0.149613,0.032255,-0.05953,0.042567,0.025081,-0.065748,-0.140988,-0.11199,-0.066054,-0.031694,0.034715,-0.105453,democrat
0.006307,0.013962,-0.141437,0.005796,0.094133,-0.012507,0.0697,-0.010047,-0.076759,0.070349,0.109648,0.050128,-0.044501,-0.010543,-0.098461,0.032565,republican
0.047299,-0.00011,0.171687,-0.032681,-0.151345,-0.033287,-0.10887,0.048361,0.060331,-0.132754,-0.079474,-0.084687,0.011439,-0.021455,0.025035,-0.006837,democrat
0.029828,0.01375,0.154952,-0.019641,-0.214726,-0.015601,-0.074599,0.057659,0.029675,-0.11694,-0.018189,-0.011833,-0.065512,0.007852,0.120298,-0.00148,democrat
0.069001,-0.005369,0.135474,-0.040897,-0.098425,-0.029529,-0.068245,0.06358,-0.015214,-0.12105,-0.099796,-0.126936,-0.048854,-0.053146,0.06382,-0.070909,democrat
0.00982,-0.012625,0.115695,-0.001874,-0.136852,-0.033637,-0.056455,-0.000766,0.040445,-0.094688,-0.106547,-0.131262,-0.002741,-0.057157,0.073961,-0.013241,democrat
0.018843,0.00543,0.132001,-0.016822,-0.123185,-0.029685,-0.079159,0.037145,0.018814,-0.123798,-0.077559,-0.145888,-0.040301,-0.032978,0.047994,-0.01354,democrat
0.015001,-0.008158,0.044759,-0.006096,-0.09741,0.047577,-0.021771,0.00636,-0.008503,-0.036235,-0.058547,-0.089876,0.007014,-0.021986,0.030599,0.002748,democrat
-0.007676,-0.032202,0.122026,-0.003513,-0.107714,0.043922,-0.078506,0.03519,0.051997,-0.060362,-0.082504,-0.132031,0.000399,0.027532,0.083771,-0.042542,democrat
0.055309,-0.024503,0.146084,-0.024017,-0.184122,0.028159,-0.098423,0.03667,0.045841,-0.090028,-0.113849,-0.065627,0.051818,0.010407,0.038413,-0.005388,democrat
0.047299,-0.00011,0.171687,-0.032681,-0.151345,-0.033287,-0.10887,0.048361,0.060331,-0.132754,-0.079474,-0.084687,0.011439,-0.021455,0.025035,-0.006837,democrat
0.065796,0.00446,-0.044863,-0.178841,0.019937,0.000828,-0.025352,-0.129138,0.022831,0.039944,-0.104453,-0.033557,0.033597,-0.025065,-0.04257,-0.00953,republican
0.047299,-0.00011,0.171687,-0.032681,-0.151345,-0.033287,-0.10887,0.048361,0.060331,-0.132754,-0.079474,-0.084687,0.011439,-0.021455,0.025035,-0.006837,democrat
-0.006722,0.008103,-0.144942,0.016412,0.096854,-0.047181,0.08718,-0.042112,-0.047883,0.078095,0.097847,0.055225,-0.02713,-0.050653,-0.079183,0.032139,republican
0.035447,0.010694,0.110048,-0.030619,-0.092793,-0.01747,-0.06193,0.029267,0.047504,-0.087918,-0.026088,-0.047734,0.018374,-0.042324,-0.005737,0.008002,democrat
0.04241,0.008272,0.137639,-0.012468,-0.084977,0.013694,-0.074548,0.058148,0.079998,-0.066402,-0.094371,-0.126722,-0.085923,-0.018976,0.050426,-0.136629,democrat
0.016982,-0.013505,-0.021663,0.01229,-0.02025,-0.078814,-0.006701,-0.003925,-0.022228,-0.011578,-0.008927,-0.01868,-0.041001,-0.008914,-0.017637,0.002461,republican
0.018843,0.00543,0.132001,-0.016822,-0.123185,-0.029685,-0.079159,0.037145,0.018814,-0.123798,-0.077559,-0.145888,-0.040301,-0.032978,0.047994,-0.01354,democrat
-0.006722,0.008103,-0.144942,0.016412,0.096854,-0.047181,0.08718,-0.042112,-0.047883,0.078095,0.097847,0.055225,-0.02713,-0.050653,-0.079183,0.032139,republican
0.009104,-0.00886,-0.017577,-0.0038,0.006887,-0.048027,-0.005561,0.011355,0.04363,0.051841,0.045811,-0.069343,0.022832,0.036289,0.070836,0.036319,republican
0.094732,0.036335,-0.018389,-0.034153,-0.035434,-0.005954,-0.028748,0.077227,-0.047794,0.012618,0.034049,-0.071679,-0.05539,0.064606,-0.006792,0.020577,republican
-0.041251,-0.005136,-0.129313,0.021056,0.145101,-0.035019,0.077386,-0.032376,-0.00021,0.098805,0.127277,0.050023,-0.026809,-0.022004,-0.056783,0.001688,republican
0.078876,-0.021661,0.151722,-0.019664,-0.145914,0.071537,-0.093811,0.057674,0.107025,-0.032632,-0.130662,-0.046461,0.006196,0.024408,0.040845,-0.128477,democrat
0.066351,0.027978,0.098068,0.019232,-0.043124,-0.010659,-0.082243,-0.059577,0.015637,-0.09622,-0.025057,-0.061547,-0.018838,-0.000718,0.00322,0.031054,democrat
0.006991,0.016234,0.070362,-0.01476,-0.064633,-0.013869,-0.032219,0.018051,0.005987,-0.078962,-0.024172,-0.108935,-0.033365,-0.053847,0.017222,0.001299,democrat
0.071985,-0.004449,0.114261,0.033764,-0.120373,0.036771,-0.10388,-0.057782,-0.006784,-0.093852,-0.111861,-0.110042,-0.011264,0.046252,0.05885,0.014312,democrat
0.026853,-0.018962,0.106398,-0.008158,-0.155961,0.031761,-0.068712,0.025454,0.004324,-0.081071,-0.111934,-0.126829,0.000078,-0.001116,0.061372,-0.012091,democrat
0.080579,0.025207,0.117911,0.011302,-0.057205,-0.012459,-0.097098,-0.053969,0.036395,-0.100698,-0.026015,-0.030947,0.007032,0.005044,-0.00826,0.034406,democrat
0.030717,0.004241,0.110645,-0.031663,-0.123359,-0.007687,-0.048822,0.01669,0.026163,-0.078399,0.016308,-0.015025,-0.014401,-0.036004,0.032726,-0.007461,democrat
0.063975,0.019944,0.139864,0.0251,-0.087596,-0.024674,-0.114328,-0.046091,0.007706,-0.136578,-0.077486,-0.129101,-0.051643,0.01439,0.045472,0.012863,democrat
0.055403,-0.000097,0.053219,0.034781,-0.092388,0.062371,-0.043832,-0.089452,-0.040952,-0.039496,-0.016078,-0.04038,-0.037104,0.031703,0.06654,0.013688,democrat
0.096734,-0.030641,0.157994,-0.024848,-0.08917,-0.036012,-0.08069,-0.029642,-0.116545,-0.148732,0.009073,-0.050147,-0.088358,0.001342,0.174016,-0.040163,democrat
-0.002717,-0.004093,-0.157743,0.020744,0.080465,-0.016458,0.092404,-0.047957,-0.055128,0.099459,0.08066,0.064754,-0.00694,-0.034722,-0.072494,0.032864,republican
0.047299,-0.00011,0.171687,-0.032681,-0.151345,-0.033287,-0.10887,0.048361,0.060331,-0.132754,-0.079474,-0.084687,0.011439,-0.021455,0.025035,-0.006837,democrat
-0.002174,-0.011699,0.004147,-0.045014,-0.011758,-0.072955,-0.009857,-0.033484,-0.037036,0.027768,-0.036859,0.007202,-0.078163,-0.00934,-0.014418,0.026338,republican
0.029557,0.023491,0.074294,0.006201,-0.046839,-0.011363,-0.049803,-0.023567,0.000433,-0.085352,-0.024136,-0.100542,-0.039037,-0.030163,0.015961,0.014501,democrat
0.010442,0.032986,-0.133048,-0.004155,0.135359,-0.031508,0.090299,-0.015354,0.031976,0.138494,0.146651,0.007217,-0.006457,-0.028704,-0.007382,0.018954,republican
0.070288,-0.00419,0.133245,0.028745,-0.057879,-0.106295,-0.015702,-0.018907,-0.025226,-0.055307,-0.016629,0.054375,-0.017662,-0.057649,0.18579,0.071506,democrat
-0.012795,-0.010677,-0.089627,0.005197,0.116941,-0.038621,0.047675,-0.021159,0.041306,0.089849,0.125361,0.111224,0.024931,-0.010481,-0.079743,0.008392,republican
0.010909,-0.032285,0.033651,0.001075,-0.000163,-0.070254,-0.046206,0.017028,0.066961,0.000176,0.018587,0.037319,0.011059,0.031257,-0.018197,-0.021287,republican
-0.017547,-0.026745,-0.006035,0.016934,0.027997,-0.066652,-0.016495,0.005811,0.025444,0.009132,0.020503,-0.023883,-0.040681,0.019734,0.004762,-0.02799,republican
-0.017547,-0.026745,-0.006035,0.016934,0.027997,-0.066652,-0.016495,0.005811,0.025444,0.009132,0.020503,-0.023883,-0.040681,0.019734,0.004762,-0.02799,republican
-0.029399,-0.015941,-0.067674,0.018995,0.086549,-0.050836,0.030445,-0.013282,0.012617,0.053968,0.07389,0.01307,-0.033745,-0.001135,-0.026011,-0.013151,republican
-0.035548,0.02976,0.068061,0.005012,-0.018634,-0.003589,-0.033957,0.062239,0.065685,-0.061475,-0.018249,-0.106702,-0.044445,-0.008533,0.057959,0.007132,democrat
-0.006722,0.008103,-0.144942,0.016412,0.096854,-0.047181,0.08718,-0.042112,-0.047883,0.078095,0.097847,0.055225,-0.02713,-0.050653,-0.079183,0.032139,republican
0.052123,0.030748,0.078225,0.027161,-0.029044,-0.008858,-0.067387,-0.065185,-0.005122,-0.091742,-0.024099,-0.092148,-0.044708,-0.006479,0.014699,0.027703,democrat
0.092431,0.014403,0.17955,0.009241,-0.115756,-0.028276,-0.144039,-0.034875,0.049222,-0.145535,-0.079402,-0.067899,0.000096,0.025913,0.022513,0.019567,democrat
0.079403,0.008544,0.176045,0.019857,-0.113035,-0.06295,-0.126559,-0.06694,0.078098,-0.137788,-0.091202,-0.062803,0.017467,-0.014197,0.041791,0.019141,democrat
0.070618,0.065865,-0.105544,-0.044729,-0.029901,-0.056532,0.012839,-0.01458,0.048306,-0.068883,0.023565,-0.024092,-0.020808,-0.010102,0.051214,-0.017094,republican
0.047381,0.022202,-0.062123,-0.035378,-0.048319,-0.063644,-0.029785,-0.020386,0.057636,-0.117529,0.002275,0.079915,0.010579,0.00812,-0.021147,-0.027657,republican
-0.041251,-0.005136,-0.129313,0.021056,0.145101,-0.035019,0.077386,-0.032376,-0.00021,0.098805,0.127277,0.050023,-0.026809,-0.022004,-0.056783,0.001688,republican
0.080944,0.009315,0.109209,-0.012781,-0.149613,0.032255,-0.05953,0.042567,0.025081,-0.065748,-0.140988,-0.11199,-0.066054,-0.031694,0.034715,-0.105453,democrat
0.018843,0.00543,0.132001,-0.016822,-0.123185,-0.029685,-0.079159,0.037145,0.018814,-0.123798,-0.077559,-0.145888,-0.040301,-0.032978,0.047994,-0.01354,democrat
0.073096,0.007923,0.034769,-0.006387,-0.107449,0.078794,-0.007365,0.017628,0.005009,0.000452,-0.104789,-0.065508,-0.038929,-0.036632,0.010632,-0.08989,democrat
0.087775,-0.024858,0.057684,-0.045005,0.04614,-0.001339,-0.222983,0.040521,0.00865,-0.055975,0.056482,0.005331,0.038692,-0.038054,0.047135,0.030251,republican
0.035447,0.010694,0.110048,-0.030619,-0.092793,-0.01747,-0.06193,0.029267,0.047504,-0.087918,-0.026088,-0.047734,0.018374,-0.042324,-0.005737,0.008002,democrat
0.070018,0.055984,-0.05351,-0.012635,0.023919,0.061487,-0.14418,0.011276,-0.01131,-0.029297,-0.00879,-0.096707,0.116885,0.027675,-0.022174,-0.13482,republican
0.046979,-0.021893,0.14279,-0.036978,-0.080813,0.005653,-0.084682,0.156913,0.035996,-0.106955,-0.129666,-0.042422,0.058174,0.046697,0.149106,0.014629,democrat
-0.012358,0.0577,-0.062284,0.052152,0.08966,0.021595,-0.067671,0.0504,-0.070124,0.07859,0.13573,0.105041,0.033573,0.012758,-0.075307,-0.038692,democrat
-0.014216,0.023519,0.146776,0.082352,-0.01754,-0.10925,-0.003079,-0.018693,0.007132,-0.050794,-0.045946,0.013385,0.051939,0.020334,0.043417,-0.117617,democrat
-0.043564,0.040891,0.104411,-0.04326,0.056114,-0.087236,-0.159118,-0.009506,0.026349,0.064064,-0.135301,0.027677,0.045669,-0.039217,-0.045692,0.009461,democrat
0.075386,0.062555,0.21169,0.033848,-0.091276,-0.052206,-0.072066,0.081553,-0.005606,-0.071435,-0.056357,-0.076566,0.030614,0.114724,0.085036,-0.11434,democrat
-0.01722,-0.083059,-0.119058,-0.000535,0.116822,0.030189,0.071721,-0.11297,-0.038751,0.147978,0.139915,0.05421,0.036371,-0.023474,-0.080081,-0.06943,republican
0.025746,-0.002752,0.042318,0.044096,0.04693,-0.039267,-0.008239,-0.020762,0.028296,-0.050449,-0.097891,-0.03969,0.036768,-0.018547,0.177326,0.048318,democrat
0.077345,-0.079079,0.180098,-0.005123,-0.065851,-0.045139,-0.087895,-0.071933,0.037248,-0.088277,-0.063785,0.002396,0.071598,-0.013165,0.186927,-0.047849,democrat
-0.009537,-0.051137,-0.031638,0.025598,-0.00478,-0.005207,-0.006047,-0.005879,0.010954,0.051859,-0.013872,-0.004824,-0.000301,0.051596,0.01814,-0.026541,republican
0.001288,-0.01629,-0.170545,0.025076,0.064077,0.014264,0.097628,-0.053803,-0.062373,0.120822,0.063472,0.074284,0.013249,-0.018791,-0.065805,0.033588,republican
-0.037246,-0.017333,-0.142115,0.025388,0.128713,-0.004297,0.08261,-0.038221,-0.007455,0.120168,0.110089,0.059552,-0.00662,-0.006073,-0.050095,0.002413,republican
0.005646,-0.011678,0.182812,0.088954,-0.108869,-0.063621,-0.039572,-0.01129,0.00547,-0.052904,-0.133707,-0.004508,0.085383,0.073065,0.087568,-0.131008,democrat
-0.033241,-0.029529,-0.154916,0.02972,0.112324,0.026426,0.087834,-0.044066,-0.0147,0.141532,0.092902,0.069082,0.01357,0.009857,-0.043406,0.003137,republican
0.001288,-0.01629,-0.170545,0.025076,0.064077,0.014264,0.097628,-0.053803,-0.062373,0.120822,0.063472,0.074284,0.013249,-0.018791,-0.065805,0.033588,republican
0.035097,0.078585,0.134086,0.029338,-0.02031,-0.056513,-0.104568,0.062007,0.043237,-0.227156,-0.147406,-0.061784,0.075653,0.114294,-0.021842,-0.1375,democrat
-0.00836,-0.034474,-0.089772,0.017043,0.051051,0.045284,0.023413,0.007092,-0.030749,0.088949,0.051316,0.027032,-0.010737,0.070837,-0.031911,-0.011277,republican
-0.007676,-0.032202,0.122026,-0.003513,-0.107714,0.043922,-0.078506,0.03519,0.051997,-0.060362,-0.082504,-0.132031,0.000399,0.027532,0.083771,-0.042542,democrat
0.02078,-0.037742,0.161712,-0.019372,-0.135874,0.040321,-0.108217,0.046407,0.093514,-0.069318,-0.08442,-0.07083,0.052139,0.039055,0.060812,-0.035839,democrat
0.02442,-0.045095,0.196977,-0.054054,-0.134451,-0.01701,-0.088738,0.053745,0.024537,-0.108603,0.035631,-0.017703,-0.039373,0.00699,0.15017,-0.079265,democrat
0.059094,-0.041356,0.110092,0.095236,-0.152858,0.028603,-0.101906,0.105524,0.12313,-0.14801,-0.028555,-0.122595,0.126463,0.039908,0.054374,-0.083594,democrat
-0.010846,0.078541,0.123828,0.101878,-0.193659,0.000367,-0.043941,-0.003961,-0.041228,-0.045957,-0.073771,-0.151411,0.036039,0.14675,0.067323,0.025594,democrat
-0.00482,0.050087,0.180831,-0.025623,-0.190869,-0.046688,-0.026353,0.06788,0.012778,-0.001812,-0.180125,-0.089774,0.103552,0.04388,0.046746,-0.012559,democrat
0.052985,-0.026768,0.157017,0.050217,-0.146197,-0.071216,0.010415,-0.024741,-0.015364,-0.075731,-0.156521,-0.001311,0.06337,0.072907,0.043672,-0.076589,democrat
0.052864,0.00667,0.095598,-0.057191,-0.092082,0.005926,0.010988,0.023487,0.058418,-0.166624,-0.01814,-0.048492,0.073393,0.223724,0.094839,-0.00914,democrat
0.013426,0.060234,0.119635,0.059999,-0.043846,-0.016276,-0.108009,0.032548,0.079429,-0.122315,-0.095069,-0.119431,-0.074124,0.076369,0.104546,0.05498,democrat
-0.019013,-0.032299,-0.135073,0.021791,0.098244,0.024625,0.072978,-0.038458,0.006058,0.137054,0.091944,0.099682,0.03944,0.015619,-0.054885,0.006489,republican
0.059392,-0.033056,0.153105,-0.008796,-0.134979,-0.094355,0.049115,-0.022701,0.03015,-0.074845,-0.084288,-0.07049,0.107973,0.109344,0.091546,0.057282,democrat
0.061773,0.076568,0.100304,0.00635,-0.162169,-0.015369,-0.059603,0.021181,-0.042932,-0.183099,-0.060802,-0.03928,0.116456,0.138096,0.115432,-0.026623,democrat
0.067614,0.095392,0.020214,-0.032757,-0.118679,0.016871,0.023804,0.109168,-0.009798,-0.098314,-0.096126,-0.027454,0.121567,0.048891,0.028751,-0.115362,democrat
0.016425,0.02563,-0.04745,-0.045867,0.017661,0.007325,0.145537,0.032381,-0.048704,-0.043335,0.012129,-0.090385,0.07373,0.109054,-0.013073,0.064959,democrat
0.100912,-0.007088,-0.013533,-0.01669,0.076592,0.054426,-0.053422,0.06589,0.019466,-0.027039,-0.05503,0.047402,-0.065383,0.035233,0.029739,0.00611,democrat
0.045356,-0.041358,0.251832,-0.000873,-0.151436,-0.052057,-0.115497,0.076038,0.021983,-0.03576,-0.092592,-0.12208,0.011598,-0.026966,0.005586,0.029984,democrat
0.016982,-0.013505,-0.021663,0.01229,-0.02025,-0.078814,-0.006701,-0.003925,-0.022228,-0.011578,-0.008927,-0.01868,-0.041001,-0.008914,-0.017637,0.002461,republican
0.002293,-0.052721,0.018721,-0.012805,0.01514,-0.020638,-0.013264,0.014438,-0.034062,-0.031051,-0.00209,0.020368,0.016746,-0.015293,-0.008077,-0.021533,republican
0.010996,0.004038,0.057561,-0.010428,-0.081021,0.016854,-0.026995,0.012206,-0.001258,-0.057598,-0.041359,-0.099406,-0.013176,-0.037916,0.023911,0.002024,democrat
0.010996,0.004038,0.057561,-0.010428,-0.081021,0.016854,-0.026995,0.012206,-0.001258,-0.057598,-0.041359,-0.099406,-0.013176,-0.037916,0.023911,0.002024,democrat
-0.059368,-0.070324,0.125762,0.021698,-0.097972,0.040411,-0.091419,0.018168,0.01981,-0.100051,-0.101878,-0.089226,-0.019954,0.034232,0.03437,-0.059808,democrat
-0.013542,-0.038941,-0.018836,0.021266,0.011609,-0.035929,-0.011271,-0.000034,0.018199,0.030495,0.003316,-0.014353,-0.020491,0.035665,0.011451,-0.027266,republican
-0.100707,-0.006698,0.04226,0.047595,-0.088663,0.041308,-0.007375,0.048669,-0.004403,-0.063987,0.006475,0.018487,-0.121559,0.043404,0.110509,-0.004053,democrat
-0.037246,-0.017333,-0.142115,0.025388,0.128713,-0.004297,0.08261,-0.038221,-0.007455,0.120168,0.110089,0.059552,-0.00662,-0.006073,-0.050095,0.002413,republican
0.010996,0.004038,0.057561,-0.010428,-0.081021,0.016854,-0.026995,0.012206,-0.001258,-0.057598,-0.041359,-0.099406,-0.013176,-0.037916,0.023911,0.002024,democrat
-0.117045,0.003621,0.144825,-0.018056,-0.090482,-0.039528,-0.076999,-0.006353,0.085174,-0.112869,-0.142173,-0.071871,0.022283,0.030211,0.014197,-0.031034,democrat
0.055309,-0.024503,0.146084,-0.024017,-0.184122,0.028159,-0.098423,0.03667,0.045841,-0.090028,-0.113849,-0.065627,0.051818,0.010407,0.038413,-0.005388,democrat
0.061019,0.068993,-0.049352,-0.006799,-0.047242,-0.061902,-0.083659,-0.076053,-0.029423,-0.058202,0.057346,-0.034954,0.045376,-0.100414,0.057531,-0.137596,republican
-0.040866,-0.09272,0.271196,0.028983,-0.093447,-0.043407,-0.138205,0.068752,0.037469,-0.054739,-0.082537,-0.084477,-0.008433,0.008382,-0.021416,-0.017733,democrat
0.001288,-0.01629,-0.170545,0.025076,0.064077,0.014264,0.097628,-0.053803,-0.062373,0.120822,0.063472,0.074284,0.013249,-0.018791,-0.065805,0.033588,republican
-0.048918,-0.017869,-0.012601,0.034398,-0.017105,-0.043001,-0.03388,0.045299,-0.003085,0.039003,-0.003337,-0.020742,0.006872,-0.016509,0.034208,-0.064435,republican
-0.013542,-0.038941,-0.018836,0.021266,0.011609,-0.035929,-0.011271,-0.000034,0.018199,0.030495,0.003316,-0.014353,-0.020491,0.035665,0.011451,-0.027266,republican
-0.067632,-0.067218,-0.021648,0.025889,0.00526,-0.036424,-0.020453,-0.017146,-0.002557,0.015172,0.032371,-0.029192,0.045641,0.066243,0.038107,0.066097,republican
0.034367,0.016034,0.01342,-0.123198,-0.029396,-0.032862,0.005125,-0.051866,-0.026903,0.128166,-0.062604,-0.000191,-0.074784,-0.000535,0.044892,0.068207,republican
-0.028844,-0.044888,0.122935,0.012721,-0.129831,-0.002473,-0.086849,0.014277,-0.020617,-0.142124,-0.11412,-0.093553,-0.040464,-0.010347,0.005282,-0.030082,democrat
-0.013542,-0.038941,-0.018836,0.021266,0.011609,-0.035929,-0.011271,-0.000034,0.018199,0.030495,0.003316,-0.014353,-0.020491,0.035665,0.011451,-0.027266,republican
-0.002717,-0.004093,-0.157743,0.020744,0.080465,-0.016458,0.092404,-0.047957,-0.055128,0.099459,0.08066,0.064754,-0.00694,-0.034722,-0.072494,0.032864,republican
0.007302,-0.101348,0.195185,-0.046354,-0.050185,-0.024818,-0.118932,0.076833,-0.012997,-0.161561,-0.08484,-0.024018,0.040433,0.004135,0.05634,-0.075929,democrat
-0.062342,-0.064291,0.22373,0.061482,-0.175466,0.00312,-0.090653,0.106657,0.011593,-0.020785,-0.061945,0.005342,-0.076595,0.070285,0.098873,0.024632,democrat
0.054342,-0.033647,0.083767,0.000705,-0.075522,-0.008932,-0.02439,-0.050522,-0.028641,-0.068298,-0.04361,0.017749,-0.027111,-0.059078,0.060035,-0.063314,democrat
-0.043874,0.074416,0.047484,-0.048536,-0.07856,0.004113,-0.009975,0.008296,0.007227,-0.052321,-0.086084,-0.108219,0.006009,0.008342,0.002628,0.028596,democrat
0.010019,-0.081209,0.194848,0.077822,-0.007414,-0.008017,-0.109679,0.073116,-0.087164,-0.053473,-0.160169,-0.081424,-0.025101,0.083731,0.100691,0.053884,democrat
-0.021389,-0.040333,-0.093277,0.027659,0.053772,0.01061,0.040893,-0.024973,-0.001873,0.096695,0.039515,0.032129,0.006634,0.030727,-0.012633,-0.011702,republican
-0.009537,-0.051137,-0.031638,0.025598,-0.00478,-0.005207,-0.006047,-0.005879,0.010954,0.051859,-0.013872,-0.004824,-0.000301,0.051596,0.01814,-0.026541,republican
0.01314,-0.027094,-0.108906,0.023015,0.005525,-0.001552,0.050687,-0.034709,-0.049545,0.075986,0.010085,0.037331,0.006314,0.002078,-0.035032,0.018749,republican
-0.033241,-0.029529,-0.154916,0.02972,0.112324,0.026426,0.087834,-0.044066,-0.0147,0.141532,0.092902,0.069082,0.01357,0.009857,-0.043406,0.003137,republican
-0.03131,0.005395,0.016715,0.048935,-0.059722,-0.039349,-0.053629,-0.024575,0.148529,0.031366,0.016821,0.023783,-0.017777,0.056946,-0.069816,0.000813,republican
-0.037174,-0.042278,0.119641,-0.00024,-0.026522,-0.024979,-0.073108,0.13452,-0.030462,-0.159051,-0.129937,-0.070347,-0.034108,0.025943,0.115974,-0.010065,democrat
0.011963,-0.039961,0.114702,0.046014,-0.007322,0.010754,-0.103053,0.045439,-0.048816,-0.150468,-0.147052,-0.04403,-0.025261,0.089242,0.120141,0.017063,democrat
0.010832,0.034568,0.07054,0.022097,-0.160459,0.027997,-0.052599,0.094358,0.028376,-0.087518,-0.158947,-0.111957,-0.022723,0.032215,0.098047,0.060476,democrat
0.099352,-0.12241,-0.034194,-0.063748,0.063064,0.100547,-0.100946,0.004429,-0.012354,-0.011529,-0.028361,0.026352,-0.082347,0.031318,-0.028889,-0.036972,republican
-0.059012,-0.000628,-0.065289,-0.139692,0.055634,0.00321,-0.014362,-0.025902,0.067922,0.020908,-0.141447,0.010525,-0.003564,0.01993,-0.031637,0.002119,republican
-0.036446,0.006629,-0.061357,-0.118731,0.073428,0.005715,-0.031947,-0.06752,0.062368,0.014518,-0.14141,0.018918,-0.009235,0.043614,-0.032898,0.015321,republican
0.054764,-0.12675,0.185785,-0.131477,-0.016828,-0.044652,-0.037314,0.083759,0.064019,-0.167314,-0.044733,-0.05896,-0.012964,0.041835,0.031361,-0.020086,democrat
0.021726,-0.073619,0.045531,-0.024442,0.089457,0.004981,0.019049,0.02476,-0.00072,-0.13123,-0.063245,-0.020618,-0.081898,0.109422,0.039687,0.079112,democrat
