@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S44

@attribute word_freq_all numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_telnet numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_parts numeric
@attribute word_freq_pm numeric
@attribute word_freq_original numeric
@attribute word_freq_table numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data
0,0,0.96,0,0.96,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,21,1
0.25,0.25,0.25,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.044,0,0.663,0,0,184,1
0.34,0,0,0,0,0.69,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0.786,0,0,261,1
0,0,0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
1.42,0.35,0,0.35,0,0.35,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0.357,0,0,205,1
0.42,0,0.42,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0.572,0.063,0,249,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,0,107,1
0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0.37,0,461,1
0.55,0,0.18,0,0,0,0.18,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.455,0,0,70,1
0,0.31,0,0,0,0.63,1.27,0.31,3.18,0.31,0.63,0,0.31,0,0,0,0,0,0,0,0,0,0,0.275,0,0.055,0.496,0,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0.729,0,0,23,1
0.1,0.05,0.15,0.02,0.1,0.47,0,0.02,0.13,0.05,0,0,0,0,0,0,0,0.02,0,0,0,0,0.042,0.101,0.016,0.25,0.046,0.059,2259,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,0.809,0,0,34,1
0,0,0,0,0,0.58,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0.667,0,0,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.392,0.196,0,82,1
0.1,0.05,0.15,0.02,0.1,0.47,0,0.02,0.13,0.05,0,0,0,0,0,0,0,0.02,0,0,0,0,0.042,0.101,0.016,0.25,0.046,0.059,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.392,0.196,0,82,1
0,0,1.66,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,47,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0.352,0,0,36,1
0,0,0.65,0,0.65,0.65,0,1.3,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0.091,0,0,129,1
0,0,0,0,0,1.17,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0,0,59,1
3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,2.112,0,0,43,1
0,0.27,0,0,0,0.81,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0.091,0,89,1
0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,17,1
0,0,0,0,1.36,0,0,0,0,0,0,0.68,0.68,0,0,1.36,0.68,0,0,0,0,0,0,0,0.185,0,0,0,264,1
2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,1.543,0,0,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,0,0.873,0,0,29,1
0.48,0,0.48,0,0,0.97,0,0.97,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.488,0.244,0,239,1
0.48,0,0,0,0,0.97,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.963,0,0,186,1
1.66,0,0,0,0,0.41,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0.75,0,0,285,1
0,0.92,0,2.45,0,0.3,0,0,0.3,0.3,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0.207,0.207,0,226,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0,0.671,0,0,28,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.355,0,0.711,0,0,28,1
0.55,0,0.18,0,0,0.18,0.18,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.426,0,0,68,1
0,0,0.26,0.52,0.26,0.52,0,1.56,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.813,0.036,0.147,339,1
1.05,0,0,1.81,0,0.9,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.318,0.068,0,774,1
0.18,0.36,0.06,0.06,0.06,0.54,0,0.72,0.06,0.84,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0.052,0,0.01,0.167,0,442,1
0.99,0.99,0,0,0.99,2.48,0,0.99,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.17,0,0,94,1
0.46,0.12,0.05,0.28,0.25,0.97,0,0.43,0.02,1.05,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.325,0.756,0.153,3040,1
0.26,0.33,0.06,0.33,0.39,0.73,0.26,0,0.26,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0.036,0.084,0,0.278,0.23,0.084,898,1
0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
1.09,0.73,0.73,1.09,0,0.36,0,0.36,0.36,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.498,0.332,0,179,1
0.77,0.32,0.38,0,0,0.64,0.12,0,0.12,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,0.244,0.071,0,750,1
0,1.26,0,0,0,1.26,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0.198,0.596,0,69,1
0.73,0.73,0.73,1.1,0,0.36,0,0.36,0.36,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0.5,0.333,0,176,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478,0,0,106,1
0,0,1.04,0,0,1.04,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.246,0,0.615,0.061,0.061,146,1
1.26,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1
0.45,0,0,0,0,0.45,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501,0,0,200,1
1.68,0,0,0,0,0.42,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0.669,0,0,284,1
0,0,0.59,0,0,0.59,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,249,1
0.47,0,0,0,0,0,0,0.23,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.043,0.043,0,0.175,0,0,66,1
0.46,0,0.93,0.93,0.46,0.93,0,0,0.46,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0.069,0,0,0,0,0.069,75,1
0,0,0.68,0,0.34,0,0,0,1.36,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.048,0,96,1
0.12,0.36,0,0.36,0.36,0.72,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0.019,0.019,0,180,1
0.66,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.205,0,0,121,1
0.48,0,0.48,0,0.48,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.589,0.294,0,194,1
0,0,1.47,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,17,1
0.61,0,0,0,0.3,0.92,0,0.61,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.053,0.351,0.25,303,1
0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0.1,0,141,1
0,0,2.53,1.26,1.26,1.26,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,0,290,1
0.53,0,0,0,0,0.53,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0.877,0,0,187,1
0.89,0,0,0,0,0.44,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.807,0,0,281,1
0.46,0.46,0.46,0,0.46,0.46,0,0,0.92,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0.223,0,110,1
0.48,0,0.48,0,0,0.96,0,0.96,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.486,0.243,0,236,1
0.94,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366,0,0,318,1
1.77,0,0,0,0,0.59,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0.165,0.082,0,100,1
0.37,0.12,0,0.25,0.25,1.51,0,0.44,0.12,0.44,0.75,0,0,0,0,0,0,0,0,0,0.06,0,0,0.085,0.053,0.437,0.234,0.064,1066,1
0.2,0.2,0.2,0,0.2,0,0,0.2,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,175,1
0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,0,0,114,1
0.23,0,0.23,0,0,0.47,0,0.95,0,0,0.47,0,0,0,0,0,0,0.23,0,0,0,0,0,0.123,0,0.197,0,0.024,519,1
0.72,0,0,1.45,0.72,0,0,0,0.72,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0.495,0,0,61,1
1.28,1.28,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0.724,0,0,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0.834,0,0,118,1
0.46,0,0.46,1.86,0.46,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0.571,0.214,0,213,1
0.38,0.76,0,0,0,0.38,0,0,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0.061,0.061,0,158,1
0,0,0,0,0,0,0,1.58,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0.268,0,0,107,1
0.47,0,0,0,0,0.33,0,0,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0.021,0.107,0,0.096,0.085,0.01,845,1
0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,1.153,0,0,0,0,38,1
1.12,0,1.12,0,0,0.56,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.083,0.333,0,194,1
0.47,0.13,0.05,0.26,0.26,0.97,0,0.44,0,1.05,0.34,0,0,0,0,0,0,0,0,0,0,0,0.004,0.066,0,0.322,0.764,0.159,3038,1
0.29,0.03,0.03,0.14,0.29,0.67,0.03,0.44,0.07,0.59,0.63,0,0,0,0,0,0.03,0,0,0,0,0,0,0.075,0,0.613,0.532,0.137,2453,1
0.29,0.03,0.03,0.14,0.29,0.67,0.03,0.44,0.07,0.59,0.63,0,0,0,0,0,0.03,0,0,0,0,0,0,0.075,0,0.612,0.531,0.137,2453,1
0.46,0,0,0.46,0,1.38,2.31,0.46,0.46,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494,0,0.082,0.823,0,102,1
0.46,0,0.46,0,0.46,0,0,0,1.4,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1
0.7,0,0,0,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,1.284,0,0,313,1
0.43,0,0,0,0,0.43,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0.736,0,0,222,1
0,0.6,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.518,0.414,0.31,0,0,191,1
1.24,0,0,0,0,0.41,0,0,0.82,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.461,0.527,0,114,1
0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,30,1
0.64,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.189,0.284,0.662,0,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.611,0,1.529,0,0,66,1
0.64,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.189,0.284,0.662,0,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.611,0,1.529,0,0,66,1
0.64,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.189,0.284,0.662,0,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.611,0,1.529,0,0,66,1
0,0.79,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.231,0.347,0.462,0,0,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.611,0,1.529,0,0,66,1
0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1
0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,0,36,1
0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,0,67,1
0.76,0,0.76,0,0,0.38,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.059,211,1
0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,0,78,1
0.63,0,0.12,0.5,0.5,0.88,0,0.12,0,1.13,0.12,0,0,0,0,0,0,0,0,0,0.12,0,0.019,0.379,0.159,0,0.119,0,507,1
1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.542,0,0,146,1
0.4,0.05,0,0.05,0,0.3,0.05,0,0.5,0.15,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.054,0.118,0,588,1
0.4,0.05,0,0.05,0,0.3,0.05,0,0.5,0.15,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0.054,0.118,0,583,1
0,0,2.56,1.28,1.28,1.28,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0,0,308,1
0.55,0,1.11,0,0,0.55,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,1.158,0.331,0,195,1
0.4,0.05,0,0.05,0,0.3,0.05,0,0.5,0.15,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.054,0.118,0,588,1
0.4,0.05,0,0.05,0,0.3,0.05,0,0.5,0.15,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0.054,0.118,0,583,1
0.34,0.03,0,0.19,0.3,0.73,0.03,0.42,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.011,0.077,0,0.335,1.281,0.125,2413,1
0.8,0,0.16,0,0.16,0,0.16,0,0.8,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.024,0.049,982,1
0,0,0.3,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0.092,0.322,0,278,1
0.67,0.16,0.33,0.84,0.33,1.51,0,1.68,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,1.194,0.054,0,657,1
0.5,0,0,0,0.5,1.01,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.089,0,0.089,0.178,0,164,1
0,0,0.59,0,0,1.19,0,0,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,170,1
0,0,0.4,1.2,0,0.8,0,1.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,0.212,0,114,1
0.41,0.41,0,0,0,2.07,0,0,0,0.82,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.149,0,450,1
0.38,0,0.38,0,0,0,0,0.76,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0.598,0.179,0,285,1
0,0.4,0.4,0.4,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,95,1
1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0.606,0,0,144,1
0.8,0.16,0.16,0,0,0.64,0,0.16,0.16,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.299,0.174,0,174,1
0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0.215,0.431,0,76,1
0.39,0,0,0.19,0.39,0.39,0,0.19,0.39,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0.16,0.16,0,730,1
0.39,0,0,0.19,0.39,0.39,0,0.19,0.39,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0.16,0.16,0,730,1
0.33,0.66,0,0,0,0.33,0,0.66,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.541,0,304,1
0,0,0,0,0,0,0,0,1.49,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0,0,0,0,69,1
0.33,0.66,0,0,0,0.33,0,0.66,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.541,0,304,1
0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0.279,0,36,1
0.34,0.03,0,0.19,0.3,0.73,0.03,0.42,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.011,0.077,0,0.335,1.281,0.125,2413,1
0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0.279,0,36,1
1.38,0,0,0,0,1.38,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0,0,13,1
0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0.215,0.431,0,77,1
0.33,0.66,0,0,0,0.33,0,0.66,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.541,0,304,1
0.72,0,0.14,0,0.29,0,0.14,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865,0.023,0.046,1001,1
1.09,0,0,0,0,0.72,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.063,0.126,0,0.063,0.126,0,123,1
0.27,0.81,0,2.98,0.27,0.54,0,1.63,0.27,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.565,0.121,0,131,1
0.39,0.39,0,0,0,0.39,0,1.17,0.78,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0,0,114,1
0.56,0,1.12,0,0,0.56,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,1.32,0.33,0,190,1
0.67,0,0,0,0,0,0,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,33,1
0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,1.055,0,0,120,1
1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.484,0,0,203,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1
0,0,1.31,1.31,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0.117,0,291,1
0,0.45,0.45,0,0,0,0,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,0,117,1
0,0.85,0,0,0,2.13,0,1.7,0,0,0.42,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,1.088,0,0,200,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0.185,0.232,607,1
0,0,0,0,0,0,0,0,0.21,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.146,0.146,0.183,642,1
0.46,0,0,0.46,0,1.38,2.31,0.46,0.46,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.081,0.816,0,102,1
0.29,0.29,0,0.29,0.29,0,0,0.29,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.265,0,0,437,1
0.68,0,0.34,0,0,0,0.34,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,119,1
0.46,0,0,0.46,0,1.38,2.31,0.46,0.46,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.081,0.816,0,102,1
0.62,0,0.62,0,0,3.1,0,1.24,1.24,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.517,0,0,111,1
0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,108,1
0.35,0,0,0,0,0.71,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0.7,0,0,260,1
0.61,0,0.15,0,0.15,0,0.15,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,0.024,0.049,944,1
0,0,0.57,0,0,1.15,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0,0,172,1
2.38,0,0.26,0,0.26,0,0,0,0,0,0.52,0,0,0,0,0,0,0.26,0,0.52,0,0,0,0.656,0,0.31,0,0,566,1
0.08,0.08,0.08,0.42,0,0.6,0,0.17,0.08,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.027,0.095,0.013,0,574,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0.892,0,0,172,1
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,1.443,0,0,130,1
0,0.78,0,2.34,0.78,1.56,0,0.78,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,0,0,49,1
0,0,0,2.04,1.02,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,85,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0,1.34,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0.145,0.072,152,1
