@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S36

@attribute word_freq_make numeric
@attribute word_freq_3d numeric
@attribute word_freq_our numeric
@attribute word_freq_remove numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_hpl numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_data numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_original numeric
@attribute word_freq_edu numeric
@attribute word_freq_conference numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_# numeric
@attribute class {0,1}

@data
0,0,1.27,0.42,0,0,0,1.7,0.42,1.27,0,0,0,0,0,0,0,0,0,0,1.27,0,0.42,0,0,0,0,0.063,0,1
0,0,0.94,0,0,0,0,1.88,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2.11,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.11,0.18,0.18,0.37,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,1
0,0,1.59,0,1.27,0.31,3.18,2.22,0,1.91,0,0.31,0,0.31,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0.275,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,1
0.05,0,0.76,0.15,0,0.02,0.13,2.09,0.1,1.57,0,0.05,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0.042,0.101,0.059,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,1
0,0,1.16,0,0,0,1.16,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,1
0.05,0,0.76,0.15,0,0.02,0.13,2.09,0.1,1.57,0,0.05,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0.042,0.101,0.059,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,1
0,0,0,1.66,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,1
0,0,0.65,0.65,0,1.3,0,1.3,5.22,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,1
1.17,0,0,0,0,1.17,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,1
0,0,1.89,0,0,0,0,3.51,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,1
0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2.04,0,0.68,0,0,0,0.68,0,1.36,0,0,0.68,0,1.36,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,0,1
0,0,1.46,0.48,0,0.97,0,2.43,0,2.43,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,1
0,0,0.48,0,0,0,0.97,1.46,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,1
0,0,0.41,0,0,0,0.83,2.08,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,1
0.3,0,0.61,0,0,0,0.3,2.76,0,0.61,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.051,0,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.355,0,1
0,0,1.11,0.18,0.18,0.37,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,1
0,0,0.52,0.26,0,1.56,0.26,1.82,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.147,1
0.15,0,0.45,0,0.3,0,0,4.07,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1
0.18,0,1.57,0.06,0,0.72,0.06,4.54,0.24,1.09,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.01,0.052,0,1
0.49,0,0,0,0,0.99,0,3.48,0,1.99,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,1
0.46,0,0.05,0.05,0,0.43,0.02,3.22,0,1.46,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.153,1
0.46,0,0,0.06,0.26,0,0.26,3.51,0,0.66,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.084,0.084,1
0,0,1.92,0,0,0,0,1.92,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.73,0,0,0.73,0,0.36,0.36,2.19,2.19,2.19,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,1
0.06,0,0.19,0.38,0.12,0,0.12,1.67,0.06,0.7,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,1
0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,1
0.73,0,0,0.73,0,0.36,0.36,2.2,2.2,2.2,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,1
0,0,0,0,0,0,0,1.08,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1.04,0,1.04,0,3.66,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.246,0.061,1
0,0,0,0,0,0,0,2.53,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.45,0,0,0,0.91,1.36,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.42,0,0,0,0.84,2.1,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,1
0,0,0,0.59,0,0,1.18,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,1
0.23,0,0.23,0,0,0.23,0,7.1,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.043,0,1
0,0,1.39,0.93,0,0,0.46,0.93,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.069,0,0.069,1
0,0,0.68,0.68,0,0,1.36,3.42,0,2.73,0,0,0.34,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,1
0.12,0,1.32,0,0,0,0,4.1,0,3.01,0,0.12,0,0,0,0,0,0.12,0,0,0.12,0,0.12,0,0,0,0,0.059,0,1
0.66,0,0,0,0,1.32,0,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.46,0.48,0,0,0,0.97,0.48,1.95,0,0,0,0,0,0,0,0,0,0,1.46,0,0.48,0,0,0,0,0.073,0,1
0,0,0,1.47,0,0,0,5.88,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,0,0,0,0,0.61,0,5.53,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.25,1
0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.201,0,1
0,0,1.26,2.53,0,5.06,0,2.53,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.53,0,0,0,1.06,1.6,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,1
0,0,0.44,0,0,0,0.89,2.24,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,1
0,0,0.46,0.46,0,0,0.92,2.76,0,1.38,0,0.46,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,1
0,0,1.44,0.48,0,0.96,0,2.41,0,2.41,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,1
0,0,0,0,0,0,0,0.94,0,0.94,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.59,4.14,0,1.18,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0.165,0,1
0.75,0,0.18,0,0,0.44,0.12,2.96,0.69,1.26,0,0.44,0,0,0,0,0,0,0,0,0.12,0,0.12,0.06,0,0,0,0.085,0.064,1
0,0,1.67,0.2,0,0.2,0,2.09,0,0.62,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.2,0,0,0,1
0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,5.55,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.23,0,0.95,0,2.38,0,1.9,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0,0,0,0,0,0.123,0.024,1
0,0,0,0,0,0,0.72,1.45,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,1
0,0,1.28,0,0,0,0,2.56,0,1.28,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,1
0,0,1.4,0.46,0,0,0,0.93,0.46,1.4,0,0,0,0,0,0,0,0,0,0,1.4,0,0.46,0,0,0,0,0.071,0,1
0,0,1.15,0,0,0,0.38,2.69,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,1
0,0,0,0,0,1.58,1.58,3.96,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,1
0.06,0,0.4,0,0,0,0,1.14,0.13,1.21,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.021,0.107,0.01,1
0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,0,1
0,0,2.24,1.12,0,2.8,0,3.93,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1
0.47,0,0.05,0.05,0,0.44,0,3.25,0,1.5,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.066,0.159,1
0.59,0,0.14,0.03,0.03,0.44,0.07,3.43,0,1.53,0,0.59,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.075,0.137,1
0.59,0,0.14,0.03,0.03,0.44,0.07,3.43,0,1.53,0,0.59,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.075,0.137,1
0.46,0,0,0,2.31,0.46,0.46,2.77,0,2.31,0,1.38,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.494,0,1
0,0,0,0.46,0,0,1.4,1.87,0,0,0.93,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.35,0,0,0,0.7,2.11,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,1
0,0,0.43,0,0,0,0.86,1.29,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,1
0,0,0,0,0,0,0,1.21,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.518,0,1
1.24,0,0,0,0,0,0.82,3.73,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,1
0,0,4.25,0.7,0,0,0,4.96,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2.59,0,0,0,0.64,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.094,0.189,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.305,0.611,0,1
0,0,0,0,0,0,0,2.59,0,0,0,0.64,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.094,0.189,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.305,0.611,0,1
0,0,0,0,0,0,0,2.59,0,0,0,0.64,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.094,0.189,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.305,0.611,0,1
0,0,0,0,0,0,0,1.58,0,0,0,0.79,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0.115,0.231,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.305,0.611,0,1
0,0,0,1.96,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,1
0,0,0.38,0.76,0,0,0.76,1.52,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,1
0,0,0.95,0,0,0,0.47,0.95,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,1
0.12,0,0.88,0.12,0,0.12,0,2.9,0.25,1.38,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.019,0.379,0,1
0,0,0.51,0,0,0,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,1
0.05,0,0.1,0,0.05,0,0.5,1.55,0.3,0.75,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,1
0.05,0,0.1,0,0.05,0,0.5,1.55,0.3,0.75,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,1
0,0,1.28,2.56,0,5.12,0,2.56,1.28,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2.23,1.11,0,2.79,0,3.91,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,1
0.05,0,0.1,0,0.05,0,0.5,1.55,0.3,0.75,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,1
0.05,0,0.1,0,0.05,0,0.5,1.55,0.3,0.75,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,1
0.5,0,0.15,0,0.03,0.42,0,3.08,0,1.34,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.077,0.125,1
0,0,0.32,0.16,0.16,0,0.8,0.16,0.16,0.64,0,0,0,0.16,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.049,1
0,0,0.92,0.3,0,0,0,0.3,0,0.61,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,1
0.16,0,0.33,0.33,0,1.68,0.33,2.18,1.68,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0.19,0,1
0.5,0,1.51,0,0,0,0,4.04,0,3.03,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.089,0,1
0,0,0,0.59,0,0,0.59,4.76,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.6,0.4,0,1.6,0.4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.41,0,0,0,0,0,0,7.05,0,2.48,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.76,0.38,0,0.76,0,3.04,0,1.52,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,1
0,0,0.4,0.4,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.56,0,0,0,0,2.25,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,1
0,0,1.44,0.16,0,0.16,0.16,1.6,0,0.47,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,1
0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,1
0,0,0.19,0,0,0.19,0.39,0.59,0,0.78,0,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.128,0,1
0,0,0.19,0,0,0.19,0.39,0.59,0,0.78,0,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.128,0,1
1,0,0.66,0,0,0.66,0,2.33,0,0.33,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1
0,0,1.49,0,0,0,1.49,0,0,1.49,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.65,0,0,0,0,1.65,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0,1
1,0,0.66,0,0,0.66,0,2.33,0,0.33,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1
0,0,0,1.58,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0,0.15,0,0.03,0.42,0,3.08,0,1.34,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.077,0.125,1
0,0,0,1.58,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,4.16,4.16,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,1
1,0,0.66,0,0,0.66,0,2.33,0,0.33,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1
0,0,0.29,0.14,0.14,0,0.72,0.58,0.14,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.046,1
0.36,0,0,0,0,0,0,0.72,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.126,0,1
0,0,0.81,0,0,1.63,0.27,2.17,1.35,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,1
0.39,0,0,0,0,1.17,0.78,3.13,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2.25,1.12,0,2.82,0,3.95,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,1
0.67,0,2.7,0,0,0.67,0.67,4.05,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.62,0,0,0,0,1.24,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,1
0,0,0.33,0,0,0,0,2.02,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1
0,0,0,0,0,0,0,4.76,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.31,1.31,0,1.31,0,1.31,1.31,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.36,0.45,0,0.45,0.45,1.81,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,1
0.42,0,0.85,0,0,1.7,0,0.85,0,0.85,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,1
0,0,0.27,0,0,0,0,0.27,0,0.27,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,1
0,0,0.43,0,0,0,0.21,0.21,0,0.43,6.75,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,1
0.46,0,0,0,2.31,0.46,0.46,2.77,0,2.31,0,1.38,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.49,0,1
0.14,0,0.29,0,0,0.29,0.43,3.66,0,1.31,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.024,0,1
0,0,0,0.34,0.34,0,1.37,1.03,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,1
0.46,0,0,0,2.31,0.46,0.46,2.77,0,2.31,0,1.38,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.49,0,1
0.62,0,0,0.62,0,1.24,1.24,5.59,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,1
0,0,2.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,1
0,0,0.35,0,0,0,1.42,1.77,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,1
0,0,0.3,0.15,0.15,0,0.76,0.15,0.15,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.049,1
0,0,0,0.57,0,0,0.57,4.62,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.52,0,0.26,0.26,0,0,0,1.32,0,1.05,0,0,0,0,0,0,0,0.26,0,0.26,0.26,0,0,0,0,0,0,0.656,0,1
0.17,0,0.42,0.08,0,0.17,0.08,1.2,0,3.17,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,1
0,0,0.5,0,0,0,0,2.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,1
0,0,0.54,0,0,0,0,1.64,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,1
0,0,0,0,0,0.78,0,3.12,0,0.78,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,4.08,0,1.02,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.44,0,0.89,0,0,0,0,4.03,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,1
0,0,0.33,0,0,0,1.32,2.64,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,1
0,0,0,0,0,0,0,4.08,0,1.02,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.34,0,0.08,0.08,0.17,0,0,3.01,0,0.77,0.17,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.113,1
0.34,0,0.08,0.08,0.17,0,0,3.03,0,0.78,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.064,1
