@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S46

@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_labs numeric
@attribute word_freq_data numeric
@attribute word_freq_technology numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_meeting numeric
@attribute word_freq_re numeric
@attribute word_freq_table numeric
@attribute char_freq_( numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,3.833,9,1
0.1,0,0.76,0.05,0.02,0.55,0.1,0.47,0.02,0,0,0.02,2.09,0.1,1.57,0,0,0,0,0,0.02,0,0,0,0,0,0.101,2.569,66,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,4.857,12,1
0,0,1.16,0,0,0,0,0.58,0,0,0,0,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0.133,1.131,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0.196,5.466,22,1
0.1,0,0.76,0.05,0.02,0.55,0.1,0.47,0.02,0,0,0.02,2.09,0.1,1.57,0,0,0,0,0,0.02,0,0,0,0,0,0.101,2.565,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0.196,5.466,22,1
0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,2.611,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,4,11,1
0,0,0.65,0,0,0,0.65,0.65,0,0,0,1.3,1.3,5.22,1.3,0,0.65,0,0,0,0,0,0,0,0,0,0.459,2.687,66,1
0,0,0,0,0,0,0,1.17,0,0,0,1.17,3.52,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,1.966,10,1
3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,3.909,11,1
0,0,1.89,0.27,0,0,0,0.81,0,0,0,0,3.51,0,2.7,0,0.27,0,0,0,0,0,0,0,0,0,0.045,1.39,11,1
0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,5,1
0,0,0,0,0,0,1.36,0,0,0,0,0,2.04,0,0.68,0,0,0.68,0,0,0,0,0,0,0,0,0,3.826,30,1
2.56,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,2.777,6,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,4.142,12,1
0.48,0,1.46,0,0,0,0,0.97,0,0,0,0.97,2.43,0,2.43,0,0,0,0,0,0,0,0,0,0.48,0,0.081,5.431,78,1
0.48,0,0.48,0,0,0,0,0.97,0,0,0,0,1.46,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0.08,3.1,61,1
1.66,0,0.41,0,0,0,0,0.41,0,0,0,0,2.08,0,1.25,0,0,0,0,0,0,0,0,0,0.41,0,0.068,3.851,121,1
0,0,0.61,0.92,2.45,0,0,0.3,1.53,0,0,0,2.76,0,0.61,0,0.61,0,0,0,0,0,0,0,0,0,0.051,2.132,30,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,4,12,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,4,12,1
0.55,0,1.11,0,0,0,0,0.18,0.92,0,0.18,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0.182,1.283,4,1
0,0,0.52,0,0.52,0,0.26,0.52,0,0,0,1.56,1.82,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0,0.073,2.145,38,1
1.05,0,0.45,0,1.81,0.6,0,0.9,0.3,0,0.3,0,4.07,0,1.51,0,0.3,0,0,0,0,0,0,0,0.15,0,0.25,5.301,130,1
0.18,0,1.57,0.36,0.06,0.06,0.06,0.54,0.3,0.06,0,0.72,4.54,0.24,1.09,0,0.06,0,0,0,0,0,0,0,0.06,0,0.052,1.733,12,1
0.99,0,0,0.99,0,0,0.99,2.48,0.49,0,0,0.99,3.48,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0.34,1.468,8,1
0.46,0,0.05,0.12,0.28,0.43,0.25,0.97,0.56,1.23,0,0.43,3.22,0,1.46,0,0.36,0,0,0,0,0,0,0,0.02,0,0.065,5.891,193,1
0.26,0,0,0.33,0.33,0,0.39,0.73,0.79,0,0.26,0,3.51,0,0.66,0,0.26,0,0,0,0,0,0,0,0,0,0.084,3.887,40,1
0,0,1.92,0,0,0,0,1.92,0,0,0,0,1.92,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,2.75,12,1
1.09,0,0,0.73,1.09,0.36,0,0.36,0,0,0,0.36,2.19,2.19,2.19,0,0,0,0,0,0,0,0,0,0,0,0.11,3.254,30,1
0.77,0,0.19,0.32,0,0.06,0,0.64,0.25,0,0.12,0,1.67,0.06,0.7,0,0,0,0,0,0,0,0,0,0,0,0.03,1.732,43,1
0,0,0,1.26,0,0,0,1.26,0,0,0,0,0,0,1.26,0,1.26,0,0,0,0,0,0,0,1.26,0,0.198,3.833,17,1
0.73,0,0,0.73,1.1,0.36,0,0.36,0,0,0,0.36,2.2,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0.111,3.259,30,1
0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,2,30,1
0,0,0,0,0,0,0,1.04,0,0,0,1.04,3.66,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0.246,3.318,59,1
1.26,0,0,0,0,0,0,2.53,0,0,0,0,2.53,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,3.642,8,1
0.45,0,0.45,0,0,0,0,0.45,0,0,0,0,1.36,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,2.777,61,1
1.68,0,0.42,0,0,0,0,0.42,0,0,0,0,2.1,0,1.68,0,0,0,0,0,0,0,0,0,0.42,0,0.066,3.837,121,1
0,0,0,0,0,0,0,0.59,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,8.586,66,1
0.47,0,0.23,0,0,0,0,0,0,0.23,0,0.23,7.1,0,1.89,0,0.23,0,0,0,0,0,0,0,0.71,0,0.043,1.294,11,1
0.46,0,1.39,0,0.93,0,0.46,0.93,0,0,0,0,0.93,0,0.46,0,0,0,0,0,0,0.46,0,0,0,0,0,1.442,8,1
0,0,0.68,0,0,0,0.34,0,0,0,0,0,3.42,0,2.73,0,0,0.34,0,0.34,0,0,0,0,0,0,0,1.411,15,1
0.12,0,1.32,0.36,0.36,0,0.36,0.72,0,0,0,0,4.1,0,3.01,0,0,0,0,0.12,0,0,0.12,0,0,0,0.059,1.714,34,1
0.66,0,0,0,0,0,0,0,0,0,0,1.32,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,3.184,34,1
0.48,0,1.46,0,0,0,0.48,0,0,0,0,0,0.97,0.48,1.95,0,0.48,0,0,0,0,0,0.48,0,0,0,0.073,4.85,47,1
0,0,0,0,0,0,0,1.47,0,0,0,0,5.88,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,1.214,3,1
0.61,0,0,0,0,0,0.3,0.92,0.3,0.3,0,0.61,5.53,0,1.23,0,0.3,0,0,0,0,0,0,0,0.3,0,0.1,3.884,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,4.548,59,1
0,0,1.26,0,1.26,1.26,1.26,1.26,0,0,0,5.06,2.53,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,72.5,287,1
0.53,0,0.53,0,0,0,0,0.53,0,0,0,0,1.6,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0.087,3.4,61,1
0.89,0,0.44,0,0,0,0,0.44,0,0,0,0,2.24,0,1.34,0,0,0,0,0,0,0,0,0,0.44,0,0.073,3.849,121,1
0.46,0,0.46,0.46,0,0,0.46,0.46,0,0,0,0,2.76,0,1.38,0,0,0,0,0,0,0,0.46,0,0.46,0,0,2.156,13,1
0.48,0,1.44,0,0,0,0,0.96,0,0,0,0.96,2.41,0,2.41,0,0,0,0,0,0,0,0,0,0.48,0,0.081,5.13,78,1
0.94,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,26.5,245,1
1.77,0,0,0,0,0,0,0.59,0,0,0,0,4.14,0,1.18,0,0,0,0,0.59,0,0,0,0,0,0,0.165,2.325,16,1
0.37,0,0.18,0.12,0.25,0.75,0.25,1.51,0.31,0.37,0,0.44,2.96,0.69,1.26,0,0.75,0,0,0,0,0,0.12,0,0,0,0.085,3.675,45,1
0.2,0,1.67,0.2,0,0,0.2,0,0.2,0,0,0.2,2.09,0,0.62,0,0,0,0,0,0,0,0,0,0.41,0,0,1.65,15,1
0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,5,1
0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,4.071,29,1
0.23,0,0,0,0,0,0,0.47,0,0.23,0,0.95,2.38,0,1.9,0,0.47,0,0,0,0.23,0,0,0,0,0,0.123,5.038,280,1
0.72,0,0,0,1.45,0,0.72,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,1.525,8,1
1.28,0,1.28,1.28,0,0,0,0,0,0,0,0,2.56,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0.181,3.071,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,5.13,27,1
0.46,0,1.4,0,1.86,0,0.46,0,0,0,0,0,0.93,0.46,1.4,0,0.46,0,0,0,0,0,0.46,0,0,0,0.071,4.63,64,1
0.38,0,1.15,0.76,0,0,0,0.38,0.38,0,0,0,2.69,0,2.3,0,0.38,0,0,0,0,0,0,0,0,0,0.122,1.775,20,1
0,0,0,0,0,0,0,0,0,0,0,1.58,3.96,0,1.58,0,0,0,0,0,0,0,0,0,0.79,0,0.268,2.815,26,1
0.47,0,0.4,0,0,0.67,0,0.33,0.13,0,0,0,1.14,0.13,1.21,0,0.06,0,0,0,0,0,0,0.13,0.06,0,0.107,3.353,144,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,3.8,23,1
1.12,0,2.24,0,0,0,0,0.56,0.56,0,0,2.8,3.93,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0.25,4.974,140,1
0.47,0,0.05,0.13,0.26,0.44,0.26,0.97,0.58,1.26,0,0.44,3.25,0,1.5,0,0.34,0,0,0,0,0,0,0,0.02,0,0.066,6.1,193,1
0.29,0,0.14,0.03,0.14,0.56,0.29,0.67,0.59,1.23,0.03,0.44,3.43,0,1.53,0,0.63,0,0,0,0,0,0,0,0.07,0,0.075,7.3,763,1
0.29,0,0.14,0.03,0.14,0.56,0.29,0.67,0.59,1.23,0.03,0.44,3.43,0,1.53,0,0.63,0,0,0,0,0,0,0,0.07,0,0.075,7.3,763,1
0.46,0,0,0,0.46,0,0,1.38,0,0,2.31,0.46,2.77,0,2.31,0,0,0,0,0,0,0,0.46,0,0,0,0.494,3.4,12,1
0.46,0,0,0,0,0,0.46,0,0,0,0,0,1.87,0,0,0.93,0,0,0,0,0,0,0,0,0.46,0,0,2.676,32,1
0.7,0,0.35,0,0,0,0,0.7,0,0,0,0,2.11,0,1.4,0,0,0,0,0,0,0,0,0,0.35,0,0.122,3.639,61,1
0.43,0,0.43,0,0,0,0,0.43,0,0,0,0,1.29,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.147,2.81,61,1
0,0,0,0.6,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,4.897,17,1
1.24,0,0,0,0,0,0,0.41,0,0,0,0,3.73,0,1.24,0,0.41,0,0,0,0,0,0,0,0.41,0,0.065,3.166,19,1
0,0,4.25,0,0,0,0,0,0,0,0,0,4.96,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,1.153,3,1
0.64,0,0,0.64,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,10.068,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,5.5,22,1
0.64,0,0,0.64,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,10.068,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,5.5,22,1
0.64,0,0,0.64,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,10.068,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,5.5,22,1
0,0,0,0.79,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,5.793,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,5.5,22,1
0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,6.166,60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.285,7,1
0,0,0,0.79,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,2.913,27,1
0.76,0,0.38,0,0,0,0,0.38,0,0,0,0,1.52,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,3.836,79,1
0,0,0.95,0,0,0,0,0,0,0,0,0,0.95,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.365,1.238,6,1
0.63,0,0.88,0,0.5,0.25,0.5,0.88,0.12,0,0,0.12,2.9,0.25,1.38,0,0.12,0,0,0,0,0,0,0,0,0,0.379,4.155,38,1
1.02,0,0.51,0,0,0,0,0,0,0,0,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0.51,0,0.09,1.972,19,1
0.4,0,0.1,0.05,0.05,0.1,0,0.3,0.2,0,0.05,0,1.55,0.3,0.75,0,0.2,0.05,0,0,0,0,0,0,0.05,0,0.045,2.37,96,1
0.4,0,0.1,0.05,0.05,0.1,0,0.3,0.2,0,0.05,0,1.55,0.3,0.75,0,0.2,0.05,0,0,0,0,0,0,0.05,0,0.036,2.379,96,1
0,0,1.28,0,1.28,1.28,1.28,1.28,0,0,0,5.12,2.56,1.28,5.12,0,0,0,0,0,0,0,0,0,0,0,0,102.666,304,1
0.55,0,2.23,0,0,0,0,0.55,0.55,0,0,2.79,3.91,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0.248,4.875,140,1
0.4,0,0.1,0.05,0.05,0.1,0,0.3,0.2,0,0.05,0,1.55,0.3,0.75,0,0.2,0.05,0,0,0,0,0,0,0.05,0,0.045,2.37,96,1
0.4,0,0.1,0.05,0.05,0.1,0,0.3,0.2,0,0.05,0,1.55,0.3,0.75,0,0.2,0.05,0,0,0,0,0,0,0.05,0,0.036,2.379,96,1
0.34,0,0.15,0.03,0.19,0.57,0.3,0.73,0.65,1.27,0.03,0.42,3.08,0,1.34,0,0.5,0,0,0,0,0,0,0,0.03,0,0.077,7.202,595,1
0.8,0,0.32,0,0,0,0.16,0,0.16,0,0.16,0,0.16,0.16,0.64,0,0,0,0,0.16,0,0,0,0,0,0,0,5.709,149,1
0,0,0.92,0,0,0,0,0,0,0,0,0,0.3,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,2.074,49,1
0.67,0,0.33,0.16,0.84,0.16,0.33,1.51,0,0,0,1.68,2.18,1.68,3.69,0,0.33,0,0,0,0,0,0.16,0,0,0,0.19,5.567,101,1
0.5,0,1.51,0,0,0,0.5,1.01,0,0,0,0,4.04,0,3.03,0,0,0,0,0,0,0,0,0,1.01,0,0.089,3.416,53,1
0,0,0,0,0,0,0,1.19,0,0,0,0,4.76,0,1.19,0,0.59,0,0,0,0,0,0,0,0,0,0,10,33,1
0,0,1.6,0,1.2,0,0,0.8,0,0,0,1.6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.838,13,1
0.41,0,0,0.41,0,0,0,2.07,0,0,0,0,7.05,0,2.48,0,0.41,0,0,0,0,0,0,0,0,0,0,32.142,335,1
0.38,0,0.76,0,0,0,0,0,0,0,0,0.76,3.04,0,1.52,0,0,0,0,0,0,0,0,0,1.14,0,0.299,4.523,78,1
0,0,0.4,0.4,0.4,0,0.4,0,0,0,0,0,4,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0,1.979,12,1
1.12,0,0.56,0,0,0,0,0,0,0,0,0,2.25,0,1.12,0,0,0,0,0,0,0,0,0,0.56,0,0.101,2.36,19,1
0.8,0,1.44,0.16,0,0,0,0.64,0.8,0,0,0.16,1.6,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0.024,1.891,24,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0.215,4,25,1
0.39,0,0.19,0,0.19,0,0.39,0.39,0,0,0,0.19,0.59,0,0.78,0,0,0,0,0,0,0,0.19,0,0,0,0.128,2.128,31,1
0.39,0,0.19,0,0.19,0,0.39,0.39,0,0,0,0.19,0.59,0,0.78,0,0,0,0,0,0,0,0.19,0,0,0,0.128,2.128,31,1
0.33,0,0.66,0.66,0,0,0,0.33,0.66,0,0,0.66,2.33,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0.06,5.428,21,1
0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,1.49,0,0,0,0,0,0,0,0,0,1.1,2,1
0,0,1.65,0,0,0.82,0,1.65,0,0,0,0,1.65,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.415,1.769,11,1
0.33,0,0.66,0.66,0,0,0,0.33,0.66,0,0,0.66,2.33,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0.06,5.428,21,1
0,0,0,0,0,0,0,0,1.58,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.272,23,1
0.34,0,0.15,0.03,0.19,0.57,0.3,0.73,0.65,1.27,0.03,0.42,3.08,0,1.34,0,0.5,0,0,0,0,0,0,0,0.03,0,0.077,7.202,595,1
0,0,0,0,0,0,0,0,1.58,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.272,23,1
1.38,0,0,0,0,0,0,1.38,0,0,0,0,4.16,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,1.181,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0.215,4.277,27,1
0.33,0,0.66,0.66,0,0,0,0.33,0.66,0,0,0.66,2.33,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0.06,5.428,21,1
0.72,0,0.29,0,0,0,0.29,0,0.14,0,0.14,0,0.58,0.14,0.43,0,0,0,0,0,0,0,0.14,0,0.14,0,0,5.133,132,1
1.09,0,0,0,0,0,0,0.72,1.81,0,0,0,0.72,0,1.09,0,0.72,0,0,0,0,0,0,0,0,0,0.126,2.562,35,1
0.27,0,0.81,0.81,2.98,0.54,0.27,0.54,0.27,0,0,1.63,2.17,1.35,2.44,0,0.27,0,0,0,0,0,0,0,0,0,0.04,1.617,18,1
0.39,0,0,0.39,0,0,0,0.39,0.78,0,0,1.17,3.13,0,1.17,0,1.56,0,0,0,0,0,0,0,0,0,0,1.461,19,1
0.56,0,2.25,0,0,0,0,0.56,0.56,0,0,2.82,3.95,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0.247,5.135,140,1
0.67,0,2.7,0,0,0,0,0,0,0,0,0.67,4.05,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,1.064,3,1
0.62,0,0.62,0,0,0,0,0,0,0,0,0,1.24,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0.105,2.033,16,1
1.68,0,0.33,0,0,0,0,0,0,0,0,0,2.02,0,0.67,0,0,0,0,0,0,0,0,0,0.33,0,0.06,1.796,19,1
0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,2.375,11,1
0,0,1.31,0,1.31,1.31,0,0,0,0,0,1.31,1.31,1.31,3.94,0,0,0,0,0,0,0,0,0,0,0,0,48.5,186,1
0,0,1.36,0.45,0,0,0,0,0.45,0,0,0.45,1.81,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.135,5.571,46,1
0,0,0.85,0.85,0,0,0,2.13,0,0,0,1.7,0.85,0,0.85,0,0.42,0,0,0,0.42,0,0,0,0,0,0,5.714,107,1
0,0,0.27,0,0,0,0,0,0,0,0,0,0.27,0,0.27,8.58,0,0,0,0,0,0,0,0,0,0,0,7.313,99,1
0,0,0.43,0,0,0,0,0,0,0,0,0,0.21,0,0.43,6.75,0,0.21,0,0,0,0,0,0,0,0,0,6.233,99,1
0.46,0,0,0,0.46,0,0,1.38,0,0,2.31,0.46,2.77,0,2.31,0,0,0,0,0,0,0,0.46,0,0,0,0.49,3.4,12,1
0.29,0,0.29,0.29,0.29,0,0.29,0,0.14,0,0,0.29,3.66,0,1.31,0,0,0,0,0,0,0,0,0,0.58,0,0.024,3.121,38,1
0.68,0,0,0,0,0,0,0,0,0,0.34,0,1.03,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0.094,3.131,13,1
0.46,0,0,0,0.46,0,0,1.38,0,0,2.31,0.46,2.77,0,2.31,0,0,0,0,0,0,0,0.46,0,0,0,0.49,3.4,12,1
0.62,0,0,0,0,0,0,3.1,0,0,0,1.24,5.59,0,1.86,0,0.62,0,0,0,0,0,0,0,0,0,0.31,3.363,22,1
0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,4.5,34,1
0.35,0,0.35,0,0,0,0,0.71,0,0,0,0,1.77,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0.058,3.768,61,1
0.61,0,0.3,0,0,0,0.15,0,0.15,0,0.15,0,0.15,0.15,0.76,0,0,0,0,0,0,0,0.15,0,0,0,0,5.425,132,1
0,0,0,0,0,0,0,1.15,0.57,0,0,0,4.62,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0,10.117,33,1
2.38,0,0.26,0,0,0.52,0.26,0,0,0,0,0,1.32,0,1.05,0,0.52,0,0,0.26,0.26,0,0,0,0,0,0.656,5.549,71,1
0.08,0,0.42,0.08,0.42,0.08,0,0.6,0.17,0.17,0,0.17,1.2,0,3.17,0,0.08,0,0,0,0,0,0,0,0,0,0.081,4.07,48,1
