@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.4 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute Class {democrat,republican}

@data
1.359258,democrat
2.167082,democrat
0.860051,democrat
-3.394194,republican
-3.394194,republican
-3.374017,republican
-3.937642,republican
-2.75696,republican
1.838122,democrat
1.442559,democrat
2.913798,democrat
0.200355,republican
-1.565158,republican
-1.565158,republican
1.922959,democrat
0.74529,democrat
1.442559,democrat
-3.470795,republican
0.746597,democrat
-3.340106,republican
2.511346,democrat
-3.115395,republican
-1.700307,democrat
1.448461,democrat
1.05226,democrat
-4.014243,republican
-2.847167,republican
-3.056159,republican
0.393151,democrat
-4.034419,republican
0.846708,democrat
-2.343443,democrat
-2.156498,democrat
-1.501918,democrat
-2.888287,republican
-2.329518,democrat
2.030969,democrat
-0.161477,republican
-0.010612,republican
-1.094182,democrat
2.503465,democrat
3.428086,democrat
-3.490971,republican
2.414568,democrat
-2.608316,democrat
3.351485,democrat
2.955732,democrat
1.834352,republican
3.203375,democrat
3.203375,democrat
3.428086,democrat
2.463392,democrat
3.203375,democrat
3.351485,democrat
0.154679,democrat
3.203375,democrat
3.428086,democrat
3.106597,democrat
3.448262,democrat
-1.872076,republican
3.448262,democrat
-3.470795,republican
-2.850336,republican
1.505449,democrat
3.072686,democrat
2.66891,democrat
-3.374017,republican
1.52483,democrat
-1.768204,republican
2.662211,democrat
2.901857,democrat
2.48954,democrat
3.351485,democrat
3.044487,democrat
3.428086,democrat
-2.191018,republican
1.444595,democrat
-2.853029,republican
-2.532887,republican
3.072686,democrat
2.989833,democrat
2.538221,democrat
-3.490971,republican
3.223551,democrat
1.468637,democrat
-3.115395,republican
-2.247274,democrat
0.340617,democrat
-4.034419,republican
3.351485,democrat
1.96112,democrat
3.072686,democrat
0.113335,democrat
3.599127,democrat
-2.839553,republican
-3.453309,republican
-3.470795,republican
2.105941,democrat
2.955922,democrat
-3.470795,republican
-1.702079,republican
-3.470795,republican
-2.885079,republican
2.520881,democrat
-3.490971,republican
1.353789,democrat
-2.853029,republican
3.072686,democrat
0.69329,democrat
3.331309,democrat
-1.197071,republican
-0.895044,republican
2.995805,democrat
-0.541883,republican
2.414568,democrat
2.845578,democrat
3.578951,democrat
1.347261,democrat
-2.850625,republican
0.154679,republican
3.599127,democrat
-4.014243,republican
-4.014243,republican
2.81702,democrat
-3.470795,republican
2.935746,democrat
2.84494,democrat
-2.841837,republican
-2.298389,republican
3.223551,democrat
2.955922,democrat
2.935746,democrat
1.838312,democrat
2.886922,democrat
3.448262,democrat
3.448262,democrat
2.935746,democrat
-2.853029,republican
1.752108,republican
3.448262,democrat
2.955922,democrat
3.351485,democrat
1.949103,democrat
3.428086,democrat
-1.636586,republican
-0.28703,republican
-2.100851,democrat
-3.425125,republican
-0.448284,republican
-3.374017,republican
-3.937642,republican
1.977024,democrat
-0.052531,republican
-2.980955,republican
-3.374017,republican
2.17657,democrat
2.66891,democrat
1.504654,democrat
1.934381,democrat
-0.01494,democrat
-0.50728,democrat
0.627033,democrat
1.818136,democrat
1.314285,democrat
1.823399,democrat
0.34959,democrat
-2.267828,republican
-2.301361,republican
2.25568,democrat
2.506105,democrat
1.296958,democrat
-1.030694,republican
2.538221,democrat
-2.811686,republican
-3.917466,republican
-3.490971,republican
-3.937642,republican
-3.917466,republican
1.838312,democrat
-3.937642,republican
1.709984,democrat
-3.445301,republican
1.484541,democrat
3.331309,democrat
-2.890479,republican
-1.604447,republican
-0.573709,republican
-0.742782,democrat
2.827594,democrat
3.072686,democrat
3.448262,democrat
0.22211,democrat
2.297804,democrat
-0.487104,democrat
-0.052253,democrat
-3.863378,republican
-2.229891,democrat
1.191359,democrat
-3.470795,republican
3.010009,democrat
2.796844,democrat
-4.034419,republican
3.351485,democrat
3.599127,democrat
3.072686,democrat
2.011198,democrat
-3.243329,republican
1.007708,democrat
3.448262,democrat
2.84494,democrat
-3.391025,republican
-2.702164,republican
1.447823,democrat
0.134503,democrat
-0.549054,republican
3.203375,democrat
-1.778181,republican
-3.394194,republican
-3.562066,republican
2.846976,democrat
-1.041268,republican
1.351181,democrat
-0.472326,republican
0.81564,democrat
-2.060329,republican
2.421268,democrat
1.62742,republican
-3.917466,republican
-3.917466,republican
0.749948,democrat
-3.394194,republican
1.860117,democrat
-0.013603,democrat
1.333094,democrat
-2.343722,republican
-2.363243,republican
-2.667432,democrat
2.480719,democrat
1.691878,democrat
1.815376,democrat
-2.889685,republican
1.541013,democrat
2.68137,democrat
-3.262886,democrat
-1.033721,democrat
-3.470795,republican
-3.322214,democrat
3.50235,democrat
-1.666541,republican
-3.374017,republican
-3.374017,republican
2.426721,democrat
0.68112,democrat
-2.363243,democrat
1.222922,democrat
-2.343862,democrat
-2.36045,democrat
0.26163,democrat
0.659952,democrat
-2.870303,democrat
3.578951,democrat
-1.561246,democrat
1.775901,democrat
-2.944354,republican
0.244321,republican
-0.544593,democrat
2.31395,democrat
0.588382,democrat
-1.728231,democrat
0.110765,democrat
-4.034419,republican
-2.249049,republican
-3.883555,republican
0.226437,republican
-4.034419,republican
-3.115395,republican
-3.374017,republican
-0.59611,democrat
-3.766601,democrat
1.208377,democrat
-3.917466,republican
-3.223153,republican
2.552146,democrat
-3.394194,republican
-0.710649,republican
2.859144,democrat
1.928927,democrat
-2.534284,republican
2.448669,democrat
2.233076,democrat
2.859144,democrat
-0.710649,republican
0.795314,democrat
2.689086,democrat
2.009163,democrat
1.447823,democrat
2.597483,democrat
3.428086,democrat
-2.17105,republican
2.414568,democrat
1.613891,democrat
-2.187809,republican
2.56017,democrat
-3.31993,republican
-1.565158,republican
-4.034419,republican
