@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S29

@attribute word_freq_make numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_mail numeric
@attribute word_freq_receive numeric
@attribute word_freq_report numeric
@attribute word_freq_free numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_george numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_data numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_cs numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_table numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data
0.3,0.61,0.92,0,2.45,0,0,0,0,0.61,0,0.3,0.61,0,0,0,0,0,0,0.3,0,0,0,0,0,0.051,0,0,226,1
0,2.94,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0,0,28,1
0,2.94,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.355,0,0,28,1
0,1.11,0,0.18,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,68,1
0,0.52,0,0.26,0.52,0.26,0.26,0,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.147,339,1
0.15,0.45,0,0,1.81,0.75,0,0,0,1.51,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,774,1
0.18,1.57,0.36,0.06,0.06,0.12,0.06,0.06,0,1.09,0,0.84,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0.01,0.052,0,0,442,1
0.49,0,0.99,0,0,0.99,0.99,0,4.97,1.99,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,94,1
0.46,0.05,0.12,0.05,0.28,0.74,0.25,1.23,0.25,1.46,0,1.05,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.153,3040,1
0.46,0,0.33,0.06,0.33,1.12,0.39,0,0.26,0.66,0,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0.036,0.084,0,0.084,898,1
0,1.92,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
0.73,0,0.73,0.73,1.09,0.36,0,0,1.09,2.19,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,179,1
0.06,0.19,0.32,0.38,0,0,0,0,0,0.7,0,0.19,0,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0.03,0,0,750,1
0,0,1.26,0,0,0,0,0,0,1.26,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,69,1
0.73,0,0.73,0.73,1.1,0.36,0,0,1.1,2.2,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,176,1
0,0,0,0,0,0,0,0,1.08,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1
0,0,0,1.04,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.246,0,0.061,146,1
0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1
0,0.45,0,0,0,0,0,0,0.45,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1
0,0.42,0,0,0,0,0,0,0.42,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,284,1
0,0,0,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,249,1
0.23,0.23,0,0,0,0,0,0.23,0.23,1.89,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.043,0.043,0,0,66,1
0,1.39,0,0.93,0.93,0,0.46,0,1.39,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0.069,75,1
0,0.68,0,0.68,0,0.34,0.34,0,0.34,2.73,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,96,1
0.12,1.32,0.36,0,0.36,0,0.36,0,0,3.01,0,0.12,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,0.059,0,0,180,1
0.66,0,0,0,0,0.66,0,0,1.98,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
0,1.46,0,0.48,0,0.97,0.48,0,0.48,1.95,0,0,0.48,0,0,0,0,0,0,1.46,0,0,0,0,0,0.073,0,0,194,1
0,0,0,1.47,0,1.47,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
0.3,0,0,0,0,0.92,0.3,0.3,2.15,1.23,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.25,303,1
0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.201,0,0,141,1
0,1.26,0,2.53,1.26,1.26,1.26,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,1
0,0.53,0,0,0,0,0,0,0.53,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,187,1
0,0.44,0,0,0,0,0,0,0.44,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,281,1
0,0.46,0.46,0.46,0,0,0.46,0,0.92,1.38,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1
0,1.44,0,0.48,0,0,0,0,0.48,2.41,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,236,1
0,0,0,0,0,0.94,0,0,2.83,0.94,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,1
0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0.165,0,0,100,1
0.75,0.18,0.12,0,0.25,0.31,0.25,0.37,0.37,1.26,0,0.44,0.75,0,0,0,0,0,0,0.12,0,0.06,0,0,0,0.085,0.053,0.064,1066,1
0,1.67,0.2,0.2,0,1.04,0.2,0,0.83,0.62,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1
0,0,0,0.23,0,0.95,0,0.23,0.23,1.9,0,0,0.47,0,0,0,0,0,0.23,0.23,0,0,0,0,0,0.123,0,0.024,519,1
0,0,0,0,1.45,0,0.72,0,2.91,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,61,1
0,1.28,1.28,0,0,0,0,0,1.28,1.28,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,118,1
0,1.4,0,0.46,1.86,0.93,0.46,0,1.86,1.4,0,0,0.46,0,0,0,0,0,0,1.4,0,0,0,0,0,0.071,0,0,213,1
0,1.15,0.76,0,0,0,0,0,0.38,2.3,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,158,1
0,0,0,0,0,0,0,0,0.79,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0,107,1
0.06,0.4,0,0,0,0.06,0,0,0.2,1.21,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0.021,0.107,0,0.01,845,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,1.153,0,0,38,1
0,2.24,0,1.12,0,0,0,0,0.56,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,194,1
0.47,0.05,0.13,0.05,0.26,0.76,0.26,1.26,0.26,1.5,0,1.05,0.34,0,0,0,0,0,0,0,0,0,0,0,0.004,0.066,0,0.159,3038,1
0.59,0.14,0.03,0.03,0.14,0.67,0.29,1.23,0.22,1.53,0,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.137,2453,1
0.59,0.14,0.03,0.03,0.14,0.67,0.29,1.23,0.22,1.53,0,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.137,2453,1
0.46,0,0,0,0.46,0,0,0,0,2.31,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494,0,0,102,1
0,0,0,0.46,0,0,0.46,0,0,0,0.93,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1
0,0.35,0,0,0,0,0,0,1.05,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,313,1
0,0.43,0,0,0,0,0,0,0.43,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,222,1
0,0,0.6,0,0,1.21,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.518,0.414,0,191,1
1.24,0,0,0,0,0,0,0,0.41,1.24,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,114,1
0,4.25,0,0.7,0,0,0,0,2.83,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
0,0,0.64,0,0,0,0,0,0.64,0,0,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0,0.094,0.189,0.284,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0.611,0,0,66,1
0,0,0.64,0,0,0,0,0,0.64,0,0,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0,0.094,0.189,0.284,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0.611,0,0,66,1
0,0,0.64,0,0,0,0,0,0.64,0,0,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0,0.094,0.189,0.284,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0.611,0,0,66,1
0,0,0.79,0,0,0,0,0,0.79,0,0,0.79,0,0,0,0,0,0,0,0.79,0,0,0,0,0.115,0.231,0.347,0,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0.611,0,0,66,1
0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1
0,0,0,2.46,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,67,1
0,0.38,0,0.76,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,211,1
0,0.95,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,78,1
0.12,0.88,0,0.12,0.5,3.9,0.5,0,0.25,1.38,0,1.13,0.12,0,0,0,0,0,0,0,0,0.12,0,0,0.019,0.379,0.159,0,507,1
0,0.51,0,0,0,0,0,0,0.51,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,146,1
0.05,0.1,0.05,0,0.05,0,0,0,0,0.75,0,0.15,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0,588,1
0.05,0.1,0.05,0,0.05,0,0,0,0,0.75,0,0.15,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0,583,1
0,1.28,0,2.56,1.28,1.28,1.28,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,1
0,2.23,0,1.11,0,0,0,0,0.55,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,195,1
0.05,0.1,0.05,0,0.05,0,0,0,0,0.75,0,0.15,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0,588,1
0.05,0.1,0.05,0,0.05,0,0,0,0,0.75,0,0.15,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0,583,1
0.5,0.15,0.03,0,0.19,0.65,0.3,1.27,0.23,1.34,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.011,0.077,0,0.125,2413,1
0,0.32,0,0.16,0,0.48,0.16,0,0.16,0.64,0,0,0,0,0.16,0,0,0.16,0,0,0,0,0,0,0,0,0,0.049,982,1
0,0.92,0,0.3,0,0,0,0,0,0.61,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,278,1
0.16,0.33,0.16,0.33,0.84,0.5,0.33,0,0,3.69,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,657,1
0.5,1.51,0,0,0,0,0.5,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,164,1
0,0,0,0.59,0,0,0,0,0,1.19,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1
0,1.6,0,0.4,1.2,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1
0.41,0,0.41,0,0,0,0,0,0.41,2.48,0,0.82,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1
0,0.76,0,0.38,0,1.14,0,0,0.38,1.52,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0,285,1
0,0.4,0.4,0.4,0.4,0,0.4,0,0.4,2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1
0,0.56,0,0,0,0.56,0,0,0.56,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,144,1
0,1.44,0.16,0.16,0,0,0,0,0,0.47,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,174,1
0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,76,1
0,0.19,0,0,0.19,0,0.39,0,0.98,0.78,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,730,1
0,0.19,0,0,0.19,0,0.39,0,0.98,0.78,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,730,1
1,0.66,0.66,0,0,0,0,0,0.66,0.33,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,304,1
0,1.49,0,0,0,0,0,0,2.98,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,1.65,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0,0,69,1
1,0.66,0.66,0,0,0,0,0,0.66,0.33,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,304,1
0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
0.5,0.15,0.03,0,0.19,0.65,0.3,1.27,0.23,1.34,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.011,0.077,0,0.125,2413,1
0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
0,0,0,0,0,0,0,0,2.77,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,77,1
1,0.66,0.66,0,0,0,0,0,0.66,0.33,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,304,1
0,0.29,0,0.14,0,0.43,0.29,0,0.14,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,1001,1
0.36,0,0,0,0,0,0,0,0,1.09,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.063,0.126,0,0,123,1
0,0.81,0.81,0,2.98,0.81,0.27,0,0.81,2.44,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,131,1
0.39,0,0.39,0,0,0,0,0,0,1.17,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1
0,2.25,0,1.12,0,0,0,0,0.56,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0,190,1
0.67,2.7,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
0,0.62,0,0,0,0.62,0,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,120,1
0,0.33,0,0,0,0.33,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,203,1
0,0,0,0,0,0,0,4.76,4.76,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1
0,1.31,0,1.31,1.31,1.31,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,1
0,1.36,0.45,0.45,0,0,0,0,0.45,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,117,1
0.42,0.85,0.85,0,0,0.42,0,0,0,0.85,0,0,0.42,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,200,1
0,0.27,0,0,0,0.83,0,0,0,0.27,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.232,607,1
0,0.43,0,0,0,0.65,0,0,0.43,0.43,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.183,642,1
0.46,0,0,0,0.46,0,0,0,0,2.31,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,102,1
0.14,0.29,0.29,0,0.29,0,0.29,0,0.87,1.31,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0.024,0,0,437,1
0,0,0,0.34,0,0.34,0,0,0.68,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,119,1
0.46,0,0,0,0.46,0,0,0,0,2.31,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,102,1
0.62,0,0,0.62,0,0,0,0,0,1.86,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,111,1
0,2.1,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,108,1
0,0.35,0,0,0,0,0,0,0.35,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,260,1
0,0.3,0,0.15,0,0.45,0.15,0,0.15,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,944,1
0,0,0,0.57,0,0.57,0,0,0,1.15,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,1
0.52,0.26,0,0.26,0,0,0.26,0,0.79,1.05,0,0,0.52,0,0,0,0,0.26,0.26,0.26,0,0,0,0,0,0.656,0,0,566,1
0.17,0.42,0.08,0.08,0.42,0.08,0,0.17,0,3.17,0,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.027,0,574,1
0,0.5,0,0,0,0.5,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0,172,1
0,0.54,0,0,0,0.54,0,0,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,130,1
0,0,0.78,0,2.34,0.78,0.78,0,0,0.78,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
0,0,0,0,2.04,0,1.02,0,0,1.02,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.44,0.89,0,0,0,0.44,0,0,0.44,1.79,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,152,1
0,0.33,0,0,0,0,0,0,0.33,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,326,1
0,0,0,0,2.04,0,1.02,0,0,1.02,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1
0.34,0.08,0.43,0.08,0.25,1.46,0.34,0,0.08,0.77,0.17,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0.113,694,1
