@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S31

@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_remove numeric
@attribute word_freq_will numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_hpl numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_re numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data
0.07,0.1,0,0.15,0.47,0,0,0,0.13,2.09,0.1,1.57,0.05,0,0,0,0,0,0,0.02,0.1,0,0,0,0.101,0.016,0.25,66,2259,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0.809,12,34,1
0,0,0,0,0.58,0,0,1.16,1.16,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0.667,5,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.196,0,0.392,22,82,1
0.07,0.1,0,0.15,0.47,0,0,0,0.13,2.09,0.1,1.57,0.05,0,0,0,0,0,0,0.02,0.1,0,0,0,0.101,0.016,0.25,66,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.196,0,0.392,22,82,1
0,0,0,1.66,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,12,47,1
0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0.352,11,36,1
0,0,0,0.65,0.65,0,0,0.65,0,1.3,5.22,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0.091,66,129,1
0,0,0,0,1.17,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0.886,10,59,1
0,3.03,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,2.112,11,43,1
0,0,0,0,0.81,0,0,0.27,0,3.51,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,11,89,1
0,0,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,1
0.68,0,0,0,0,0,0,0,0,2.04,0,0.68,0,0,0,1.36,0,0,0.68,0,1.36,0,0,0,0,0.185,0,30,264,1
0,2.56,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,1.543,6,25,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,0.873,12,29,1
0,0.48,0,0.48,0.97,0,0,0.48,0,2.43,0,2.43,0.48,0,0,0,0,0,0,0,0,0.48,0,0,0.081,0,0.488,78,239,1
0.48,0.48,0,0,0.97,0,0,0.48,0.97,1.46,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.963,61,186,1
0.41,1.66,0,0,0.41,0,0,0.41,0.83,2.08,0,1.25,0,0,0,0,0,0,0,0,0,0.41,0,0,0.068,0,0.75,121,285,1
0,0,0,0,0.3,0,0,0,0.3,2.76,0,0.61,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0.051,0,0.207,30,226,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0.671,12,28,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0.711,12,28,1
0,0.55,0,0.18,0.18,0,0.18,0,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.426,4,68,1
0,0,0,0.26,0.52,0,0,0.26,0.26,1.82,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.813,38,339,1
0.45,1.05,0,0,0.9,0,0.3,0,0,4.07,0,1.51,0,0,0,0,0,0,0,0,0,0.15,0,0,0.25,0,1.318,130,774,1
0,0.18,0,0.06,0.54,0.06,0,0,0.06,4.54,0.24,1.09,0.84,0,0,0,0,0,0,0,0,0.06,0,0,0.052,0,0.01,12,442,1
0,0.99,0,0,2.48,0,0,4.97,0,3.48,0,1.99,0.49,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.17,8,94,1
0.3,0.46,0,0.05,0.97,1.23,0,0.25,0.02,3.22,0,1.46,1.05,0,0,0,0,0,0,0,0,0.02,0,0,0.065,0,0.325,193,3040,1
0.46,0.26,0,0.06,0.73,0,0.26,0.26,0.26,3.51,0,0.66,0.19,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0.278,40,898,1
1.92,0,0,0,1.92,0,0,0,0,1.92,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,1
0.36,1.09,0,0.73,0.36,0,0,1.09,0.36,2.19,2.19,2.19,1.83,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.498,30,179,1
0.12,0.77,0,0.38,0.64,0,0.12,0,0.12,1.67,0.06,0.7,0.19,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.244,43,750,1
1.26,0,0,0,1.26,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,1.26,0,0,0.198,0,0.198,17,69,1
0.36,0.73,0,0.73,0.36,0,0,1.1,0.36,2.2,2.2,2.2,1.83,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0.5,30,176,1
0,0,0,0,0,0,0,1.08,0,1.08,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478,30,106,1
0,0,0,1.04,1.04,0,0,0,0,3.66,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0.615,59,146,1
0,1.26,0,0,2.53,0,0,0,0,2.53,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,1
0.45,0.45,0,0,0.45,0,0,0.45,0.91,1.36,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501,61,200,1
0.42,1.68,0,0,0.42,0,0,0.42,0.84,2.1,0,1.68,0,0,0,0,0,0,0,0,0,0.42,0,0,0.066,0,0.669,121,284,1
0.59,0,0,0.59,0.59,0,0,0,1.18,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,66,249,1
0,0.47,0,0,0,0.23,0,0.23,0,7.1,0,1.89,0,0,0,0,0,0,0,0,0,0.71,0,0,0.043,0,0.175,11,66,1
0,0.46,0,0.93,0.93,0,0,1.39,0.46,0.93,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75,1
0.34,0,0,0.68,0,0,0,0.34,1.36,3.42,0,2.73,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.048,15,96,1
0.24,0.12,0,0,0.72,0,0,0,0,4.1,0,3.01,0.12,0,0,0,0,0,0,0,0.12,0,0,0,0.059,0,0.019,34,180,1
0,0.66,0,0,0,0,0,1.98,0,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.205,34,121,1
0.48,0.48,0,0.48,0,0,0,0.48,0,0.97,0.48,1.95,0,0,0,0,0,0,0,0,1.46,0,0,0,0.073,0,0.589,47,194,1
0,0,0,1.47,1.47,0,0,0,0,5.88,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,17,1
0,0.61,0,0,0.92,0.3,0,2.15,0,5.53,0,1.23,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0.1,0,1.053,66,303,1
0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0.201,0,0,59,141,1
0,0,0,2.53,1.26,0,0,0,0,2.53,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,287,290,1
0.53,0.53,0,0,0.53,0,0,0.53,1.06,1.6,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0.877,61,187,1
0.44,0.89,0,0,0.44,0,0,0.44,0.89,2.24,0,1.34,0,0,0,0,0,0,0,0,0,0.44,0,0,0.073,0,0.807,121,281,1
0.46,0.46,0,0.46,0.46,0,0,0.92,0.92,2.76,0,1.38,0.46,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.298,13,110,1
0,0.48,0,0.48,0.96,0,0,0.48,0,2.41,0,2.41,0.48,0,0,0,0,0,0,0,0,0.48,0,0,0.081,0,0.486,78,236,1
0.94,0.94,0,0,0,0,0,2.83,0,0.94,0,0.94,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366,245,318,1
0,1.77,0,0,0.59,0,0,0,0.59,4.14,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0.165,16,100,1
0.18,0.37,0,0,1.51,0.37,0,0.37,0.12,2.96,0.69,1.26,0.44,0,0,0,0,0,0,0,0.12,0,0,0,0.085,0.053,0.437,45,1066,1
0.41,0.2,0,0.2,0,0,0,0.83,0,2.09,0,0.62,0.62,0,0,0,0,0,0,0,0,0.41,0,0.2,0,0,0.132,15,175,1
0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,1
0,0,0,0,0,0,0,0,0,5.55,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,29,114,1
0,0.23,0,0.23,0.47,0.23,0,0.23,0,2.38,0,1.9,0,0,0,0,0,0,0,0.23,0.23,0,0,0,0.123,0,0.197,280,519,1
0.72,0.72,0,0,0,0,0,2.91,0.72,1.45,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0.495,8,61,1
0,1.28,0,0,0,0,0,1.28,0,2.56,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0.724,9,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0.834,27,118,1
0.46,0.46,0,0.46,0,0,0,1.86,0,0.93,0.46,1.4,0,0,0,0,0,0,0,0,1.4,0,0,0,0.071,0,0.571,64,213,1
0,0.38,0,0,0.38,0,0,0.38,0.38,2.69,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0.061,20,158,1
0.79,0,0,0,0,0,0,0.79,1.58,3.96,0,1.58,0,0,0,0,0,0,0,0,0,0.79,0,0,0.268,0,0.268,26,107,1
0.06,0.47,0,0,0.33,0,0,0.2,0,1.14,0.13,1.21,0,0,0.06,0,0,0,0,0,0,0.06,0,0,0.107,0,0.096,144,845,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,0,0,23,38,1
0.56,1.12,0,1.12,0.56,0,0,0.56,0,3.93,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.083,140,194,1
0.31,0.47,0,0.05,0.97,1.26,0,0.26,0,3.25,0,1.5,1.05,0,0,0,0,0,0,0,0,0.02,0,0,0.066,0,0.322,193,3038,1
0.44,0.29,0,0.03,0.67,1.23,0.03,0.22,0.07,3.43,0,1.53,0.59,0,0,0,0,0,0.03,0,0,0.07,0,0,0.075,0,0.613,763,2453,1
0.44,0.29,0,0.03,0.67,1.23,0.03,0.22,0.07,3.43,0,1.53,0.59,0,0,0,0,0,0.03,0,0,0.07,0,0,0.075,0,0.612,763,2453,1
0,0.46,0,0,1.38,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0,0,0,0,0.494,0,0.082,12,102,1
0,0.46,0,0.46,0,0,0,0,1.4,1.87,0,0,0.46,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,32,91,1
0.35,0.7,0,0,0.7,0,0,1.05,0.7,2.11,0,1.4,0,0,0,0,0,0,0,0,0,0.35,0,0,0.122,0,1.284,61,313,1
0.43,0.43,0,0,0.43,0,0,0.43,0.86,1.29,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0.736,61,222,1
0,0,0,0,0,0,0,0.6,0,1.21,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.518,0.414,0.31,17,191,1
0.41,1.24,0,0,0.41,0,0,0.41,0.82,3.73,0,1.24,0,0,0,0,0,0,0,0,0,0.41,0,0,0.065,0,0.461,19,114,1
0,0,0,0.7,0,0,0,2.83,0,4.96,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,3,30,1
0,0.64,0,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0.189,0.284,0.662,131,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0.611,0,1.529,22,66,1
0,0.64,0,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0.189,0.284,0.662,131,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0.611,0,1.529,22,66,1
0,0.64,0,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0,0,0.64,0,0,0,0.189,0.284,0.662,131,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0.611,0,1.529,22,66,1
0,0,0,0,0,0,0,0.79,0,1.58,0,0,0.79,0,0,0,0,0,0,0,0.79,0,0,0,0.231,0.347,0.462,22,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0.611,0,1.529,22,66,1
0,0,0,1.96,1.96,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,74,1
0,0,0,2.46,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,7,36,1
0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,27,67,1
0,0.76,0,0.76,0.38,0,0,0,0.76,1.52,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,211,1
0,0,0,0,0,0,0,0,0.47,0.95,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,6,78,1
1.76,0.63,0,0.12,0.88,0,0,0.25,0,2.9,0.25,1.38,1.13,0,0,0,0,0,0,0,0,0,0,0,0.379,0.159,0,38,507,1
0,1.02,0,0,0,0,0,0.51,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0.51,0,0,0.09,0,0.542,19,146,1
0.3,0.4,0,0,0.3,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.05,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0.054,96,588,1
0.3,0.4,0,0,0.3,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.05,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0.054,96,583,1
0,0,0,2.56,1.28,0,0,0,0,2.56,1.28,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542,304,308,1
0.55,0.55,0,1.11,0.55,0,0,0.55,0,3.91,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,1.158,140,195,1
0.3,0.4,0,0,0.3,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.05,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0.054,96,588,1
0.3,0.4,0,0,0.3,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.05,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0.054,96,583,1
0.46,0.34,0,0,0.73,1.27,0.03,0.23,0,3.08,0,1.34,0.5,0,0,0,0,0,0,0,0,0.03,0,0,0.077,0,0.335,595,2413,1
0.32,0.8,0,0.16,0,0,0.16,0.16,0.8,0.16,0.16,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,149,982,1
0,0,0,0.3,0,0,0,0,0,0.3,0,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,49,278,1
0,0.67,0,0.33,1.51,0,0,0,0.33,2.18,1.68,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,1.194,101,657,1
0,0.5,0,0,1.01,0,0,0,0,4.04,0,3.03,0,0,0,0,0,0,0.5,0,0,1.01,0,0,0.089,0,0.089,53,164,1
0,0,0,0.59,1.19,0,0,0,0.59,4.76,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,33,170,1
0,0,0,0.4,0.8,0,0,0,0.4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,13,114,1
0,0.41,0,0,2.07,0,0,0.41,0,7.05,0,2.48,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,335,450,1
0,0.38,0,0.38,0,0,0,0.38,0,3.04,0,1.52,0.38,0,0,0,0,0,0,0,0,1.14,0,0,0.299,0,0.598,78,285,1
0,0,0,0.4,0,0,0,0.4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,12,95,1
0,1.12,0,0,0,0,0,0.56,0,2.25,0,1.12,0,0,0,0,0,0,0,0,0,0.56,0,0,0.101,0,0.606,19,144,1
0,0.8,0,0.16,0.64,0,0,0,0.16,1.6,0,0.47,0.64,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.299,24,174,1
0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,1.26,0,0,0.215,0,0.215,25,76,1
0.39,0.39,0,0,0.39,0,0,0.98,0.39,0.59,0,0.78,0.19,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0.16,31,730,1
0.39,0.39,0,0,0.39,0,0,0.98,0.39,0.59,0,0.78,0.19,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0.16,31,730,1
0,0.33,0,0,0.33,0,0,0.66,0,2.33,0,0.33,1.66,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,21,304,1
0,0,0,0,0,0,0,2.98,1.49,0,0,1.49,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1
0,0,0,0,1.65,0,0,0.82,0,1.65,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0,0,11,69,1
0,0.33,0,0,0.33,0,0,0.66,0,2.33,0,0.33,1.66,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,21,304,1
0,0,0,1.58,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,23,36,1
0.46,0.34,0,0,0.73,1.27,0.03,0.23,0,3.08,0,1.34,0.5,0,0,0,0,0,0,0,0,0.03,0,0,0.077,0,0.335,595,2413,1
0,0,0,1.58,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,23,36,1
0,1.38,0,0,1.38,0,0,2.77,4.16,4.16,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,2,13,1
0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,1.26,0,0,0.215,0,0.215,27,77,1
0,0.33,0,0,0.33,0,0,0.66,0,2.33,0,0.33,1.66,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,21,304,1
0.29,0.72,0,0.14,0,0,0.14,0.14,0.72,0.58,0.14,0.43,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.865,132,1001,1
0,1.09,0,0,0.72,0,0,0,0,0.72,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0.063,35,123,1
0,0.27,0,0,0.54,0,0,0.81,0.27,2.17,1.35,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.565,18,131,1
0,0.39,0,0,0.39,0,0,0,0.78,3.13,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,19,114,1
0.56,0.56,0,1.12,0.56,0,0,0.56,0,3.95,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,1.32,140,190,1
0,0.67,0,0,0,0,0,0,0.67,4.05,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,33,1
0,0.62,0,0,0,0,0,0.62,0,1.24,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,1.055,16,120,1
0,1.68,0,0,0,0,0,0.33,0,2.02,0,0.67,0,0,0,0,0,0,0,0,0,0.33,0,0,0.06,0,0.484,19,203,1
0,0,0,0,0,4.76,0,4.76,0,4.76,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,1
0,0,0,1.31,0,0,0,0,0,1.31,1.31,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,186,291,1
0,0,0,0.45,0,0,0,0.45,0.45,1.81,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,46,117,1
0,0,0,0,2.13,0,0,0,0,0.85,0,0.85,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,1.088,107,200,1
0,0,0,0,0,0,0,0,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,99,607,1
0,0,0,0,0,0,0,0.43,0.21,0.21,0,0.43,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.073,0.146,99,642,1
0,0.46,0,0,1.38,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.081,12,102,1
0.14,0.29,0,0,0,0,0,0.87,0.43,3.66,0,1.31,0,0,0,0,0,0,0,0,0.29,0.58,0,0,0.024,0,0.265,38,437,1
0.34,0.68,0,0.34,0,0,0.34,0.68,1.37,1.03,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,13,119,1
0,0.46,0,0,1.38,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.081,12,102,1
0,0.62,0,0.62,3.1,0,0,0,1.24,5.59,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.517,22,111,1
0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,34,108,1
0.71,0.35,0,0,0.71,0,0,0.35,1.42,1.77,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0.7,61,260,1
0.3,0.61,0,0.15,0,0,0.15,0.15,0.76,0.15,0.15,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,132,944,1
0,0,0,0.57,1.15,0,0,0,0.57,4.62,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,33,172,1
0,2.38,0,0.26,0,0,0,0.79,0,1.32,0,1.05,0,0,0,0,0,0,0,0.26,0.26,0,0,0,0.656,0,0.31,71,566,1
0,0.08,0,0.08,0.6,0.17,0,0,0.08,1.2,0,3.17,0.34,0,0,0,0,0,0,0,0,0,0,0,0.081,0.027,0.095,48,574,1
0,1,0,0,0,0,0,0.5,0,2.5,0,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.357,0,0.892,19,172,1
0,0.54,0,0,0,0,0,0.54,0,1.64,0,0.54,0,0,0,0,0,0,0,0,0,0.54,0,0,0.096,0,1.443,16,130,1
