@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute '-0.62water-project-cost-sharing=y-0.506synfuels-corporation-cutback=y+0.39 immigration=y+0.195anti-satellite-test-ban=y+0.167education-spending=y...' numeric
@attribute '0.664immigration=y+0.37 religious-groups-in-schools=y+0.359synfuels-corporation-cutback=y+0.334export-administration-act-south-africa=y+0.208adoption-of-the-budget-resolution=y...' numeric
@attribute 0.601synfuels-corporation-cutback=y-0.524water-project-cost-sharing=y-0.373export-administration-act-south-africa=y+0.307duty-free-exports=y-0.202handicapped-infants=y... numeric
@attribute 0.832handicapped-infants=y-0.318duty-free-exports=y-0.239water-project-cost-sharing=y+0.216immigration=y+0.188synfuels-corporation-cutback=y... numeric
@attribute 0.659export-administration-act-south-africa=y-0.54immigration=y-0.323water-project-cost-sharing=y+0.206crime=y+0.193religious-groups-in-schools=y... numeric
@attribute -0.512duty-free-exports=y-0.431export-administration-act-south-africa=y+0.328mx-missile=y+0.268religious-groups-in-schools=y-0.242immigration=y... numeric
@attribute 0.405religious-groups-in-schools=y-0.399synfuels-corporation-cutback=y-0.399education-spending=y+0.355adoption-of-the-budget-resolution=y+0.307duty-free-exports=y... numeric
@attribute -0.584duty-free-exports=y-0.556superfund-right-to-sue=y-0.32handicapped-infants=y-0.252education-spending=y-0.214anti-satellite-test-ban=y... numeric
@attribute 0.524superfund-right-to-sue=y-0.458anti-satellite-test-ban=y-0.442crime=y-0.276religious-groups-in-schools=y-0.233water-project-cost-sharing=y... numeric
@attribute '0.619education-spending=y+0.49 religious-groups-in-schools=y-0.431crime=y-0.276superfund-right-to-sue=y-0.159el-salvador-aid=y...' numeric
@attribute -0.632anti-satellite-test-ban=y+0.457mx-missile=y+0.422crime=y-0.274superfund-right-to-sue=y-0.188el-salvador-aid=y... numeric
@attribute -0.727adoption-of-the-budget-resolution=y-0.365education-spending=y+0.342religious-groups-in-schools=y-0.302crime=y+0.179mx-missile=y... numeric
@attribute Class {democrat,republican}

@data
-0.634941,1.512798,-1.588032,-0.920913,1.100549,1.190975,0.387306,-1.74696,-1.463271,0.303968,-0.650943,-0.107304,0.048766,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,-0.74191,-0.238371,-0.133684,-0.051702,0.05076,-0.199923,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,-0.080742,-0.114511,-0.339095,0.345355,0.035619,-0.274364,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,-0.74191,-0.238371,-0.133684,-0.051702,0.05076,-0.199923,democrat
2.790144,-0.034148,0.176431,-1.349434,-0.013151,-1.52932,-0.508545,0.024302,-1.216945,0.886326,-0.320534,-0.33939,0.100452,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,-0.241853,0.10371,0.251154,0.092804,0.313567,0.107781,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,-0.080742,-0.114511,-0.339095,0.345355,0.035619,-0.274364,republican
-3.115395,-0.032994,0.319911,-1.370631,1.358177,-0.256942,-1.184818,-0.163524,-0.383,0.213079,0.449315,0.494003,0.292419,republican
-2.514108,-1.154178,-0.949034,-1.449349,0.993762,0.534605,-0.520518,0.710843,-0.026293,-0.200461,-0.871956,0.259228,1.009834,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,-0.139095,0.044578,-0.318955,0.400735,0.021954,-0.244775,republican
3.037787,0.149639,0.743015,0.968027,0.861656,-0.590847,-0.220568,-0.391557,-1.255916,1.404453,-0.664409,-0.744075,0.363568,democrat
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,-0.527684,0.927316,0.105198,0.242672,-0.009986,-0.111852,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,0.839012,-0.104047,0.863713,0.573028,0.127602,-0.241418,0.124323,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,0.521224,-0.326604,0.283849,0.062035,-0.007421,0.00931,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,0.526527,-1.36718,0.951947,0.155495,0.013866,-0.183237,-0.084911,democrat
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,-0.74191,-0.238371,-0.133684,-0.051702,0.05076,-0.199923,democrat
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,-0.527684,0.927316,0.105198,0.242672,-0.009986,-0.111852,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,0.839012,-0.104047,0.863713,0.573028,0.127602,-0.241418,0.124323,democrat
1.670106,-0.543656,-1.128844,-1.446036,0.791008,0.470184,0.295562,-0.275114,0.867086,-1.027815,-0.439943,-0.060967,-1.086673,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,-0.080742,-0.114511,-0.339095,0.345355,0.035619,-0.274364,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,-0.74191,-0.238371,-0.133684,-0.051702,0.05076,-0.199923,democrat
-2.83016,-0.369348,-0.374013,-1.171751,-0.9499,0.902981,-0.057121,-0.630241,-0.21072,0.017273,0.384873,0.371923,-0.000037,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,-0.527684,0.927316,0.105198,0.242672,-0.009986,-0.111852,democrat
-3.658843,-0.186181,-0.635472,-0.304137,1.446224,-2.139323,0.046919,-0.002414,-0.601221,-0.37717,0.701866,0.216056,-0.089727,republican
0.705396,-1.545773,0.342603,-0.037019,0.990247,1.450535,0.663132,-1.081213,0.125033,-1.161676,1.623871,0.090031,-1.089642,democrat
-3.883555,-0.91282,0.536752,1.365691,0.161635,-1.773202,0.23604,-0.978592,0.069209,-0.268659,0.171929,-0.151297,-0.217834,republican
-3.340106,-0.759633,1.492135,0.299196,0.073588,0.109178,-0.995697,-1.139702,0.28743,0.321591,-0.080622,0.12665,0.164312,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
2.796844,-0.086097,0.63203,-0.947937,0.007285,-0.963802,-0.426358,0.888646,-0.354801,-0.7414,1.259213,0.286156,0.51982,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,-0.080742,-0.114511,-0.339095,0.345355,0.035619,-0.274364,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,-0.527684,0.927316,0.105198,0.242672,-0.009986,-0.111852,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,0.526527,-1.36718,0.951947,0.155495,0.013866,-0.183237,-0.084911,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,0.526527,-1.36718,0.951947,0.155495,0.013866,-0.183237,-0.084911,democrat
-2.512711,-0.417867,-0.913704,-1.574015,0.878691,1.082298,-0.450945,-0.578871,-0.975947,-0.735316,0.398544,-0.772962,0.280268,republican
-2.737422,-1.144506,0.258519,0.095812,-0.405898,1.448418,-0.261824,-1.555049,-0.305517,-0.626804,-0.131393,-1.140315,0.152162,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,-0.139095,0.044578,-0.318955,0.400735,0.021954,-0.244775,republican
2.81032,-0.812983,-1.150465,-1.302207,-0.444862,-0.450443,-0.025744,0.082655,-1.376034,0.866187,-0.375914,-0.325725,0.070862,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
2.907098,0.434639,-1.338208,-0.247969,0.035528,0.198335,0.274487,0.506292,-1.439636,1.334016,-0.490983,-0.557158,0.307037,democrat
1.771675,-0.219603,0.777378,-0.521559,1.426082,-0.481112,0.035429,-2.009736,0.480559,-0.944822,-1.012087,0.377084,-0.860895,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,-0.74191,-0.238371,-0.133684,-0.051702,0.05076,-0.199923,democrat
-0.11415,1.63829,0.00803,-0.971148,1.854283,-0.078625,0.106041,0.125374,-0.391413,0.593994,-2.062112,-0.664451,-0.553138,republican
2.461341,0.356864,1.543156,1.34312,1.131869,0.395446,0.274222,0.37143,-0.814181,-1.128509,0.032965,0.745035,0.16535,democrat
-2.701952,-1.46088,1.020994,1.107732,0.286298,-1.959305,0.881097,0.563707,0.667548,-0.232654,-1.002551,-0.636424,-0.957144,democrat
-2.104602,-1.277269,2.166836,0.332365,0.132956,0.231125,-0.11124,0.069428,0.580041,0.966216,0.209749,0.179541,-1.134014,democrat
-1.493087,-0.562931,2.206911,-0.214104,-0.255458,0.073631,0.567204,-1.155732,-0.304637,0.744891,0.1031,0.862864,-1.072586,democrat
-1.147915,-1.956814,1.806891,-0.200183,1.879257,-0.13263,-0.131115,1.022124,0.450038,0.514601,-0.755011,0.125202,-0.231962,democrat
-3.403177,1.679269,-1.180389,1.136855,0.37549,-1.817446,-0.012799,-0.56487,0.231864,0.726433,-0.741063,-0.285288,-0.725695,republican
1.237025,1.841647,0.800837,-0.419564,1.318877,0.589349,1.148637,-0.230359,-0.16429,-0.496226,1.59323,0.932729,-0.493583,democrat
1.922355,1.058443,0.780094,0.823807,1.841177,0.475715,0.57506,-1.919267,0.111229,0.131629,0.337695,0.683668,-1.183737,democrat
-3.394194,1.551825,0.550064,0.090212,0.15956,0.468262,-0.683213,0.123431,0.199197,0.739124,0.033115,0.068469,0.373546,republican
-3.917466,0.619803,-1.732215,1.203933,-0.184103,-0.335242,1.031325,0.342894,-0.178113,0.128735,0.230286,-0.195814,-0.03819,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,-0.139095,0.044578,-0.318955,0.400735,0.021954,-0.244775,republican
-2.007824,-0.029646,1.979093,1.386604,0.613346,0.879903,0.188991,0.493065,0.516439,1.434046,0.09468,-0.051892,-0.89784,democrat
-3.937642,1.398638,-0.405319,1.156706,0.247607,-1.414119,0.548524,0.284542,-0.019024,0.148875,0.285666,-0.209479,-0.0086,republican
-3.917466,0.619803,-1.732215,1.203933,-0.184103,-0.335242,1.031325,0.342894,-0.178113,0.128735,0.230286,-0.195814,-0.03819,republican
-0.335091,-0.928528,2.391476,-0.170523,-0.036577,0.062765,0.977153,0.057817,0.301799,-0.127663,-1.25129,-0.434985,-0.012335,democrat
-2.813083,1.209476,0.608015,-0.035732,0.226856,0.180933,-0.501714,0.939445,0.714993,0.345723,-1.232776,-0.179971,1.120551,republican
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,0.462871,-0.167515,0.303989,0.117415,-0.021086,0.0389,democrat
3.578951,0.378321,0.423545,1.349672,1.009974,-0.428657,-0.699704,-0.376626,-0.142884,0.354286,-0.111391,-0.194338,0.065841,democrat
2.293136,-0.907255,0.88242,0.395365,0.968415,-0.515266,-1.243153,-0.547693,-0.139511,-1.246557,-0.678937,-0.013886,-1.145155,democrat
2.938316,0.273037,0.208469,1.604623,1.207334,-0.433277,-1.143225,0.011762,0.171547,0.588167,-0.40346,-0.252693,0.173659,democrat
-0.057517,-0.454683,-1.126087,0.046107,1.43206,1.046746,-0.227567,2.459898,1.736157,0.767064,0.738736,-0.23314,0.267541,democrat
0.707906,-1.164214,0.510777,1.145402,0.892803,1.261983,0.707599,1.38707,-1.637581,0.667008,-0.898716,1.114332,0.109027,democrat
-1.987648,-0.808481,0.652198,1.43383,0.181635,1.95878,0.671792,0.551418,0.35735,1.413907,0.0393,-0.038227,-0.92743,democrat
-0.527958,0.119163,0.966666,1.117105,2.402822,0.837476,-0.522506,0.260709,0.983067,-1.425397,-0.403864,-0.600438,1.210241,democrat
2.304504,-0.007498,0.70199,-1.573343,0.656006,-0.767534,0.617303,0.263375,0.835517,-0.452221,1.32478,0.052159,0.634833,democrat
-3.937642,1.398638,-0.405319,1.156706,0.247607,-1.414119,0.548524,0.284542,-0.019024,0.148875,0.285666,-0.209479,-0.0086,republican
-1.6714,-0.711285,-0.511461,1.540885,1.951592,1.943319,-0.472276,-0.023253,0.74204,-0.12388,0.802038,0.942298,0.416207,democrat
0.09271,-0.865383,0.066062,1.032316,2.028479,2.017579,0.423853,1.045346,0.906521,-1.016131,-0.367833,-0.823459,-0.305665,democrat
0.649779,-0.875536,0.388982,1.149742,1.042387,1.517726,0.51515,1.301758,-1.757008,-0.027366,-1.186176,-0.224654,0.234285,democrat
-0.596203,0.548103,-1.996531,0.841269,1.475689,-0.397116,1.860108,0.965743,0.220946,-1.858306,-0.177644,0.223076,1.128799,democrat
0.804617,0.360191,1.783898,-1.574786,-0.921541,-0.432524,1.710416,0.010405,-0.052125,-0.249075,-0.41174,0.171883,0.159926,democrat
2.919842,-2.042098,-0.808889,0.593271,0.14565,-0.258921,-0.768206,-0.26821,0.195487,0.794572,-0.056311,1.331391,-0.217363,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,-0.241853,0.10371,0.251154,0.092804,0.313567,0.107781,republican
0.154679,0.240592,1.852225,-1.688696,-0.628354,-0.222309,1.432929,0.508926,-0.037262,-0.411841,-0.730415,-0.203378,-0.147094,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
3.05251,1.779353,0.087114,0.493055,-1.063449,-0.641925,-0.486075,0.326189,0.478284,0.362204,-0.183716,-0.215188,-0.116148,democrat
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
1.815376,-0.046027,0.976518,-0.414998,-1.482668,-0.745982,-0.880804,1.105891,0.651178,-0.910962,1.157839,-0.82249,0.007537,democrat
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,-0.139095,0.044578,-0.318955,0.400735,0.021954,-0.244775,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
1.771329,0.131502,1.118254,-0.655242,-1.378534,-0.677161,-0.50247,1.250485,0.305861,-0.845951,0.639407,-0.283207,0.057752,democrat
3.599127,-0.400514,-0.903351,1.396899,0.578264,0.65022,-0.216903,-0.318273,-0.301973,0.334146,-0.166771,-0.180673,0.036251,democrat
-1.377754,-0.342946,-1.262482,-1.725882,1.06394,0.780196,-0.54871,-0.701999,-0.642516,0.271648,-0.536775,-1.085458,-1.923142,republican
2.524089,-0.926067,0.935903,0.952649,-1.101646,-1.261372,-1.049632,-0.463244,1.000375,0.872926,-0.302061,1.123624,-0.34282,democrat
-3.917466,0.619803,-1.732215,1.203933,-0.184103,-0.335242,1.031325,0.342894,-0.178113,0.128735,0.230286,-0.195814,-0.03819,republican
-2.890479,0.098493,1.164099,-1.096042,-0.263462,-0.07929,-0.519886,0.426078,0.345342,0.700699,0.239595,0.063215,-1.348944,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
-2.853029,1.780508,0.230594,0.471857,0.307878,0.630453,-1.162348,0.138363,1.312229,-0.311043,0.586133,0.618206,0.075819,republican
-2.454584,-0.706544,-0.791909,-1.578356,0.729106,0.826555,-0.258495,-0.493559,-0.856519,-0.040942,0.686003,0.566024,0.155011,republican
2.975908,-0.247104,-1.052039,-0.513957,-1.975549,-0.211827,-0.303505,-0.039095,0.382797,-0.125766,-0.124026,0.02991,-0.381912,democrat
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,-0.080742,-0.114511,-0.339095,0.345355,0.035619,-0.274364,republican
2.523452,-0.272931,1.373725,0.675636,-0.899644,-0.580234,-0.385958,-1.0383,0.146108,-0.960566,-1.179825,0.706557,-0.942967,democrat
1.383733,-1.503825,1.637564,1.098835,-1.040475,-0.716651,-1.144131,0.740094,1.109667,0.06759,0.924425,0.284889,0.017039,democrat
1.359258,-0.138014,-0.318068,-1.547411,-1.225369,0.243025,1.631894,-0.780654,0.039674,0.308344,-1.493848,0.109739,-0.586759,democrat
2.167082,-0.98453,-0.626538,-1.014621,-0.131239,0.32529,-0.221044,1.445519,-0.499027,-0.924305,0.885157,-0.07544,0.18321,democrat
0.860051,1.442533,1.183404,0.111708,-0.245058,0.118082,1.280438,0.922674,1.431163,0.096843,0.0216,1.770818,0.080935,democrat
-3.394194,1.551825,0.550064,0.090212,0.15956,0.468262,-0.683213,0.123431,0.199197,0.739124,0.033115,0.068469,0.373546,republican
-3.394194,1.551825,0.550064,0.090212,0.15956,0.468262,-0.683213,0.123431,0.199197,0.739124,0.033115,0.068469,0.373546,republican
-3.374017,0.77299,-0.776831,0.137438,-0.27215,1.547139,-0.200412,0.181784,0.040108,0.718984,-0.022265,0.082134,0.343956,republican
-3.937642,1.398638,-0.405319,1.156706,0.247607,-1.414119,0.548524,0.284542,-0.019024,0.148875,0.285666,-0.209479,-0.0086,republican
-2.75696,-1.018807,1.147593,0.325599,-0.176189,-0.311597,-1.4083,-1.038346,0.707839,1.226827,0.80175,-0.736913,0.781898,republican
1.838122,0.510274,1.394468,-0.567735,-1.421944,-0.466601,0.187619,0.650608,-0.129411,-1.588421,0.07571,0.955618,-0.252813,democrat
1.442559,1.836495,1.276684,-0.138902,-0.292834,0.378445,1.531511,0.448974,0.997305,-0.831412,0.026209,0.490187,0.098374,democrat
2.913798,0.382691,-0.882608,0.153528,0.055964,0.763853,0.356674,1.370635,-0.577492,-0.293709,1.088764,0.068388,0.726405,democrat
0.200355,2.40608,0.146383,-0.573568,-0.372638,-0.30902,0.564866,-1.6245,-0.15745,0.151688,-1.843909,-0.18825,0.977333,republican
-1.565158,2.348199,0.93183,-0.541684,-0.274628,0.591852,0.667202,-1.092582,-0.909271,-0.195236,0.130035,-0.239261,0.640403,republican
-1.565158,2.348199,0.93183,-0.541684,-0.274628,0.591852,0.667202,-1.092582,-0.909271,-0.195236,0.130035,-0.239261,0.640403,republican
1.922959,-0.06722,0.947433,0.807651,-0.957012,-0.68146,-0.849516,-1.764585,0.063566,-1.389971,-1.271235,0.943243,0.543348,democrat
0.74529,0.794583,1.038135,-1.061126,-0.83059,-0.371559,0.767722,-0.700947,0.978364,-1.728648,0.049868,0.958307,1.348515,democrat
1.442559,1.836495,1.276684,-0.138902,-0.292834,0.378445,1.531511,0.448974,0.997305,-0.831412,0.026209,0.490187,0.098374,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,-0.241853,0.10371,0.251154,0.092804,0.313567,0.107781,republican
0.746597,2.357905,0.266883,0.342965,-1.086653,-0.197238,-0.239394,-1.332398,-1.653495,0.47113,-0.444625,0.583765,0.303304,democrat
-3.340106,-0.759633,1.492135,0.299196,0.073588,0.109178,-0.995697,-1.139702,0.28743,0.321591,-0.080622,0.12665,0.164312,republican
2.511346,1.550671,0.406584,0.11141,-1.211768,-0.804116,-0.00694,0.311258,-0.634748,1.412371,-0.736734,-0.764925,0.181579,democrat
-3.115395,-0.032994,0.319911,-1.370631,1.358177,-0.256942,-1.184818,-0.163524,-0.383,0.213079,0.449315,0.494003,0.292419,republican
-1.700307,-2.279784,-0.650389,0.622019,1.34454,-1.098248,1.818345,0.404815,-0.49752,-0.083232,-0.956558,0.485887,-0.474451,democrat
1.448461,-1.43538,2.030444,0.590855,-1.377847,-1.020235,-0.009174,0.371235,-0.363545,1.345534,0.17165,0.649696,0.672001,democrat
1.05226,0.543977,2.350482,0.742675,-0.046734,0.505949,1.998393,-0.405454,-0.091096,0.269051,-0.755615,-0.232801,0.423042,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,-0.080742,-0.114511,-0.339095,0.345355,0.035619,-0.274364,republican
