@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.8 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute '-0.62water-project-cost-sharing=y-0.506synfuels-corporation-cutback=y+0.39 immigration=y+0.195anti-satellite-test-ban=y+0.167education-spending=y...' numeric
@attribute '0.664immigration=y+0.37 religious-groups-in-schools=y+0.359synfuels-corporation-cutback=y+0.334export-administration-act-south-africa=y+0.208adoption-of-the-budget-resolution=y...' numeric
@attribute 0.601synfuels-corporation-cutback=y-0.524water-project-cost-sharing=y-0.373export-administration-act-south-africa=y+0.307duty-free-exports=y-0.202handicapped-infants=y... numeric
@attribute 0.832handicapped-infants=y-0.318duty-free-exports=y-0.239water-project-cost-sharing=y+0.216immigration=y+0.188synfuels-corporation-cutback=y... numeric
@attribute 0.659export-administration-act-south-africa=y-0.54immigration=y-0.323water-project-cost-sharing=y+0.206crime=y+0.193religious-groups-in-schools=y... numeric
@attribute -0.512duty-free-exports=y-0.431export-administration-act-south-africa=y+0.328mx-missile=y+0.268religious-groups-in-schools=y-0.242immigration=y... numeric
@attribute Class {democrat,republican}

@data
-3.433133,-0.970169,-1.486521,0.023751,-0.597197,-1.271349,0.912594,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,democrat
2.361993,-2.225895,-0.013947,0.488846,0.159045,0.546163,-0.611632,democrat
2.227175,-0.553809,-0.805924,-1.32861,-0.195084,-0.029669,0.386858,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,democrat
3.599127,-0.400514,-0.903351,1.396899,0.578264,0.65022,-0.216903,democrat
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,democrat
-0.634941,1.512798,-1.588032,-0.920913,1.100549,1.190975,0.387306,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,democrat
2.790144,-0.034148,0.176431,-1.349434,-0.013151,-1.52932,-0.508545,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
-3.115395,-0.032994,0.319911,-1.370631,1.358177,-0.256942,-1.184818,republican
-2.514108,-1.154178,-0.949034,-1.449349,0.993762,0.534605,-0.520518,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,republican
3.037787,0.149639,0.743015,0.968027,0.861656,-0.590847,-0.220568,democrat
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,0.839012,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,0.526527,democrat
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,democrat
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,0.839012,democrat
1.670106,-0.543656,-1.128844,-1.446036,0.791008,0.470184,0.295562,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,democrat
-2.83016,-0.369348,-0.374013,-1.171751,-0.9499,0.902981,-0.057121,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,democrat
-3.658843,-0.186181,-0.635472,-0.304137,1.446224,-2.139323,0.046919,republican
0.705396,-1.545773,0.342603,-0.037019,0.990247,1.450535,0.663132,democrat
-3.883555,-0.91282,0.536752,1.365691,0.161635,-1.773202,0.23604,republican
-3.340106,-0.759633,1.492135,0.299196,0.073588,0.109178,-0.995697,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
2.796844,-0.086097,0.63203,-0.947937,0.007285,-0.963802,-0.426358,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,0.526527,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,0.526527,democrat
-2.512711,-0.417867,-0.913704,-1.574015,0.878691,1.082298,-0.450945,republican
-2.737422,-1.144506,0.258519,0.095812,-0.405898,1.448418,-0.261824,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,republican
2.81032,-0.812983,-1.150465,-1.302207,-0.444862,-0.450443,-0.025744,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
2.907098,0.434639,-1.338208,-0.247969,0.035528,0.198335,0.274487,democrat
1.771675,-0.219603,0.777378,-0.521559,1.426082,-0.481112,0.035429,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,democrat
-0.11415,1.63829,0.00803,-0.971148,1.854283,-0.078625,0.106041,republican
2.461341,0.356864,1.543156,1.34312,1.131869,0.395446,0.274222,democrat
-2.701952,-1.46088,1.020994,1.107732,0.286298,-1.959305,0.881097,democrat
-2.104602,-1.277269,2.166836,0.332365,0.132956,0.231125,-0.11124,democrat
-1.493087,-0.562931,2.206911,-0.214104,-0.255458,0.073631,0.567204,democrat
-1.147915,-1.956814,1.806891,-0.200183,1.879257,-0.13263,-0.131115,democrat
-3.403177,1.679269,-1.180389,1.136855,0.37549,-1.817446,-0.012799,republican
1.237025,1.841647,0.800837,-0.419564,1.318877,0.589349,1.148637,democrat
1.922355,1.058443,0.780094,0.823807,1.841177,0.475715,0.57506,democrat
-3.394194,1.551825,0.550064,0.090212,0.15956,0.468262,-0.683213,republican
-3.917466,0.619803,-1.732215,1.203933,-0.184103,-0.335242,1.031325,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,republican
-2.007824,-0.029646,1.979093,1.386604,0.613346,0.879903,0.188991,democrat
-3.937642,1.398638,-0.405319,1.156706,0.247607,-1.414119,0.548524,republican
-3.917466,0.619803,-1.732215,1.203933,-0.184103,-0.335242,1.031325,republican
-0.335091,-0.928528,2.391476,-0.170523,-0.036577,0.062765,0.977153,democrat
-2.813083,1.209476,0.608015,-0.035732,0.226856,0.180933,-0.501714,republican
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,democrat
3.578951,0.378321,0.423545,1.349672,1.009974,-0.428657,-0.699704,democrat
2.293136,-0.907255,0.88242,0.395365,0.968415,-0.515266,-1.243153,democrat
2.938316,0.273037,0.208469,1.604623,1.207334,-0.433277,-1.143225,democrat
-0.057517,-0.454683,-1.126087,0.046107,1.43206,1.046746,-0.227567,democrat
0.707906,-1.164214,0.510777,1.145402,0.892803,1.261983,0.707599,democrat
-1.987648,-0.808481,0.652198,1.43383,0.181635,1.95878,0.671792,democrat
-0.527958,0.119163,0.966666,1.117105,2.402822,0.837476,-0.522506,democrat
2.304504,-0.007498,0.70199,-1.573343,0.656006,-0.767534,0.617303,democrat
-3.937642,1.398638,-0.405319,1.156706,0.247607,-1.414119,0.548524,republican
-1.6714,-0.711285,-0.511461,1.540885,1.951592,1.943319,-0.472276,democrat
0.09271,-0.865383,0.066062,1.032316,2.028479,2.017579,0.423853,democrat
0.649779,-0.875536,0.388982,1.149742,1.042387,1.517726,0.51515,democrat
-0.596203,0.548103,-1.996531,0.841269,1.475689,-0.397116,1.860108,democrat
0.804617,0.360191,1.783898,-1.574786,-0.921541,-0.432524,1.710416,democrat
2.919842,-2.042098,-0.808889,0.593271,0.14565,-0.258921,-0.768206,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
0.154679,0.240592,1.852225,-1.688696,-0.628354,-0.222309,1.432929,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
3.05251,1.779353,0.087114,0.493055,-1.063449,-0.641925,-0.486075,democrat
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
1.815376,-0.046027,0.976518,-0.414998,-1.482668,-0.745982,-0.880804,democrat
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
1.771329,0.131502,1.118254,-0.655242,-1.378534,-0.677161,-0.50247,democrat
3.599127,-0.400514,-0.903351,1.396899,0.578264,0.65022,-0.216903,democrat
-1.377754,-0.342946,-1.262482,-1.725882,1.06394,0.780196,-0.54871,republican
2.524089,-0.926067,0.935903,0.952649,-1.101646,-1.261372,-1.049632,democrat
-3.917466,0.619803,-1.732215,1.203933,-0.184103,-0.335242,1.031325,republican
-2.890479,0.098493,1.164099,-1.096042,-0.263462,-0.07929,-0.519886,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
-2.853029,1.780508,0.230594,0.471857,0.307878,0.630453,-1.162348,republican
-2.454584,-0.706544,-0.791909,-1.578356,0.729106,0.826555,-0.258495,republican
2.975908,-0.247104,-1.052039,-0.513957,-1.975549,-0.211827,-0.303505,democrat
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
2.523452,-0.272931,1.373725,0.675636,-0.899644,-0.580234,-0.385958,democrat
1.383733,-1.503825,1.637564,1.098835,-1.040475,-0.716651,-1.144131,democrat
1.359258,-0.138014,-0.318068,-1.547411,-1.225369,0.243025,1.631894,democrat
2.167082,-0.98453,-0.626538,-1.014621,-0.131239,0.32529,-0.221044,democrat
0.860051,1.442533,1.183404,0.111708,-0.245058,0.118082,1.280438,democrat
-3.394194,1.551825,0.550064,0.090212,0.15956,0.468262,-0.683213,republican
-3.394194,1.551825,0.550064,0.090212,0.15956,0.468262,-0.683213,republican
-3.374017,0.77299,-0.776831,0.137438,-0.27215,1.547139,-0.200412,republican
-3.937642,1.398638,-0.405319,1.156706,0.247607,-1.414119,0.548524,republican
-2.75696,-1.018807,1.147593,0.325599,-0.176189,-0.311597,-1.4083,republican
1.838122,0.510274,1.394468,-0.567735,-1.421944,-0.466601,0.187619,democrat
1.442559,1.836495,1.276684,-0.138902,-0.292834,0.378445,1.531511,democrat
2.913798,0.382691,-0.882608,0.153528,0.055964,0.763853,0.356674,democrat
0.200355,2.40608,0.146383,-0.573568,-0.372638,-0.30902,0.564866,republican
-1.565158,2.348199,0.93183,-0.541684,-0.274628,0.591852,0.667202,republican
-1.565158,2.348199,0.93183,-0.541684,-0.274628,0.591852,0.667202,republican
1.922959,-0.06722,0.947433,0.807651,-0.957012,-0.68146,-0.849516,democrat
0.74529,0.794583,1.038135,-1.061126,-0.83059,-0.371559,0.767722,democrat
1.442559,1.836495,1.276684,-0.138902,-0.292834,0.378445,1.531511,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
0.746597,2.357905,0.266883,0.342965,-1.086653,-0.197238,-0.239394,democrat
-3.340106,-0.759633,1.492135,0.299196,0.073588,0.109178,-0.995697,republican
2.511346,1.550671,0.406584,0.11141,-1.211768,-0.804116,-0.00694,democrat
-3.115395,-0.032994,0.319911,-1.370631,1.358177,-0.256942,-1.184818,republican
-1.700307,-2.279784,-0.650389,0.622019,1.34454,-1.098248,1.818345,democrat
1.448461,-1.43538,2.030444,0.590855,-1.377847,-1.020235,-0.009174,democrat
1.05226,0.543977,2.350482,0.742675,-0.046734,0.505949,1.998393,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
-2.847167,-1.923568,-0.992965,0.751361,1.211571,-0.766131,0.960988,republican
-3.056159,-0.571055,-1.869087,-0.507521,0.966738,-0.800083,0.780792,republican
0.393151,-1.876442,1.118049,-0.013727,-0.911059,0.675684,1.929891,democrat
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,republican
0.846708,-0.594561,2.287082,-0.043829,-0.085619,0.229576,0.941539,democrat
-2.343443,-0.865156,-0.410638,-0.12621,-1.39926,0.722813,-1.123403,democrat
-2.156498,0.855027,-0.435141,0.052012,-0.317925,1.828222,0.47156,democrat
-1.501918,-1.662142,0.933221,0.128981,-0.34653,1.570365,0.622634,democrat
-2.888287,-0.08067,-0.495808,-1.16741,-0.800315,1.158724,-0.24957,republican
-2.329518,-1.408755,1.322648,0.057775,1.754595,0.053473,-0.776172,democrat
2.030969,-1.041418,2.123724,0.340245,-1.425622,-0.759872,0.241899,democrat
-0.161477,1.658248,0.477386,0.053081,1.150395,0.723969,-1.249232,republican
-0.010612,0.594413,1.231714,1.316304,1.544813,1.013663,-1.261485,republican
-1.094182,0.44346,-0.289139,0.37855,-0.985261,1.023374,0.056806,democrat
2.503465,0.716094,0.838045,0.697864,1.908472,0.188386,0.756559,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,democrat
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
2.414568,0.303049,0.594327,-0.942829,-1.692157,-1.452894,-0.307171,democrat
-2.608316,0.176064,1.552802,1.518619,0.555978,0.778677,-0.274567,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
2.955732,0.531731,0.274857,-0.561183,-1.543839,-1.290703,-0.786306,democrat
1.834352,2.350453,0.183245,0.301467,-0.815673,-0.241871,-0.494373,republican
3.203375,0.715518,0.841441,1.756277,-0.669032,-0.352231,-0.498329,democrat
3.203375,0.715518,0.841441,1.756277,-0.669032,-0.352231,-0.498329,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,democrat
2.463392,0.61033,0.344816,-1.186589,-0.895118,-1.094436,0.257354,democrat
3.203375,0.715518,0.841441,1.756277,-0.669032,-0.352231,-0.498329,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
0.154679,0.240592,1.852225,-1.688696,-0.628354,-0.222309,1.432929,democrat
3.203375,0.715518,0.841441,1.756277,-0.669032,-0.352231,-0.498329,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,democrat
3.106597,-0.532105,1.029184,0.702039,-1.149421,-1.001009,-0.79856,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,democrat
-1.872076,-0.312582,-0.698628,-1.828966,0.681331,1.086918,-0.007423,republican
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
-2.850336,0.409487,0.952883,-1.218977,-0.518189,-0.175896,-0.539922,republican
1.505449,0.120936,0.207864,1.928967,-1.036215,1.449522,0.494839,democrat
3.072686,1.000518,-1.239782,0.540281,-1.49516,0.436951,-0.003274,democrat
2.66891,0.434887,1.616511,1.776128,-0.796914,0.051097,0.062994,democrat
-3.374017,0.77299,-0.776831,0.137438,-0.27215,1.547139,-0.200412,republican
1.52483,0.257575,0.576206,1.922896,-1.046143,1.838078,0.776898,democrat
-1.768204,-0.015174,0.902579,-0.84034,-0.047848,-0.204428,-0.817522,republican
2.662211,0.486836,1.160911,1.374632,-0.81735,-0.514422,-0.019193,democrat
2.901857,-1.442426,-1.1419,0.474676,0.040507,-0.099784,-0.980691,democrat
2.48954,1.259692,-0.895241,0.513878,-1.245382,0.857726,0.409328,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
3.044487,0.09769,1.198615,1.369523,0.882092,-0.025329,-0.138381,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,democrat
-2.191018,0.961242,-0.257259,-0.245187,-0.262558,1.908728,0.514219,republican
1.444595,1.91967,0.874192,0.013444,-0.609906,0.244999,0.937409,democrat
-2.853029,1.780508,0.230594,0.471857,0.307878,0.630453,-1.162348,republican
-2.532887,0.360968,0.413192,-1.621242,1.310401,0.003421,-0.933746,republican
3.072686,1.000518,-1.239782,0.540281,-1.49516,0.436951,-0.003274,democrat
2.989833,-0.790703,0.681247,-0.329971,1.178305,-0.881167,0.043726,democrat
2.538221,0.719888,-0.464712,0.560133,-1.623042,0.840279,0.558049,democrat
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
3.223551,-0.063317,-0.485455,1.803504,-1.100742,0.726646,-0.015528,democrat
1.468637,-2.214215,0.703548,0.638082,-1.809557,0.058641,0.473628,democrat
-3.115395,-0.032994,0.319911,-1.370631,1.358177,-0.256942,-1.184818,republican
-2.247274,-1.043941,1.848467,0.792586,-0.517765,0.014137,-1.5758,democrat
0.340617,-0.445767,0.736543,-0.582689,0.795384,-0.597795,-0.985836,democrat
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,0.248294,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
1.96112,-1.445728,-0.046451,0.973473,-1.283579,0.23828,-0.154229,democrat
3.072686,1.000518,-1.239782,0.540281,-1.49516,0.436951,-0.003274,democrat
0.113335,-2.507543,0.16392,1.287102,-0.981639,0.56782,-1.382338,democrat
3.599127,-0.400514,-0.903351,1.396899,0.578264,0.65022,-0.216903,democrat
-2.839553,1.053621,-1.551901,0.117587,-0.144268,1.143811,-0.761735,republican
-3.453309,-0.191334,-0.159625,-0.023476,-0.165487,-2.350226,0.429793,republican
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
2.105941,-0.084774,0.634156,1.796952,-0.978847,1.550749,0.958397,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,0.839012,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
-1.702079,0.789582,1.330789,-1.472986,-0.50029,0.039679,0.387008,republican
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
-2.885079,0.601331,0.811216,-1.090361,-0.509882,-0.32191,-0.327622,republican
2.520881,-1.608067,-0.371121,0.8756,-1.392079,0.219261,-0.97158,democrat
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,republican
1.353789,2.100246,1.148774,0.612447,-1.00885,0.469507,0.306351,democrat
-2.853029,1.780508,0.230594,0.471857,0.307878,0.630453,-1.162348,republican
3.072686,1.000518,-1.239782,0.540281,-1.49516,0.436951,-0.003274,democrat
0.69329,0.277828,-0.624538,-0.601245,0.678124,1.226653,1.04215,democrat
3.331309,0.194534,-0.14304,-0.967788,0.135167,-1.367129,-0.987681,democrat
-1.197071,1.753522,0.311865,0.720708,-0.321322,0.407219,-1.773437,republican
-0.895044,1.688963,-0.463394,-0.380547,-0.999526,1.460514,1.427491,republican
2.995805,0.637495,0.768086,1.323269,1.259751,-0.007882,-0.287101,democrat
-0.541883,0.662761,-0.76662,0.933119,-0.751032,1.506816,-0.869737,republican
2.414568,0.303049,0.594327,-0.942829,-1.692157,-1.452894,-0.307171,democrat
2.845578,1.048195,-0.424063,0.33706,0.663332,-0.978714,-0.938522,democrat
3.578951,0.378321,0.423545,1.349672,1.009974,-0.428657,-0.699704,democrat
1.347261,1.218693,-0.756954,-0.225437,-0.303475,1.264209,1.175502,democrat
-2.850625,-0.576207,-1.393241,-0.226859,-0.644973,-1.010986,1.163666,republican
0.154679,0.240592,1.852225,-1.688696,-0.628354,-0.222309,1.432929,republican
3.599127,-0.400514,-0.903351,1.396899,0.578264,0.65022,-0.216903,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,0.731095,republican
2.81702,-0.864932,-0.694865,-0.900711,-0.424426,0.115075,0.056443,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,republican
2.935746,1.520755,-0.260823,-0.538956,1.264277,-0.522083,0.356211,democrat
2.84494,1.701331,0.013758,0.060047,0.865334,-0.297576,-0.274847,democrat
-2.841837,1.129116,-2.826755,1.565727,0.092098,-0.576379,-0.009133,republican
-2.298389,1.282304,-1.871372,0.499232,0.00405,1.306002,-1.24087,republican
3.223551,-0.063317,-0.485455,1.803504,-1.100742,0.726646,-0.015528,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,0.839012,democrat
2.935746,1.520755,-0.260823,-0.538956,1.264277,-0.522083,0.356211,democrat
1.838312,0.720463,-0.468108,-0.498281,0.954462,1.380896,1.812937,democrat
2.886922,1.213474,-0.011312,-0.295195,0.467238,-0.880542,-0.208314,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,democrat
2.935746,1.520755,-0.260823,-0.538956,1.264277,-0.522083,0.356211,democrat
-2.853029,1.780508,0.230594,0.471857,0.307878,0.630453,-1.162348,republican
1.752108,1.98564,-0.342574,-0.433344,1.456687,-0.202535,0.305255,republican
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,0.839012,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,democrat
1.949103,-0.449136,-0.20701,-1.119511,-1.454711,0.387769,1.301478,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,democrat
-1.636586,2.331703,0.083351,-0.4352,0.042307,0.329918,-0.549942,republican
-0.28703,1.696956,-0.881101,0.294252,1.485566,-0.072535,-2.536135,republican
-2.100851,-0.240182,-0.999562,1.111159,-0.05744,-0.500625,2.097282,democrat
-3.425125,0.541204,-1.802174,1.829338,-0.832824,-0.53151,-0.012335,republican
-0.448284,1.731695,1.023192,-0.291663,0.187406,0.709333,0.177303,republican
-3.374017,0.77299,-0.776831,0.137438,-0.27215,1.547139,-0.200412,republican
-3.937642,1.398638,-0.405319,1.156706,0.247607,-1.414119,0.548524,republican
1.977024,2.117126,0.501614,-0.158754,-0.164951,-0.024883,0.970188,democrat
-0.052531,0.615663,-0.7216,-0.651042,1.434701,1.711784,0.458729,republican
-2.980955,0.719092,-0.765264,0.624158,1.993909,-1.777874,0.528649,republican
-3.374017,0.77299,-0.776831,0.137438,-0.27215,1.547139,-0.200412,republican
2.17657,0.513486,1.68647,1.150723,-0.148193,0.247365,1.106654,democrat
2.66891,0.434887,1.616511,1.776128,-0.796914,0.051097,0.062994,democrat
1.504654,1.03641,1.903101,1.875669,-0.614433,0.759201,0.294097,democrat
1.934381,-2.078851,0.448892,-0.644539,0.470394,0.438847,1.566986,democrat
-0.01494,-1.930129,1.952007,0.170271,1.033177,-0.324278,-0.731254,democrat
-0.50728,-1.85153,2.021967,-0.455134,1.681897,-0.12801,0.312407,democrat
0.627033,1.151018,1.246586,-1.041063,1.531041,0.350043,1.531785,democrat
1.818136,1.499298,0.858788,-0.545507,1.386172,0.302019,1.330136,democrat
1.314285,-0.168946,1.789217,1.08781,1.172604,0.374649,0.097536,democrat
1.823399,-1.119441,2.050369,-0.092763,0.503161,-0.415523,0.453127,democrat
0.34959,-1.000773,2.464816,-0.185229,-0.338071,-0.001436,1.04234,democrat
-2.267828,0.803449,1.046164,-1.469588,-0.565965,0.084467,-0.28885,republican
-2.301361,1.267517,0.906397,0.583602,-0.431793,0.37322,-1.263315,republican
2.25568,-0.314779,0.951501,-1.329582,-0.141033,-1.125992,0.052778,democrat
2.506105,-0.326394,0.602892,0.834054,-1.206789,-1.102235,-1.262118,democrat
