@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S32

@attribute word_freq_make numeric
@attribute word_freq_all numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data
0,0,0,1.04,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0.061,0.061,59,146,1
0,1.26,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,1
0,0.45,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,200,1
0,1.68,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,121,284,1
0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,66,249,1
0.23,0.47,0,0,0.23,0,0,1.89,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,11,66,1
0,0.46,0,0.93,0,0,0,0.46,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0.069,8,75,1
0,0,0,0.68,0,0,0,2.73,0,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,15,96,1
0.12,0.12,0.36,0,0,0,0,3.01,0.12,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,0,0.059,0,0.019,0,34,180,1
0.66,0.66,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,121,1
0,0.48,0,0.48,0,0,0.48,1.95,0,0.48,0,0,0,0,1.46,0,0.48,0,0,0,0,0,0,0.073,0,0.294,0,47,194,1
0,0,0,1.47,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1
0.3,0.61,0,0,0.3,0,0,1.23,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.351,0.25,66,303,1
0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.201,0,0.1,0,59,141,1
0,0,0,2.53,0,0,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,290,1
0,0.53,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,61,187,1
0,0.89,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,121,281,1
0,0.46,0.46,0.46,0,0,0,1.38,0.46,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0.223,0,13,110,1
0,0.48,0,0.48,0,0,0,2.41,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.243,0,78,236,1
0,0.94,0,0,0,0,0,0.94,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,318,1
0,1.77,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0.082,0,16,100,1
0.75,0.37,0.12,0,0.37,0,0.69,1.26,0.44,0.75,0,0,0,0,0.12,0,0.12,0,0,0.06,0,0,0,0.085,0.053,0.234,0.064,45,1066,1
0,0.2,0.2,0.2,0,0,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,15,175,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0,5,10,1
0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,114,1
0,0.23,0,0.23,0.23,0,0,1.9,0,0.47,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0.123,0,0,0.024,280,519,1
0,0.72,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,0,8,61,1
0,1.28,1.28,0,0,0,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0,0,9,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,0,27,118,1
0,0.46,0,0.46,0,0,0.46,1.4,0,0.46,0,0,0,0,1.4,0,0.46,0,0,0,0,0,0,0.071,0,0.214,0,64,213,1
0,0.38,0.76,0,0,0,0,2.3,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0.061,0,20,158,1
0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0,0,26,107,1
0.06,0.47,0,0,0,0,0.13,1.21,0,0.06,0,0,0.06,0,0,0,0,0,0.13,0,0,0,0,0.107,0,0.085,0.01,144,845,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,0,0,0,23,38,1
0,1.12,0,1.12,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.333,0,140,194,1
0.47,0.47,0.13,0.05,1.26,0,0,1.5,1.05,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0.764,0.159,193,3038,1
0.59,0.29,0.03,0.03,1.23,0.03,0,1.53,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.532,0.137,763,2453,1
0.59,0.29,0.03,0.03,1.23,0.03,0,1.53,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.531,0.137,763,2453,1
0.46,0.46,0,0,0,2.31,0,2.31,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0.494,0,0.823,0,12,102,1
0,0.46,0,0.46,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,91,1
0,0.7,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,61,313,1
0,0.43,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,61,222,1
0,0,0.6,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0.414,0,0,17,191,1
1.24,1.24,0,0,0,0,0,1.24,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.527,0,19,114,1
0,0,0,0.7,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,1
0,0.64,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0.189,0.284,0,0,131,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0.611,0,0,0,22,66,1
0,0.64,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0.189,0.284,0,0,131,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0.611,0,0,0,22,66,1
0,0.64,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0.189,0.284,0,0,131,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0.611,0,0,0,22,66,1
0,0,0.79,0,0,0,0,0,0.79,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0.231,0.347,0,0,22,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0.611,0,0,0,22,66,1
0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,74,1
0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,1
0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,27,67,1
0,0.76,0,0.76,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.059,79,211,1
0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,6,78,1
0.12,0.63,0,0.12,0,0,0.25,1.38,1.13,0.12,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.379,0.159,0.119,0,38,507,1
0,1.02,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,19,146,1
0.05,0.4,0.05,0,0,0.05,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0.118,0,96,588,1
0.05,0.4,0.05,0,0,0.05,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0.118,0,96,583,1
0,0,0,2.56,0,0,1.28,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,308,1
0,0.55,0,1.11,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0.331,0,140,195,1
0.05,0.4,0.05,0,0,0.05,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0.118,0,96,588,1
0.05,0.4,0.05,0,0,0.05,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0.118,0,96,583,1
0.5,0.34,0.03,0,1.27,0.03,0,1.34,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,1.281,0.125,595,2413,1
0,0.8,0,0.16,0,0.16,0.16,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.049,149,982,1
0,0,0,0.3,0,0,0,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0,49,278,1
0.16,0.67,0.16,0.33,0,0,1.68,3.69,0,0.33,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.19,0,0.054,0,101,657,1
0.5,0.5,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0.178,0,53,164,1
0,0,0,0.59,0,0,0,1.19,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,170,1
0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,13,114,1
0.41,0.41,0.41,0,0,0,0,2.48,0.82,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,335,450,1
0,0.38,0,0.38,0,0,0,1.52,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0.179,0,78,285,1
0,0,0.4,0.4,0,0,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,95,1
0,1.12,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,19,144,1
0,0.8,0.16,0.16,0,0,0,0.47,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.174,0,24,174,1
0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0.431,0,25,76,1
0,0.39,0,0,0,0,0,0.78,0.19,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.128,0,0.16,0,31,730,1
0,0.39,0,0,0,0,0,0.78,0.19,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.128,0,0.16,0,31,730,1
1,0.33,0.66,0,0,0,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.541,0,21,304,1
0,0,0,0,0,0,0,1.49,0,0,1.49,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1
0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0,0,0,11,69,1
1,0.33,0.66,0,0,0,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.541,0,21,304,1
0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,23,36,1
0.5,0.34,0.03,0,1.27,0.03,0,1.34,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,1.281,0.125,595,2413,1
0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,23,36,1
0,1.38,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1
0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0.431,0,27,77,1
1,0.33,0.66,0,0,0,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.541,0,21,304,1
0,0.72,0,0.14,0,0.14,0.14,0.43,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.023,0.046,132,1001,1
0.36,1.09,0,0,0,0,0,1.09,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0.126,0,35,123,1
0,0.27,0.81,0,0,0,1.35,2.44,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.121,0,18,131,1
0.39,0.39,0.39,0,0,0,0,1.17,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,114,1
0,0.56,0,1.12,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0.33,0,140,190,1
0.67,0.67,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,1
0,0.62,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,16,120,1
0,1.68,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,19,203,1
0,0,0,0,4.76,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,1
0,0,0,1.31,0,0,1.31,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,186,291,1
0,0,0.45,0.45,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,46,117,1
0.42,0,0.85,0,0,0,0,0.85,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,200,1
0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.185,0.232,99,607,1
0,0,0,0,0,0,0,0.43,0,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.146,0.183,99,642,1
0.46,0.46,0,0,0,2.31,0,2.31,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0.49,0,0.816,0,12,102,1
0.14,0.29,0.29,0,0,0,0,1.31,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0.024,0,0,0,38,437,1
0,0.68,0,0.34,0,0.34,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,13,119,1
0.46,0.46,0,0,0,2.31,0,2.31,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0.49,0,0.816,0,12,102,1
0.62,0.62,0,0.62,0,0,0,1.86,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,22,111,1
0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,108,1
0,0.35,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,61,260,1
0,0.61,0,0.15,0,0.15,0.15,0.76,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.024,0.049,132,944,1
0,0,0,0.57,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,172,1
0.52,2.38,0,0.26,0,0,0,1.05,0,0.52,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.656,0,0,0,71,566,1
0.17,0.08,0.08,0.08,0.17,0,0,3.17,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.027,0.013,0,48,574,1
0,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0,0,19,172,1
0,0.54,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,16,130,1
0,0,0.78,0,0,0,0,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,1
0,0,0,0,0,0,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,85,1
0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1
0.44,0,0,0,0,0,0,1.79,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.072,28,152,1
0,0.66,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,121,326,1
0,0,0,0,0,0,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,85,1
0.34,0.25,0.43,0.08,0,0.17,0,0.77,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0.258,0.113,300,694,1
0.34,0.26,0.43,0.08,0,0.17,0,0.78,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0.259,0.064,62,537,1
0.43,0,0.87,0,0,0,0,0.87,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,179,1
0.44,0,0,0,0,0,0,1.78,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0.072,28,153,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,7,68,1
