@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S22

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_over numeric
@attribute word_freq_order numeric
@attribute word_freq_receive numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_business numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_650 numeric
@attribute word_freq_telnet numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_project numeric
@attribute word_freq_table numeric
@attribute char_freq_; numeric
@attribute char_freq_[ numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data
0,0.48,0.48,0,0,0,0.48,0,0,0.48,0,0.97,0.48,1.95,0,0.48,0,0,0,0,0,1.46,0,0.48,0,0,0,0,47,1
0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0.3,0,0.61,0,0,0,0.3,0.3,0,2.15,0.61,5.53,0,1.23,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,59,1
0,0,0,0,0,1.26,1.26,0,0,0,5.06,2.53,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,1
0,0.53,0.53,0,0,0,0,0,0,0.53,0,1.6,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0,0.44,0.89,0,0,0,0,0,0,0.44,0,2.24,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
0,0.46,0.46,0,0.46,0,0.46,0,0,0.92,0,2.76,0,1.38,0.46,0,0,0,0,0,0,0,0,0.46,0,0,0,0,13,1
0,0,0.48,0,0,0,0,0,0,0.48,0.96,2.41,0,2.41,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1
0,0.94,0.94,0,0,0,0,0,0,2.83,0,0.94,0,0.94,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,245,1
0,0,1.77,0,0,0,0,0,0,0,0,4.14,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
0.75,0.18,0.37,0,0.12,0.75,0.25,0.37,0,0.37,0.44,2.96,0.69,1.26,0.44,0.75,0,0,0,0,0,0.12,0,0.12,0,0,0,0.053,45,1
0,0.41,0.2,0,0.2,0,0.2,0,0,0.83,0.2,2.09,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,5.55,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
0,0,0.23,0,0,0,0,0.23,0,0.23,0.95,2.38,0,1.9,0,0.47,0,0,0,0,0.23,0.23,0,0,0,0,0,0,280,1
0,0.72,0.72,0,0,0,0.72,0,0,2.91,0,1.45,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0,0,1.28,0,1.28,0,0,0,0,1.28,0,2.56,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
0,0.46,0.46,0,0,0,0.46,0,0,1.86,0,0.93,0.46,1.4,0,0.46,0,0,0,0,0,1.4,0,0.46,0,0,0,0,64,1
0,0,0.38,0,0.76,0,0,0,0,0.38,0,2.69,0,2.3,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,20,1
0,0.79,0,0,0,0,0,0,0,0.79,1.58,3.96,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1
0.06,0.06,0.47,0,0,0.67,0,0,0,0.2,0,1.14,0.13,1.21,0,0.06,0,0,0,0,0,0,0,0,0,0,0.021,0,144,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,23,1
0,0.56,1.12,0,0,0,0,0,0,0.56,2.8,3.93,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1
0.47,0.31,0.47,0,0.13,0.44,0.26,1.26,0,0.26,0.44,3.25,0,1.5,1.05,0.34,0,0,0,0,0,0,0,0,0,0,0.004,0,193,1
0.59,0.44,0.29,0,0.03,0.56,0.29,1.23,0.03,0.22,0.44,3.43,0,1.53,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,763,1
0.59,0.44,0.29,0,0.03,0.56,0.29,1.23,0.03,0.22,0.44,3.43,0,1.53,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,763,1
0.46,0,0.46,0,0,0,0,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0,0.46,0,0,0,0,12,1
0,0,0.46,0,0,0,0.46,0,0,0,0,1.87,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
0,0.35,0.7,0,0,0,0,0,0,1.05,0,2.11,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0,0.43,0.43,0,0,0,0,0,0,0.43,0,1.29,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0,0,0,0,0.6,0,0,0,0,0.6,0,1.21,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.207,0.414,17,1
1.24,0.41,1.24,0,0,0,0,0,0,0.41,0,3.73,0,1.24,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0,0,0,0,0,0,0,0,0,2.83,0,4.96,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0.64,0,0.64,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0,0.64,0,0,0,0,0.094,0.284,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0,22,1
0,0,0.64,0,0.64,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0,0.64,0,0,0,0,0.094,0.284,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0,22,1
0,0,0.64,0,0.64,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0,0.64,0,0,0,0,0.094,0.284,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0,22,1
0,0,0,0,0.79,0,0,0,0,0.79,0,1.58,0,0,0.79,0,0,0,0,0,0,0.79,0,0,0,0,0.115,0.347,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.305,0,22,1
0,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,0,0,0,0.79,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
0,0,0.76,0,0,0,0,0,0,0,0,1.52,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1
0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
0.12,1.76,0.63,0,0,0.25,0.5,0,0,0.25,0.12,2.9,0.25,1.38,1.13,0.12,0,0,0,0,0,0,0,0,0,0,0.019,0.159,38,1
0,0,1.02,0,0,0,0,0,0,0.51,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0.05,0.3,0.4,0,0.05,0.1,0,0,0.05,0,0,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0,96,1
0.05,0.3,0.4,0,0.05,0.1,0,0,0.05,0,0,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0,96,1
0,0,0,0,0,1.28,1.28,0,0,0,5.12,2.56,1.28,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,1
0,0.55,0.55,0,0,0,0,0,0,0.55,2.79,3.91,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1
0.05,0.3,0.4,0,0.05,0.1,0,0,0.05,0,0,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0,96,1
0.05,0.3,0.4,0,0.05,0.1,0,0,0.05,0,0,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0,96,1
0.5,0.46,0.34,0,0.03,0.57,0.3,1.27,0.03,0.23,0.42,3.08,0,1.34,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.011,0,595,1
0,0.32,0.8,0,0,0,0.16,0,0.16,0.16,0,0.16,0.16,0.64,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,149,1
0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0.046,0,49,1
0.16,0,0.67,0,0.16,0.16,0.33,0,0,0,1.68,2.18,1.68,3.69,0,0.33,0,0,0,0,0,0,0,0.16,0,0,0,0,101,1
0.5,0,0.5,0,0,0,0.5,0,0,0,0,4.04,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
0,0,0,0,0,0,0,0,0,0,0,4.76,0,1.19,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,33,1
0,0,0,0,0,0,0,0,0,0,1.6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
0.41,0,0.41,0,0.41,0,0,0,0,0.41,0,7.05,0,2.48,0.82,0.41,0,0,0,0,0,0,0,0,0,0,0,0,335,1
0,0,0.38,0,0,0,0,0,0,0.38,0.76,3.04,0,1.52,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1
0,0,0,0,0.4,0,0.4,0,0,0.4,0,4,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0,0,1.12,0,0,0,0,0,0,0.56,0,2.25,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0,0,0.8,0,0.16,0,0,0,0,0,0.16,1.6,0,0.47,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0,0.39,0.39,0,0,0,0.39,0,0,0.98,0.19,0.59,0,0.78,0.19,0,0,0,0,0,0,0,0,0.19,0,0,0,0,31,1
0,0.39,0.39,0,0,0,0.39,0,0,0.98,0.19,0.59,0,0.78,0.19,0,0,0,0,0,0,0,0,0.19,0,0,0,0,31,1
1,0,0.33,0,0.66,0,0,0,0,0.66,0.66,2.33,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0,0,0,0,0,0,0,0,2.98,0,0,0,1.49,0,0,1.49,1.49,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0.82,0,0,0,0.82,0,1.65,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,0,0.33,0,0.66,0,0,0,0,0.66,0.66,2.33,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
0.5,0.46,0.34,0,0.03,0.57,0.3,1.27,0.03,0.23,0.42,3.08,0,1.34,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.011,0,595,1
0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
0,0,1.38,0,0,0,0,0,0,2.77,0,4.16,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
1,0,0.33,0,0.66,0,0,0,0,0.66,0.66,2.33,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0.29,0.72,0,0,0,0.29,0,0.14,0.14,0,0.58,0.14,0.43,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,132,1
0.36,0,1.09,0,0,0,0,0,0,0,0,0.72,0,1.09,0,0.72,0,0,0,0,0,0,0,0,0,0,0.063,0,35,1
0,0,0.27,0,0.81,0.54,0.27,0,0,0.81,1.63,2.17,1.35,2.44,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,18,1
0.39,0,0.39,0,0.39,0,0,0,0,0,1.17,3.13,0,1.17,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0,0.56,0.56,0,0,0,0,0,0,0.56,2.82,3.95,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1
0.67,0,0.67,0,0,0,0,0,0,0,0.67,4.05,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0.62,0,0,0,0,0,0,0.62,0,1.24,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
0,0,1.68,0,0,0,0,0,0,0.33,0,2.02,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0,0,0,0,0,0,0,4.76,0,4.76,0,4.76,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0,1.31,0,0,0,0,1.31,1.31,1.31,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,1
0,0,0,0,0.45,0,0,0,0,0.45,0.45,1.81,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1
0.42,0,0,0,0.85,0,0,0,0,0,1.7,0.85,0,0.85,0,0.42,0,0,0,0,0.42,0,0,0,0,0,0,0,107,1
0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,99,1
0,0,0,0,0,0,0,0,0,0.43,0,0.21,0,0.43,0,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0.073,99,1
0.46,0,0.46,0,0,0,0,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0,0.46,0,0,0,0,12,1
0.14,0.14,0.29,0,0.29,0,0.29,0,0,0.87,0.29,3.66,0,1.31,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,38,1
0,0.34,0.68,0,0,0,0,0,0.34,0.68,0,1.03,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
0.46,0,0.46,0,0,0,0,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0,0.46,0,0,0,0,12,1
0.62,0,0.62,0,0,0,0,0,0,0,1.24,5.59,0,1.86,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,34,1
0,0.71,0.35,0,0,0,0,0,0,0.35,0,1.77,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0,0.3,0.61,0,0,0,0.15,0,0.15,0.15,0,0.15,0.15,0.76,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,132,1
0,0,0,0,0,0,0,0,0,0,0,4.62,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,33,1
0.52,0,2.38,0,0,0.52,0.26,0,0,0.79,0,1.32,0,1.05,0,0.52,0,0,0,0,0.26,0.26,0,0,0,0,0,0,71,1
0.17,0,0.08,0,0.08,0.08,0,0.17,0,0,0.17,1.2,0,3.17,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0.027,48,1
0,0,1,0,0,0,0,0,0,0.5,0,2.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0,0,0.54,0,0,0,0,0,0,0.54,0,1.64,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
0,0,0,0,0.78,0,0.78,0,0,0,0.78,3.12,0,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,1.02,0,0,0,0,4.08,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0.44,0,0,0,0,0,0,0,0,0.44,0,4.03,0,1.79,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,28,1
0,0.66,0.66,0,0,0,0,0,0,0.33,0,2.64,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
0,0,0,0,0,0,1.02,0,0,0,0,4.08,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
