@relation spambase_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A58-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Source_38 numeric
@attribute Source_39 numeric
@attribute Source_40 numeric
@attribute Source_41 numeric
@attribute Source_42 numeric
@attribute Source_43 numeric
@attribute Source_44 numeric
@attribute Source_45 numeric
@attribute Source_46 numeric
@attribute Source_47 numeric
@attribute Source_48 numeric
@attribute Source_49 numeric
@attribute Source_50 numeric
@attribute Source_51 numeric
@attribute Source_52 numeric
@attribute Source_53 numeric
@attribute Source_54 numeric
@attribute Source_55 numeric
@attribute Source_56 numeric
@attribute class {0,1}

@data
-9.237524,1.366004,-1.444811,-1.548515,-3.635878,1.224624,15.198912,-5.851148,3.807234,5.0201,-3.43481,-2.485438,0.640782,1.967956,-2.231813,-6.712666,-6.570446,5.814308,3.152852,-0.438765,-4.400459,3.412465,3.702528,-1.533517,1.47961,3.294261,-3.104513,-2.192714,-4.353411,-9.269587,1.962101,-4.441778,2.838325,-0.925507,-2.405851,0.877918,0.77888,-5.706825,1.994448,9.135281,0.819158,-1.796334,-1.403919,2.380916,-1.136742,2.397724,-1.233361,3.657013,-6.961595,1.156491,-7.742418,7.305082,-1.913676,0.124548,3.460218,-1.141838,4.273234,1
-0.273565,0.029716,-0.043515,-0.052114,-0.081092,0.01132,0.401581,-0.181892,0.122055,0.111456,-0.079822,-0.073295,-0.007809,0.060667,-0.048036,-0.177051,-0.163698,0.143067,0.060582,-0.017365,-0.133293,0.092809,0.103926,-0.020824,0.029169,0.089152,-0.112459,-0.067418,-0.126802,-0.222295,0.061548,-0.117529,0.093047,-0.03764,-0.049112,0.024432,0.016801,-0.165063,0.0551,0.263345,0.020356,-0.045737,-0.025357,0.083909,-0.013005,0.044186,-0.043789,0.10091,-0.164266,0.013775,-0.236509,0.217861,-0.082768,0.03723,0.081595,-0.047881,0.103671,1
-2.270376,0.330793,-0.355362,-0.376846,-0.886641,0.301172,3.726989,-1.436282,0.926949,1.228298,-0.843784,-0.615589,0.152471,0.487159,-0.548238,-1.648862,-1.606326,1.424669,0.774536,-0.109357,-1.080297,0.833117,0.905504,-0.36995,0.359886,0.80905,-0.762367,-0.539133,-1.065122,-2.273322,0.481556,-1.083405,0.696901,-0.227342,-0.593828,0.213013,0.187867,-1.39727,0.488059,2.244827,0.201519,-0.443072,-0.349706,0.583766,-0.279318,0.589079,-0.299088,0.892114,-1.706682,0.288362,-1.899161,1.793305,-0.47623,0.033425,0.847361,-0.282543,1.048477,1
-3.213659,0.478051,-0.493252,-0.543313,-1.267049,0.432496,5.287526,-2.036282,1.332365,1.740844,-1.192125,-0.857058,0.229215,0.694909,-0.774722,-2.347315,-2.280724,2.017689,1.103301,-0.15673,-1.534927,1.194645,1.291309,-0.532146,0.510229,1.147253,-1.088882,-0.761799,-1.512071,-3.220741,0.678541,-1.542229,0.993523,-0.309703,-0.833602,0.305648,0.271254,-1.991648,0.703345,3.189607,0.29632,-0.618638,-0.495788,0.829385,-0.385868,0.824617,-0.428242,1.277963,-2.430359,0.405016,-2.68785,2.541761,-0.665069,0.038688,1.194116,-0.398137,1.487261,1
-0.332579,0.036227,-0.056796,-0.030155,-0.110537,0.029905,0.477066,-0.185805,0.11526,0.175317,-0.102564,-0.098272,0.012886,0.071889,-0.064836,-0.211471,-0.211326,0.170651,0.086103,-0.004204,-0.147734,0.113178,0.127352,-0.029854,0.049969,0.10947,-0.114805,-0.078153,-0.130936,-0.296433,0.056327,-0.139727,0.10457,-0.031728,-0.076144,0.018979,0.020283,-0.205399,0.054725,0.301104,0.013904,-0.067405,-0.050959,0.078621,-0.045994,0.070678,-0.042727,0.113,-0.207346,0.033098,-0.273527,0.244542,-0.082583,0.020715,0.119109,-0.05415,0.136587,1
-2.51231,0.339112,-0.373738,-0.417236,-0.990714,0.353666,4.143519,-1.592987,1.051649,1.378346,-0.927122,-0.671761,0.192566,0.543692,-0.6035,-1.837821,-1.806513,1.608123,0.859136,-0.103866,-1.198659,0.910655,0.996906,-0.40703,0.394537,0.904018,-0.829078,-0.592783,-1.193574,-2.520704,0.536422,-1.212638,0.746,-0.235775,-0.673572,0.256352,0.203159,-1.549036,0.5637,2.47669,0.216635,-0.486604,-0.364219,0.647334,-0.303262,0.654284,-0.342502,1.010087,-1.89313,0.311404,-2.145944,1.97549,-0.491808,0.030264,0.922591,-0.32329,1.152952,1
-3.068603,0.437659,-0.477454,-0.524738,-1.204443,0.395081,5.030363,-1.948412,1.276147,1.673595,-1.139451,-0.827319,0.199592,0.665817,-0.740545,-2.216711,-2.177304,1.9428,1.053133,-0.139295,-1.456558,1.123212,1.214847,-0.517087,0.459731,1.08255,-1.033818,-0.732624,-1.471852,-3.060268,0.650179,-1.482373,0.946235,-0.307228,-0.792631,0.297555,0.247907,-1.886846,0.662314,3.029487,0.262635,-0.603956,-0.456889,0.776875,-0.371461,0.78326,-0.414165,1.230382,-2.311674,0.387111,-2.576424,2.436944,-0.637024,0.045811,1.141717,-0.381108,1.402939,1
-1.322551,0.182992,-0.205994,-0.210517,-0.51834,0.17921,2.161059,-0.829793,0.538949,0.717082,-0.495231,-0.349826,0.09163,0.291744,-0.326352,-0.963875,-0.929474,0.827028,0.445669,-0.062489,-0.630853,0.477573,0.520824,-0.215767,0.204061,0.471536,-0.442209,-0.3063,-0.620584,-1.314726,0.279778,-0.627662,0.407482,-0.129849,-0.349065,0.134446,0.112617,-0.804418,0.283561,1.309865,0.114246,-0.254734,-0.203298,0.331512,-0.165396,0.346285,-0.179069,0.523304,-0.995493,0.172571,-1.085372,1.04265,-0.278772,0.016629,0.485474,-0.16012,0.604068,1
-5.685631,0.834233,-0.892924,-0.942473,-2.247366,0.769882,9.336028,-3.590396,2.339021,3.072113,-2.113269,-1.528906,0.402243,1.21321,-1.38078,-4.133542,-4.024189,3.568066,1.935637,-0.282405,-2.718822,2.090203,2.2832,-0.949812,0.901703,2.022755,-1.897793,-1.356264,-2.690629,-5.708415,1.20629,-2.72718,1.744223,-0.574031,-1.484119,0.55478,0.470023,-3.498357,1.238445,5.630057,0.508393,-1.101737,-0.870909,1.45245,-0.692542,1.4775,-0.763204,2.242151,-4.298031,0.711096,-4.752901,4.499597,-1.187299,0.081591,2.120605,-0.701905,2.631017,1
-0.859928,0.120616,-0.119408,-0.135451,-0.342094,0.123989,1.400188,-0.542429,0.351283,0.482246,-0.321459,-0.239943,0.054123,0.183003,-0.204154,-0.626805,-0.616892,0.535188,0.293259,-0.034613,-0.411269,0.321784,0.342666,-0.139006,0.135062,0.299149,-0.292889,-0.192892,-0.391543,-0.859463,0.179319,-0.408619,0.277737,-0.075089,-0.223489,0.079275,0.072598,-0.544325,0.18004,0.840324,0.072972,-0.175533,-0.136408,0.215485,-0.121198,0.22564,-0.109883,0.347537,-0.642806,0.1051,-0.716433,0.678599,-0.188221,0.016903,0.324769,-0.097389,0.401559,1
-2.261608,0.351301,-0.32839,-0.429769,-0.885373,0.290853,3.750022,-1.493882,0.965453,1.206451,-0.870795,-0.5981,0.140905,0.496195,-0.549291,-1.664765,-1.613399,1.429662,0.781788,-0.101731,-1.131773,0.846122,0.909849,-0.367455,0.343706,0.815315,-0.771719,-0.514817,-1.082118,-2.250252,0.470785,-1.110385,0.716732,-0.225168,-0.573302,0.255089,0.208162,-1.426518,0.49502,2.259946,0.214433,-0.457226,-0.320336,0.579829,-0.2421,0.57851,-0.297464,0.951047,-1.704856,0.248741,-1.89554,1.845157,-0.499448,0.041195,0.828997,-0.279135,1.077862,1
-0.280718,0.031753,-0.032663,-0.046024,-0.108894,0.040768,0.462697,-0.175668,0.107953,0.141388,-0.115089,-0.083887,0.019173,0.062924,-0.056339,-0.20356,-0.201074,0.181788,0.105665,-0.018545,-0.132061,0.098778,0.119478,-0.050706,0.046851,0.103814,-0.103667,-0.074592,-0.137246,-0.287093,0.056909,-0.129762,0.086532,-0.02631,-0.076077,0.034332,0.027263,-0.173835,0.058442,0.268284,0.035023,-0.05639,-0.052794,0.074343,-0.040035,0.071065,-0.035283,0.097617,-0.216978,0.024884,-0.234055,0.220736,-0.080093,0.001491,0.096566,-0.032409,0.13691,1
-27.901021,4.117333,-4.346714,-4.6883,-10.981328,3.701661,45.849315,-17.641821,11.495576,15.141351,-10.363322,-7.485316,1.944059,5.955732,-6.731829,-20.242008,-19.833034,17.52827,9.519002,-1.332324,-13.278583,10.304108,11.179076,-4.647079,4.459584,9.938907,-9.371852,-6.628185,-13.145416,-27.948454,5.917778,-13.414723,8.55927,-2.788183,-7.262334,2.67614,2.378303,-17.221404,6.013792,27.58346,2.469308,-5.411757,-4.221965,7.164228,-3.419648,7.241341,-3.746803,11.027728,-21.015134,3.492376,-23.347236,22.040362,-5.790313,0.358577,10.429877,-3.463283,12.883596,1
-0.41754,0.036675,-0.052533,-0.069568,-0.157489,0.073858,0.676447,-0.256014,0.161071,0.227314,-0.153255,-0.122377,0.027245,0.114782,-0.098049,-0.295864,-0.291606,0.262021,0.165204,-0.001008,-0.193521,0.145012,0.165874,-0.061022,0.046841,0.152702,-0.129303,-0.096088,-0.202535,-0.403282,0.083506,-0.207597,0.117501,-0.001645,-0.107946,0.060595,0.048278,-0.243274,0.091491,0.398561,0.029763,-0.083731,-0.05335,0.091813,-0.049267,0.113391,-0.044369,0.169278,-0.308161,0.048702,-0.361163,0.322584,-0.097033,-0.009859,0.156285,-0.067247,0.203577,1
-0.847205,0.116813,-0.123986,-0.14513,-0.330959,0.121616,1.384633,-0.53202,0.35016,0.456168,-0.314334,-0.218769,0.064276,0.196223,-0.204099,-0.62505,-0.59524,0.528095,0.295364,-0.035964,-0.404762,0.311326,0.335357,-0.135604,0.125502,0.305952,-0.287144,-0.198252,-0.396887,-0.843597,0.171114,-0.404271,0.264721,-0.06691,-0.22267,0.091383,0.072702,-0.523341,0.190735,0.842027,0.081492,-0.158856,-0.130741,0.210729,-0.097864,0.21214,-0.109074,0.339883,-0.642579,0.105865,-0.701655,0.667488,-0.176792,0.003128,0.303289,-0.109193,0.398478,1
-1.009762,0.14736,-0.157581,-0.173324,-0.392472,0.141082,1.663606,-0.637641,0.405947,0.536897,-0.382992,-0.27741,0.072502,0.215534,-0.240601,-0.734227,-0.711549,0.632239,0.351798,-0.046122,-0.479027,0.371792,0.412644,-0.170333,0.164777,0.365219,-0.338226,-0.243731,-0.480432,-1.009629,0.215767,-0.489508,0.311652,-0.103598,-0.262052,0.096085,0.081458,-0.622251,0.219594,0.999893,0.084132,-0.20117,-0.157678,0.257689,-0.126334,0.258459,-0.132289,0.386044,-0.763371,0.12637,-0.839514,0.805708,-0.210418,0.017137,0.370197,-0.124078,0.471101,1
-27.888668,4.11551,-4.344789,-4.686225,-10.976465,3.700021,45.829016,-17.634006,11.490483,15.134645,-10.358736,-7.482005,1.943198,5.953102,-6.728853,-20.233046,-19.824253,17.520505,9.514788,-1.331737,-13.272703,10.299544,11.174122,-4.64502,4.457609,9.934505,-9.367704,-6.625254,-13.139594,-27.936077,5.915155,-13.408783,8.555483,-2.78695,-7.259119,2.674958,2.377254,-17.213779,6.011127,27.571249,2.468213,-5.409358,-4.220094,7.161056,-3.418137,7.238137,-3.745146,11.022847,-21.005829,3.490831,-23.336897,22.030601,-5.78775,0.358416,10.425258,-3.46175,12.87789,1
-1.009762,0.14736,-0.157581,-0.173324,-0.392472,0.141082,1.663606,-0.637641,0.405947,0.536897,-0.382992,-0.27741,0.072502,0.215534,-0.240601,-0.734227,-0.711549,0.632239,0.351798,-0.046122,-0.479027,0.371792,0.412644,-0.170333,0.164777,0.365219,-0.338226,-0.243731,-0.480432,-1.009629,0.215767,-0.489508,0.311652,-0.103598,-0.262052,0.096085,0.081458,-0.622251,0.219594,0.999893,0.084132,-0.20117,-0.157678,0.257689,-0.126334,0.258459,-0.132289,0.386044,-0.763371,0.12637,-0.839514,0.805708,-0.210418,0.017137,0.370197,-0.124078,0.471101,1
-0.60395,0.091543,-0.097049,-0.073173,-0.21673,0.064406,0.953849,-0.379417,0.20027,0.307814,-0.207157,-0.147147,0.034855,0.121326,-0.151437,-0.37725,-0.395198,0.380482,0.181805,-0.023027,-0.272626,0.216848,0.201446,-0.125756,0.118149,0.183667,-0.180496,-0.165142,-0.263697,-0.556642,0.117317,-0.280833,0.187258,-0.064284,-0.131605,0.049103,0.023442,-0.344807,0.120767,0.551175,0.075081,-0.142774,-0.079922,0.150927,-0.055898,0.111451,-0.034673,0.234092,-0.422408,0.072558,-0.47646,0.455185,-0.140227,-0.004495,0.221369,-0.061198,0.24635,1
-0.446711,0.050719,-0.052287,-0.079104,-0.170085,0.074393,0.723802,-0.26996,0.174789,0.237239,-0.166535,-0.122973,0.038222,0.095484,-0.094445,-0.321481,-0.317496,0.288699,0.162781,-0.015175,-0.205657,0.143228,0.176686,-0.066338,0.066885,0.165406,-0.137229,-0.112091,-0.20741,-0.431093,0.092255,-0.214284,0.11811,-0.037592,-0.11771,0.050593,0.037615,-0.271301,0.110639,0.42167,0.039258,-0.088353,-0.065099,0.108783,-0.047407,0.107695,-0.058195,0.1708,-0.333202,0.049591,-0.389228,0.340936,-0.087851,0.001343,0.143209,-0.060511,0.211911,1
-1.605484,0.204632,-0.226373,-0.280551,-0.647657,0.198243,2.595498,-0.988787,0.64988,0.862154,-0.591497,-0.463475,0.116334,0.308678,-0.386314,-1.129604,-1.118602,1.007579,0.530011,-0.049234,-0.717425,0.564151,0.636115,-0.294487,0.252376,0.603264,-0.540396,-0.369924,-0.760723,-1.600419,0.322238,-0.72817,0.475748,-0.168974,-0.388505,0.149863,0.155763,-1.006853,0.303199,1.566506,0.107603,-0.274166,-0.249018,0.393265,-0.146337,0.367659,-0.166096,0.631114,-1.190871,0.189783,-1.318492,1.247051,-0.346846,0.023781,0.616252,-0.205109,0.729394,1
-0.71825,0.136608,-0.110738,-0.128018,-0.283323,0.116183,1.19691,-0.457565,0.295305,0.40001,-0.253377,-0.188467,0.032066,0.138535,-0.163726,-0.527943,-0.513239,0.457895,0.255613,-0.03685,-0.329645,0.276774,0.287118,-0.128319,0.113351,0.262194,-0.249028,-0.163132,-0.333427,-0.735694,0.181455,-0.37244,0.218466,-0.079162,-0.186331,0.068406,0.072608,-0.453662,0.158935,0.715471,0.0512,-0.142859,-0.113296,0.186357,-0.074817,0.192595,-0.100699,0.278691,-0.556275,0.096798,-0.596712,0.557679,-0.162867,0.015928,0.268007,-0.084231,0.337349,1
-0.494935,0.057381,-0.046464,-0.092322,-0.213665,0.088128,0.880087,-0.331755,0.219697,0.286398,-0.179927,-0.165046,0.041791,0.109128,-0.133679,-0.371288,-0.363077,0.350441,0.202986,-0.01602,-0.248076,0.180659,0.217316,-0.069681,0.084606,0.181988,-0.178383,-0.111967,-0.258241,-0.535827,0.11222,-0.245761,0.155497,-0.044931,-0.148397,0.047351,0.013072,-0.321354,0.131023,0.493231,0.057543,-0.103411,-0.079592,0.141785,-0.069615,0.135883,-0.061961,0.202461,-0.385558,0.051178,-0.471005,0.396041,-0.094917,0.013065,0.187483,-0.076844,0.217665,1
-1.093397,0.148833,-0.17258,-0.175614,-0.422268,0.146807,1.791512,-0.691451,0.447382,0.597858,-0.409636,-0.282056,0.073863,0.253039,-0.273912,-0.800434,-0.778258,0.689101,0.367622,-0.050268,-0.523015,0.403644,0.424664,-0.182675,0.168766,0.398213,-0.368823,-0.253732,-0.514191,-1.089711,0.227936,-0.522894,0.33031,-0.097392,-0.292587,0.116145,0.100296,-0.667392,0.232376,1.083472,0.089819,-0.216629,-0.16109,0.271461,-0.136383,0.288442,-0.142875,0.440582,-0.818442,0.146375,-0.899976,0.869124,-0.231295,0.007587,0.415589,-0.13309,0.503295,1
-0.188428,0.044481,-0.015152,-0.05401,-0.084317,0.035411,0.322813,-0.139488,0.105705,0.087949,-0.073276,-0.022828,0.038521,0.051178,-0.040009,-0.179554,-0.149957,0.089236,0.071179,-0.032594,-0.090511,0.111814,0.091002,-0.027882,0.022368,0.070896,-0.09813,-0.048115,-0.077671,-0.189576,0.034153,-0.095265,0.083036,0.017586,-0.018684,0.008105,0.007353,-0.156559,0.052533,0.221654,0.046166,-0.02912,-0.041342,0.070898,0.007602,0.015238,-0.012071,0.100047,-0.1551,0.029674,-0.151046,0.168688,-0.033003,-0.011909,0.03929,-0.036128,0.112988,1
-3.295297,0.484753,-0.523022,-0.529345,-1.264089,0.400541,5.326917,-2.045533,1.369777,1.770708,-1.194664,-0.897413,0.21853,0.730519,-0.794325,-2.337998,-2.315373,2.045798,1.110518,-0.175277,-1.560094,1.213655,1.337656,-0.525537,0.518453,1.155254,-1.107136,-0.7722,-1.528396,-3.273444,0.701167,-1.573699,0.976798,-0.347887,-0.852365,0.307317,0.284498,-2.029182,0.672911,3.222786,0.277319,-0.650201,-0.534836,0.812847,-0.380994,0.827027,-0.439897,1.264475,-2.430534,0.418683,-2.749169,2.59159,-0.665859,0.062392,1.199447,-0.449439,1.482045,1
-0.273809,0.035039,-0.020375,-0.044509,-0.122817,0.047841,0.51364,-0.196161,0.130781,0.16741,-0.102661,-0.097636,0.018541,0.059917,-0.087126,-0.215738,-0.221219,0.200443,0.111898,-0.026398,-0.141243,0.120535,0.128554,-0.046131,0.053696,0.099956,-0.122178,-0.062137,-0.146793,-0.310339,0.076498,-0.135503,0.092833,-0.024498,-0.076561,0.02362,0.007209,-0.191648,0.06603,0.286013,0.037745,-0.06109,-0.055185,0.097795,-0.04521,0.083936,-0.038267,0.119504,-0.212329,0.036304,-0.264096,0.231416,-0.064421,0.015389,0.121876,-0.03211,0.106934,1
-0.355607,0.027251,-0.042574,-0.058861,-0.133553,0.065724,0.574646,-0.217432,0.136033,0.192992,-0.130485,-0.106231,0.023474,0.101775,-0.083109,-0.250671,-0.247432,0.22338,0.144887,0.002141,-0.164545,0.122074,0.141411,-0.050893,0.036828,0.130385,-0.108606,-0.081752,-0.173667,-0.341845,0.070638,-0.178034,0.098553,0.005397,-0.092069,0.055168,0.043713,-0.205147,0.077413,0.336962,0.024277,-0.071491,-0.044254,0.076879,-0.042045,0.097403,-0.035882,0.144672,-0.261894,0.040723,-0.309924,0.273099,-0.085506,-0.011052,0.133356,-0.059489,0.175304,1
-2.941495,0.431011,-0.455207,-0.479685,-1.15497,0.404096,4.831759,-1.857247,1.213748,1.596181,-1.079144,-0.786517,0.200596,0.633621,-0.718236,-2.135781,-2.08624,1.846881,0.995391,-0.135887,-1.397846,1.078957,1.178151,-0.492944,0.46887,1.05293,-0.985898,-0.694551,-1.399277,-2.956488,0.634037,-1.41683,0.912638,-0.292572,-0.770996,0.29531,0.2563,-1.817919,0.641415,2.900683,0.256339,-0.573489,-0.43887,0.751046,-0.362803,0.770464,-0.385148,1.171237,-2.22314,0.371787,-2.44964,2.330169,-0.60197,0.033389,1.107134,-0.362357,1.361467,1
-2.286658,0.339286,-0.349798,-0.388634,-0.900906,0.309802,3.76615,-1.448074,0.948469,1.239347,-0.846504,-0.612672,0.162389,0.498096,-0.554111,-1.671727,-1.619463,1.439668,0.789629,-0.108815,-1.094345,0.849054,0.918974,-0.37759,0.36345,0.818426,-0.775723,-0.541637,-1.077939,-2.295672,0.480869,-1.0981,0.707674,-0.219409,-0.596098,0.218905,0.192141,-1.416445,0.505158,2.27018,0.212738,-0.439208,-0.354479,0.588865,-0.276312,0.587771,-0.303621,0.909384,-1.731749,0.288438,-1.915494,1.808867,-0.473655,0.028162,0.852199,-0.282843,1.058516,1
