@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S57

@attribute word_freq_make numeric
@attribute word_freq_3d numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_labs numeric
@attribute word_freq_857 numeric
@attribute word_freq_1999 numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_project numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute char_freq_! numeric
@attribute char_freq_# numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data
0,0,0,0,0,0,0,0.27,0,3.51,0,2.7,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1
0,0,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
0,0,0,0,0.68,0,0,0,0,2.04,0,0.68,0,0,0.68,0,0,0,1.36,0,0,0,0,0,0,0,0,0,264,1
0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543,0,25,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,0,29,1
0,0,0,0,0,0,0,0.48,0,2.43,0,2.43,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0,239,1
0,0,0,0,0,0,0,0.48,0.97,1.46,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963,0,186,1
0,0,0,0,0,0,0,0.41,0.83,2.08,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,285,1
0.3,0,2.45,0,0,0,0,0,0.3,2.76,0,0.61,0.3,0.61,0,0,0,0,0.3,0,0,0,0,0,0,0,0.207,0,226,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,28,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0,28,1
0,0,0,0,0,0,0.18,0,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,68,1
0,0,0.52,0,0.26,0,0,0.26,0.26,1.82,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0.147,339,1
0.15,0,1.81,0.6,0.75,0,0.3,0,0,4.07,0,1.51,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1.318,0,774,1
0.18,0,0.06,0.06,0.12,0.06,0,0,0.06,4.54,0.24,1.09,0.84,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,442,1
0.49,0,0,0,0.99,0,0,4.97,0,3.48,0,1.99,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,94,1
0.46,0,0.28,0.43,0.74,1.23,0,0.25,0.02,3.22,0,1.46,1.05,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0.153,3040,1
0.46,0,0.33,0,1.12,0,0.26,0.26,0.26,3.51,0,0.66,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.084,898,1
0,0,0,0,0,0,0,0,0,1.92,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
0.73,0,1.09,0.36,0.36,0,0,1.09,0.36,2.19,2.19,2.19,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0,179,1
0.06,0,0,0.06,0,0,0.12,0,0.12,1.67,0.06,0.7,0.19,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.244,0,750,1
0,0,0,0,0,0,0,0,0,0,0,1.26,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,69,1
0.73,0,1.1,0.36,0.36,0,0,1.1,0.36,2.2,2.2,2.2,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,176,1
0,0,0,0,0,0,0,1.08,0,1.08,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478,0,106,1
0,0,0,0,0,0,0,0,0,3.66,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615,0.061,146,1
0,0,0,0,0,0,0,0,0,2.53,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1
0,0,0,0,0,0,0,0.45,0.91,1.36,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501,0,200,1
0,0,0,0,0,0,0,0.42,0.84,2.1,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669,0,284,1
0,0,0,0,0.59,0,0,0,1.18,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1
0.23,0,0,0,0,0.23,0,0.23,0,7.1,0,1.89,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,66,1
0,0,0.93,0,0,0,0,1.39,0.46,0.93,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,75,1
0,0,0,0,0.34,0,0,0.34,1.36,3.42,0,2.73,0,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0.048,0,96,1
0.12,0,0.36,0,0,0,0,0,0,4.1,0,3.01,0.12,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,0.019,0,180,1
0.66,0,0,0,0.66,0,0,1.98,0,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.205,0,121,1
0,0,0,0,0.97,0,0,0.48,0,0.97,0.48,1.95,0,0.48,0,0,0,0,1.46,0,0.48,0,0,0,0,0,0.589,0,194,1
0,0,0,0,1.47,0,0,0,0,5.88,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,17,1
0.3,0,0,0,0.92,0.3,0,2.15,0,5.53,0,1.23,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1.053,0.25,303,1
0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,141,1
0,0,1.26,1.26,1.26,0,0,0,0,2.53,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,290,1
0,0,0,0,0,0,0,0.53,1.06,1.6,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877,0,187,1
0,0,0,0,0,0,0,0.44,0.89,2.24,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,281,1
0,0,0,0,0,0,0,0.92,0.92,2.76,0,1.38,0.46,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0.298,0,110,1
0,0,0,0,0,0,0,0.48,0,2.41,0,2.41,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486,0,236,1
0,0,0,0,0.94,0,0,2.83,0,0.94,0,0.94,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366,0,318,1
0,0,0,0,0,0,0,0,0.59,4.14,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,100,1
0.75,0,0.25,0.75,0.31,0.37,0,0.37,0.12,2.96,0.69,1.26,0.44,0.75,0,0,0,0,0.12,0,0.12,0,0,0,0,0,0.437,0.064,1066,1
0,0,0,0,1.04,0,0,0.83,0,2.09,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.132,0,175,1
0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,0,5.55,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,0,114,1
0,0,0,0,0.95,0.23,0,0.23,0,2.38,0,1.9,0,0.47,0,0,0,0,0.23,0,0,0,0,0,0,0,0.197,0.024,519,1
0,0,1.45,0,0,0,0,2.91,0.72,1.45,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,61,1
0,0,0,0,0,0,0,1.28,0,2.56,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724,0,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834,0,118,1
0,0,1.86,0,0.93,0,0,1.86,0,0.93,0.46,1.4,0,0.46,0,0,0,0,1.4,0,0.46,0,0,0,0,0,0.571,0,213,1
0,0,0,0,0,0,0,0.38,0.38,2.69,0,2.3,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,158,1
0,0,0,0,0,0,0,0.79,1.58,3.96,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,107,1
0.06,0,0,0.67,0.06,0,0,0.2,0,1.14,0.13,1.21,0,0.06,0,0,0,0,0,0,0,0,0.13,0,0,0,0.096,0.01,845,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1
0,0,0,0,0,0,0,0.56,0,3.93,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.083,0,194,1
0.47,0,0.26,0.44,0.76,1.26,0,0.26,0,3.25,0,1.5,1.05,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0.159,3038,1
0.59,0,0.14,0.56,0.67,1.23,0.03,0.22,0.07,3.43,0,1.53,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.613,0.137,2453,1
0.59,0,0.14,0.56,0.67,1.23,0.03,0.22,0.07,3.43,0,1.53,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.612,0.137,2453,1
0.46,0,0.46,0,0,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0.082,0,102,1
0,0,0,0,0,0,0,0,1.4,1.87,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1
0,0,0,0,0,0,0,1.05,0.7,2.11,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.284,0,313,1
0,0,0,0,0,0,0,0.43,0.86,1.29,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736,0,222,1
0,0,0,0,1.21,0,0,0.6,0,1.21,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,191,1
1.24,0,0,0,0,0,0,0.41,0.82,3.73,0,1.24,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,114,1
0,0,0,0,0,0,0,2.83,0,4.96,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,30,1
0,0,0,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0.662,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,1.529,0,66,1
0,0,0,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0.662,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,1.529,0,66,1
0,0,0,0,0,0,0,0.64,0,2.59,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0.662,0,292,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,1.529,0,66,1
0,0,0,0,0,0,0,0.79,0,1.58,0,0,0.79,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0.462,0,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,1.529,0,66,1
0,0,0,0,1.96,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1
0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,36,1
0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1
0,0,0,0,0,0,0,0,0.76,1.52,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,211,1
0,0,0,0,0,0,0,0,0.47,0.95,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1
0.12,0,0.5,0.25,3.9,0,0,0.25,0,2.9,0.25,1.38,1.13,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,1
0,0,0,0,0,0,0,0.51,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0,146,1
0.05,0,0.05,0.1,0,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0.054,0,588,1
0.05,0,0.05,0.1,0,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0.054,0,583,1
0,0,1.28,1.28,1.28,0,0,0,0,2.56,1.28,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0,308,1
0,0,0,0,0,0,0,0.55,0,3.91,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158,0,195,1
0.05,0,0.05,0.1,0,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0.054,0,588,1
0.05,0,0.05,0.1,0,0,0.05,0,0.5,1.55,0.3,0.75,0.15,0.2,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0.054,0,583,1
0.5,0,0.19,0.57,0.65,1.27,0.03,0.23,0,3.08,0,1.34,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.125,2413,1
0,0,0,0,0.48,0,0.16,0.16,0.8,0.16,0.16,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.049,982,1
0,0,0,0,0,0,0,0,0,0.3,0,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,278,1
0.16,0,0.84,0.16,0.5,0,0,0,0.33,2.18,1.68,3.69,0,0.33,0,0,0,0,0,0,0.16,0,0,0,0,0,1.194,0,657,1
0.5,0,0,0,0,0,0,0,0,4.04,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,164,1
0,0,0,0,0,0,0,0,0.59,4.76,0,1.19,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,170,1
0,0,1.2,0,0.4,0,0,0,0.4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,0,114,1
0.41,0,0,0,0,0,0,0.41,0,7.05,0,2.48,0.82,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,450,1
0,0,0,0,1.14,0,0,0.38,0,3.04,0,1.52,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,0,285,1
0,0,0.4,0,0,0,0,0.4,0,4,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,95,1
0,0,0,0,0.56,0,0,0.56,0,2.25,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,144,1
0,0,0,0,0,0,0,0,0.16,1.6,0,0.47,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,174,1
0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,76,1
0,0,0.19,0,0,0,0,0.98,0.39,0.59,0,0.78,0.19,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0.16,0,730,1
0,0,0.19,0,0,0,0,0.98,0.39,0.59,0,0.78,0.19,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0.16,0,730,1
1,0,0,0,0,0,0,0.66,0,2.33,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,304,1
0,0,0,0,0,0,0,2.98,1.49,0,0,1.49,0,0,1.49,1.49,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0.82,0,0,0,0.82,0,1.65,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
1,0,0,0,0,0,0,0.66,0,2.33,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,304,1
0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0,36,1
0.5,0,0.19,0.57,0.65,1.27,0.03,0.23,0,3.08,0,1.34,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.125,2413,1
0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0,36,1
0,0,0,0,0,0,0,2.77,4.16,4.16,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0,13,1
0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,77,1
1,0,0,0,0,0,0,0.66,0,2.33,0,0.33,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,304,1
0,0,0,0,0.43,0,0.14,0.14,0.72,0.58,0.14,0.43,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.865,0.046,1001,1
0.36,0,0,0,0,0,0,0,0,0.72,0,1.09,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,123,1
0,0,2.98,0.54,0.81,0,0,0.81,0.27,2.17,1.35,2.44,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0,131,1
0.39,0,0,0,0,0,0,0,0.78,3.13,0,1.17,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0,114,1
0,0,0,0,0,0,0,0.56,0,3.95,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,190,1
0.67,0,0,0,0,0,0,0,0.67,4.05,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,33,1
0,0,0,0,0.62,0,0,0.62,0,1.24,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,0,120,1
0,0,0,0,0.33,0,0,0.33,0,2.02,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0,203,1
0,0,0,0,0,4.76,0,4.76,0,4.76,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1
0,0,1.31,1.31,1.31,0,0,0,0,1.31,1.31,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,291,1
0,0,0,0,0,0,0,0.45,0.45,1.81,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,117,1
0.42,0,0,0,0.42,0,0,0,0,0.85,0,0.85,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1.088,0,200,1
0,0,0,0,0.83,0,0,0,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,607,1
0,0,0,0,0.65,0,0,0.43,0.21,0.21,0,0.43,0,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0.146,0.183,642,1
0.46,0,0.46,0,0,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0.081,0,102,1
0.14,0,0.29,0,0,0,0,0.87,0.43,3.66,0,1.31,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0.265,0,437,1
0,0,0,0,0.34,0,0.34,0.68,1.37,1.03,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1
0.46,0,0.46,0,0,0,2.31,0,0.46,2.77,0,2.31,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0.081,0,102,1
0.62,0,0,0,0,0,0,0,1.24,5.59,0,1.86,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0.517,0,111,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1
0,0,0,0,0,0,0,0.35,1.42,1.77,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,260,1
0,0,0,0,0.45,0,0.15,0.15,0.76,0.15,0.15,0.76,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.567,0.049,944,1
0,0,0,0,0.57,0,0,0,0.57,4.62,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0,172,1
0.52,0,0,0.52,0,0,0,0.79,0,1.32,0,1.05,0,0.52,0,0,0,0,0.26,0.52,0,0,0,0,0,0,0.31,0,566,1
0.17,0,0.42,0.08,0.08,0.17,0,0,0.08,1.2,0,3.17,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,574,1
0,0,0,0,0.5,0,0,0.5,0,2.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892,0,172,1
0,0,0,0,0.54,0,0,0.54,0,1.64,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443,0,130,1
0,0,2.34,0,0.78,0,0,0,0,3.12,0,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,0,49,1
0,0,2.04,0,0,0,0,0,0,4.08,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,85,1
0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.44,0,0,0,0.44,0,0,0.44,0,4.03,0,1.79,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0.072,152,1
0,0,0,0,0,0,0,0.33,1.32,2.64,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0,326,1
0,0,2.04,0,0,0,0,0,0,4.08,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969,0,85,1
